arm,batch,scope,request_count,evidence,RS_num,RS_den,RS_rate,RS_bit_order_sha256,RS_strict_num,RS_strict_den,rewrite_margin_n,rewrite_margin_mean,rewrite_margin_median,rewrite_margin_q25,rewrite_margin_q75,rewrite_margin_p90,rewrite_margin_max,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_new_row_count,rewrite_target_new_all_tokens_correct_count,rewrite_target_new_correct_token_count,rewrite_target_new_target_token_denominator,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_target_true_row_count,rewrite_target_true_all_tokens_correct_count,rewrite_target_true_correct_token_count,rewrite_target_true_target_token_denominator
BLUE,1,ALL_SEEN_REWRITE,100,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,100,100,1.0,ac1b75944dab1213572ba331061bc11b08605b20faae4a01701fc8ec25189cca,100,100,100,14.788370848721389,14.848541795639903,11.662786470798892,17.80118114677316,19.792978597934418,25.40653529553674,100,0.0022064341841905844,0.0014328210963867605,0.0005026683284086175,0.0025974722811952233,0.004051769385114315,0.01849641464650631,100,100,101,101,100,14.790577282905579,14.848850727081299,11.664757013320923,17.802754402160645,19.793217849731448,25.406770706176758,100,0,3,103
BLUE,2,ALL_SEEN_REWRITE,200,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,200,200,1.0,78ce90a10f360d96b3932ea9b776cef0d0f85378aaab6bac2a51da1472e55548,200,200,200,14.531169592329315,14.365847171400674,11.654435296077281,17.079997814638773,19.690805898688268,25.63744261141983,200,0.002133186868377379,0.001157686288934201,0.00048747695109341294,0.002479664864949882,0.00399872432462871,0.036926478147506714,200,200,203,203,200,14.533302779197692,14.367044448852539,11.655096292495728,17.08326292037964,19.69150333404541,25.63765525817871,200,0,4,204
BLUE,3,ALL_SEEN_REWRITE,300,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,300,300,1.0,08a368b81e45ba349fd15616820244e7942d0fdb7ad6093c1be193ebcce07db4,300,300,300,14.444856427612006,14.289046090678312,11.426483147020917,17.095933449978475,19.592253075423653,26.01667227251164,300,0.002255428530673574,0.001165664056316018,0.0005246812215773389,0.002299523854162544,0.0040010651107877495,0.04750239849090576,300,300,305,305,300,14.44711185614268,14.29150104522705,11.428486585617065,17.097213745117188,19.595733833312988,26.01686668395996,300,0,7,307
BLUE,4,ALL_SEEN_REWRITE,400,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,400,400,1.0,87312149c7277289e93c3d5f1063f895619cf785419a9873e10a5506d404ae8d,400,400,400,14.555793958753894,14.604517686384497,11.599821984604205,17.166150989884045,19.527385468786818,25.900496859510895,400,0.002879887967756076,0.0011840006918646395,0.0005271236877888441,0.002211418584920466,0.003843814041465521,0.19840072095394135,400,400,406,406,400,14.55867384672165,14.604775428771973,11.601604461669922,17.166954517364502,19.533481216430665,25.900691986083984,400,0,7,407
BLUE,5,ALL_SEEN_REWRITE,500,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,500,500,1.0,0dad6dc0a268b50498e886400fa3df225da8753b43189074093c6359af6d02d1,500,500,500,14.548169495128569,14.47383940819418,11.658974596182816,17.05625951185357,19.64070690488443,25.959477202835842,500,0.005378159977022733,0.001202277489937842,0.0005483017885126173,0.0021891159703955054,0.003922175522893668,1.0061448812484741,500,500,507,507,500,14.553547655105591,14.474443435668945,11.660865545272827,17.057608127593994,19.647189140319824,25.959659576416016,500,0,7,507
BLUE,6,ALL_SEEN_REWRITE,600,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,600,600,1.0,56605eb72b69232d14eafbe67ddb2059a4c3f91af7985112c193cc43d15978de,600,600,600,14.573968691007531,14.546103098546155,11.62791302613914,17.239059587926022,19.773568492813503,26.0218185360427,600,0.01015807869410916,0.001190906623378396,0.0005373702588258311,0.002339842263609171,0.004204777488484982,3.9058868885040283,600,599,610,611,600,14.58412676970164,14.54816198348999,11.628794193267822,17.239954471588135,19.77485466003418,26.022005081176758,600,0,9,609
BLUE,7,ALL_SEEN_REWRITE,700,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,699,700,0.9985714285714286,75fc000f1a63efecf034e8cac162a15557fec21450ce57a7f979f6a33c780395,699,700,700,14.544218000950867,14.54544480117329,11.534101465716958,17.26529355331877,19.827053089172114,26.406066935684066,700,0.03755401720927174,0.0011884657433256507,0.0005416296917246655,0.002377274911850691,0.0043016167823225265,20.917715072631836,700,699,711,712,700,14.58177201816014,14.56528902053833,11.551537990570068,17.29274272918701,19.82906150817871,26.406814575195312,700,0,10,710
BLUE,8,ALL_SEEN_REWRITE,800,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,798,800,0.9975,3d133b72e6d57a9b923de47630a81cdc8fcb9068f68f8afcbd5b79a1080d9e69,798,800,800,14.536920805628915,14.601722280116519,11.626180598825158,17.153772789344657,19.605010575806958,26.539769120165147,800,0.03424266541419456,0.0011759636108763516,0.0005595906259259209,0.002356700482778251,0.0044219098053872585,20.810396194458008,800,798,812,814,800,14.57116347104311,14.625998973846436,11.642421245574951,17.18111801147461,19.61250171661377,26.540550231933594,800,0,10,810
BLUE,9,ALL_SEEN_REWRITE,900,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,897,900,0.9966666666666667,cd07a659cb4460982e482c150d98cc9651a4d9a0c211ff32871e687a2e3a88b1,897,900,900,14.478802676758196,14.456957095535472,11.520696472733107,17.205553072039038,19.736778208450414,26.706375442852732,900,0.04856543803113002,0.0012148984242230654,0.0005671263497788459,0.0024609657702967525,0.00453966036438942,20.83362579345703,900,897,911,914,900,14.527368114789327,14.497608184814453,11.52559757232666,17.24635076522827,19.738076591491698,26.70701026916504,900,0,11,911
BLUE,10,ALL_SEEN_REWRITE,1000,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,997,1000,0.997,824567b1b53cda7cc32508056019cef0269c5af7844967d1ee6268b74a43ef4e,997,1000,1000,14.465195510493123,14.457345320552122,11.486409942386672,17.236800102866255,19.63032054512587,28.95350765393232,1000,0.04635484112659833,0.0012496646959334612,0.0005661732429871336,0.0024874837836250663,0.004786497633904219,20.734928131103516,1000,997,1012,1015,1000,14.51155035161972,14.463168144226074,11.514350891113281,17.25280523300171,19.630774688720706,28.9539794921875,1000,0,11,1011
BLUE_L4_ONLY,1,ALL_SEEN_REWRITE,100,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,100,100,1.0,ac1b75944dab1213572ba331061bc11b08605b20faae4a01701fc8ec25189cca,100,100,100,14.689737127472618,14.730633869941812,11.628118701279163,17.33265396702336,19.797380387864543,25.398161677949247,100,0.002287666152260499,0.001498053374234587,0.0005757040780736133,0.0026656887494027615,0.004485861770808706,0.018542403355240822,100,100,101,101,100,14.692024793624878,14.731014251708984,11.630293607711792,17.33505916595459,19.80009365081787,25.398399353027344,100,0,3,103
BLUE_L4_ONLY,2,ALL_SEEN_REWRITE,200,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,200,200,1.0,78ce90a10f360d96b3932ea9b776cef0d0f85378aaab6bac2a51da1472e55548,200,200,200,14.329441447868957,14.320541338180192,11.249263048695866,16.81867012332077,19.583305801078676,25.488046789352666,200,0.003854061946258298,0.001288655970711261,0.0005563737649936229,0.0024864415172487497,0.004671849543228743,0.20797359943389893,200,200,203,203,200,14.333295509815215,14.323559284210205,11.250035524368286,16.81959581375122,19.586450004577635,25.488265991210938,200,0,4,204
BLUE_L4_ONLY,3,ALL_SEEN_REWRITE,300,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,300,300,1.0,08a368b81e45ba349fd15616820244e7942d0fdb7ad6093c1be193ebcce07db4,300,300,300,14.454499895874457,14.280326600826811,11.461126342968782,16.985879637810285,19.831182471846116,25.932647358858958,300,0.004363102611108237,0.0011925140861421824,0.0005439232481876388,0.002220784197561443,0.004240757878869775,0.512121856212616,300,300,305,305,300,14.458862998485564,14.281024932861328,11.461883306503296,16.986429691314697,19.831819534301758,25.932798385620117,300,0,7,307
BLUE_L4_ONLY,4,ALL_SEEN_REWRITE,400,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,400,400,1.0,87312149c7277289e93c3d5f1063f895619cf785419a9873e10a5506d404ae8d,400,400,400,14.640700217758608,14.62420276744524,11.564168925164267,17.400703994208016,20.06986424097122,26.709841937408783,400,0.004951423133420576,0.001140709442552179,0.0005237280420260504,0.0021872721845284104,0.0040190170519053955,0.7430967092514038,400,400,406,406,400,14.645651640892028,14.624894618988037,11.564995050430298,17.401721477508545,20.070052719116212,26.71026611328125,400,0,7,407
BLUE_L4_ONLY,5,ALL_SEEN_REWRITE,500,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,500,500,1.0,0dad6dc0a268b50498e886400fa3df225da8753b43189074093c6359af6d02d1,500,500,500,14.617857586970022,14.5230683303962,11.642732264532242,17.346931240550475,19.91642439457064,26.465992335113697,500,0.008768772969553537,0.0011597700067795813,0.000555778038688004,0.002210258797276765,0.004504260653629899,2.151254177093506,500,499,506,507,500,14.626626359939575,14.530276775360107,11.644978523254395,17.34839153289795,19.917228507995606,26.466487884521484,500,0,7,507
BLUE_L4_ONLY,6,ALL_SEEN_REWRITE,600,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,600,600,1.0,56605eb72b69232d14eafbe67ddb2059a4c3f91af7985112c193cc43d15978de,600,600,600,14.633089403192377,14.49466465623118,11.72660113874008,17.41290283248236,19.882376497527005,26.37251174694393,600,0.012312366286738931,0.0011669747764244676,0.0005602161108981818,0.0023669283255003393,0.0043973775114864114,2.3529868125915527,600,599,610,611,600,14.645401769479117,14.495481967926025,11.728107690811157,17.41385269165039,19.883080482482914,26.373004913330078,600,0,9,609
BLUE_L4_ONLY,7,ALL_SEEN_REWRITE,700,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,700,700,1.0,bb32c4bc5808f23ba4eb451061048348772cdd873dfeaf627bb9fb9ed843d113,700,700,700,14.611145484429372,14.463359210276394,11.731669439614052,17.524656384790433,19.90022201948159,26.485539064044133,700,0.01738717591870227,0.0011663188925012946,0.000519111126777716,0.0022610475425608456,0.004615569813176992,4.238083839416504,700,698,710,712,700,14.628532660348075,14.46505355834961,11.734317302703857,17.52747869491577,19.90129852294922,26.486207962036133,700,0,10,710
BLUE_L4_ONLY,8,ALL_SEEN_REWRITE,800,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,799,800,0.99875,dccb961b855d84c53c62f1a5cea1092d3e59c6c12c29c3957a9ef9aab77ee230,799,800,800,14.60208550192382,14.50893300466123,11.673291658516973,17.418877148709726,19.779499854444293,26.578217987553217,800,0.017092545256355153,0.0011786760878749192,0.0005375787877710536,0.0023564923321828246,0.00463990718126297,4.217988014221191,800,798,812,814,800,14.619178047180176,14.510514259338379,11.679579496383667,17.419877529144287,19.780015373229983,26.578914642333984,800,0,10,810
BLUE_L4_ONLY,9,ALL_SEEN_REWRITE,900,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,899,900,0.9988888888888889,76c9409493a1fb841d867d5e63ef813302fcabbb95369f1bb4c02e6a7b94250a,899,900,900,14.55772733162055,14.495066457078792,11.65087204163865,17.495931175813894,19.794471274549142,26.644294454250485,900,0.022156467932367783,0.0011619728174991906,0.0005417488428065553,0.0025207490543834865,0.00493180942721665,5.997377872467041,900,897,911,914,900,14.579883799552917,14.497588634490967,11.651172399520874,17.497050762176514,19.79728584289551,26.644914627075195,900,0,11,911
BLUE_L4_ONLY,10,ALL_SEEN_REWRITE,1000,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,998,1000,0.998,1cc8f7c862e872d70fb66961fe377acd775f5286707424006ed064bc7a145ec8,998,1000,1000,14.496862635664813,14.463486472493969,11.46943299769191,17.351923343667295,19.655976701955662,26.546184434060706,1000,0.03190484238398858,0.0011623300379142165,0.0005652796535287052,0.0024444659939035773,0.0047913619317114355,6.699726104736328,1000,995,1010,1015,1000,14.5287674780488,14.464827537536621,11.471707105636597,17.35404920578003,19.658075523376468,26.546348571777344,1000,2,13,1011
BLUE_L8_ONLY,1,ALL_SEEN_REWRITE,100,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,100,100,1.0,ac1b75944dab1213572ba331061bc11b08605b20faae4a01701fc8ec25189cca,100,100,100,14.118065007743063,13.975262819381896,11.535093294478429,16.88372378879285,18.80932714500814,21.56891498726327,100,0.0015672745140182087,0.0009201702487189323,0.0005029366875533015,0.0017334389267489314,0.0029208627762272966,0.02372286096215248,100,100,101,101,100,14.11963228225708,13.977148532867432,11.535553932189941,16.884672164916992,18.81013469696045,21.56957244873047,100,0,3,103
BLUE_L8_ONLY,2,ALL_SEEN_REWRITE,200,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,200,200,1.0,78ce90a10f360d96b3932ea9b776cef0d0f85378aaab6bac2a51da1472e55548,200,200,200,13.694846366366109,13.327126852760557,10.97159978428681,16.692097559702233,18.47278831638541,21.313997774850577,200,0.0022118344700720626,0.0010221143602393568,0.0005755258171120659,0.002091126807499677,0.004108204320073128,0.04595118388533592,200,200,203,203,200,13.697058200836182,13.328545093536377,10.973083734512329,16.692948818206787,18.473447227478026,21.314542770385742,200,0,4,204
BLUE_L8_ONLY,3,ALL_SEEN_REWRITE,300,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,300,300,1.0,08a368b81e45ba349fd15616820244e7942d0fdb7ad6093c1be193ebcce07db4,300,300,300,13.574223600408622,13.77208908268949,10.741924114947324,16.365247334120795,18.368747451907257,24.098137028631754,300,0.004001487710884249,0.0010907658142969012,0.0005511910421773791,0.0024054302484728396,0.004887632420286539,0.175535187125206,300,300,305,305,300,13.578225088119506,13.772844791412354,10.743052005767822,16.36691427230835,18.37015190124512,24.09912109375,300,0,7,307
BLUE_L8_ONLY,4,ALL_SEEN_REWRITE,400,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,399,400,0.9975,95f373666e6ce5eff87baf61d84a0ff74f1309a4ab071617319e13daa92737db,399,400,400,13.583776251635664,13.36054048727965,10.82182208969607,16.381012512603775,18.609421511621623,26.15055060501618,400,0.013303175010569247,0.0012356750085018575,0.0005645647906931117,0.002598037011921406,0.006226848857477315,2.166687250137329,400,399,405,406,400,13.597079426646232,13.37204360961914,10.82290530204773,16.381853103637695,18.61209144592285,26.150598526000977,400,1,8,407
BLUE_L8_ONLY,5,ALL_SEEN_REWRITE,500,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,500,500,1.0,0dad6dc0a268b50498e886400fa3df225da8753b43189074093c6359af6d02d1,500,500,500,13.632406341630624,13.39145109707897,10.892815973376855,16.31265492051898,18.62700565699197,26.040501596588,500,0.011577188652350742,0.0013424084754660726,0.0006305672868620604,0.002847101539373398,0.006263594329357151,1.7567100524902344,500,500,507,507,500,13.643983530282974,13.398550510406494,10.893397569656372,16.313631057739258,18.627704238891603,26.040565490722656,500,0,7,507
BLUE_L8_ONLY,6,ALL_SEEN_REWRITE,600,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,600,600,1.0,56605eb72b69232d14eafbe67ddb2059a4c3f91af7985112c193cc43d15978de,600,600,600,13.588945913274614,13.529569401394838,10.807853406877257,16.23874463394168,18.633881006378214,26.665830852118233,600,0.01334824228333673,0.001594404224306345,0.0007252446666825563,0.003297548508271575,0.0075610390864312696,1.6276239156723022,600,599,610,611,600,13.602294155557951,13.531090259552002,10.813459634780884,16.240527153015137,18.635103607177737,26.66588592529297,600,0,9,609
