arm,reference,metric,batch,denominator,reference_success,arm_success,success_to_loss,failure_to_recovery,stable_success,stable_failure,paired_identity_hash,unit
BLUE,OWN_W0,RS,1,100,5,100,0,95,5,0,9fe925a7c6311ced96b8bdf6d9add5607fa3986acd1aca16a6bf11d77f93197b,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,PS,1,200,20,190,0,170,20,10,7bebbb2de73db54dbf57554478ac90c3d09f8c5f539d2a5027ebc760e775e217,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,NS,1,1000,886,867,22,3,864,111,0281f7383438663138b9480406cb0079dc4fc1c7d02add53993b9a6a4dd58eca,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,RS,5,500,35,500,0,465,35,0,a7acbb14098a694fdb1fb9b10e46e0873616a4c8bc5f39df56a0176b8d654249,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,PS,5,1000,112,962,1,851,111,37,426c6c9822c9cbf84828a6df5dc0cc37b826266a26a3d5b73d559f38615035d1,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,NS,5,5000,4392,4190,275,73,4117,535,38c8992fd0042030001dd18568514713a784eb02de94c70d6f4142359254e1f5,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,RS,10,1000,71,997,0,926,71,3,f970ccb138d9ca18640643ce1162ea07fcfe27c7627d7d01f00cb74c0a9b5752,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,PS,10,2000,227,1939,1,1713,226,60,9ad41d26f1629261963f9d92825d92ebbd0281f86fca8b340c0121e408514ec9,"prompt; descriptive, no independence-based significance"
BLUE,OWN_W0,NS,10,10000,8820,8057,952,189,7868,991,5f64df1165a24ea7c000a179fd99a9b77c40d1e1670195e15bca3a1d6cccdca2,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,RS,1,100,5,100,0,95,5,0,9fe925a7c6311ced96b8bdf6d9add5607fa3986acd1aca16a6bf11d77f93197b,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,PS,1,200,20,190,0,170,20,10,7bebbb2de73db54dbf57554478ac90c3d09f8c5f539d2a5027ebc760e775e217,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,NS,1,1000,886,867,21,2,865,112,0281f7383438663138b9480406cb0079dc4fc1c7d02add53993b9a6a4dd58eca,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,RS,5,500,35,500,0,465,35,0,a7acbb14098a694fdb1fb9b10e46e0873616a4c8bc5f39df56a0176b8d654249,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,PS,5,1000,112,965,1,854,111,34,426c6c9822c9cbf84828a6df5dc0cc37b826266a26a3d5b73d559f38615035d1,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,NS,5,5000,4392,4205,255,68,4137,540,38c8992fd0042030001dd18568514713a784eb02de94c70d6f4142359254e1f5,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,RS,10,1000,71,998,0,927,71,2,f970ccb138d9ca18640643ce1162ea07fcfe27c7627d7d01f00cb74c0a9b5752,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,PS,10,2000,227,1943,1,1717,226,56,9ad41d26f1629261963f9d92825d92ebbd0281f86fca8b340c0121e408514ec9,"prompt; descriptive, no independence-based significance"
BLUE_L4_ONLY,OWN_W0,NS,10,10000,8820,8072,934,186,7886,994,5f64df1165a24ea7c000a179fd99a9b77c40d1e1670195e15bca3a1d6cccdca2,"prompt; descriptive, no independence-based significance"
BLUE_L8_ONLY,OWN_W0,RS,1,100,5,100,0,95,5,0,9fe925a7c6311ced96b8bdf6d9add5607fa3986acd1aca16a6bf11d77f93197b,"prompt; descriptive, no independence-based significance"
BLUE_L8_ONLY,OWN_W0,PS,1,200,20,183,0,163,20,17,7bebbb2de73db54dbf57554478ac90c3d09f8c5f539d2a5027ebc760e775e217,"prompt; descriptive, no independence-based significance"
BLUE_L8_ONLY,OWN_W0,NS,1,1000,886,845,50,9,836,105,0281f7383438663138b9480406cb0079dc4fc1c7d02add53993b9a6a4dd58eca,"prompt; descriptive, no independence-based significance"
