NS_den,NS_num,NS_rate,NS_strict_den,NS_strict_num,PS_den,PS_num,PS_rate,PS_strict_den,PS_strict_num,RS_den,RS_num,RS_rate,RS_strict_den,RS_strict_num,W_sha256,alias,arm,batch,evidence,locality_margin_max,locality_margin_mean,locality_margin_median,locality_margin_n,locality_margin_p90,locality_target_new_all_tokens_correct_count,locality_target_new_correct_token_count,locality_target_new_nll_max,locality_target_new_nll_mean,locality_target_new_nll_median,locality_target_new_nll_p90,locality_target_new_row_count,locality_target_new_strict_teacher_forced_correct_den,locality_target_new_strict_teacher_forced_correct_num,locality_target_new_target_token_denominator,locality_target_true_all_tokens_correct_count,locality_target_true_correct_token_count,locality_target_true_nll_max,locality_target_true_nll_mean,locality_target_true_nll_median,locality_target_true_nll_p90,locality_target_true_row_count,locality_target_true_strict_teacher_forced_correct_den,locality_target_true_strict_teacher_forced_correct_num,locality_target_true_target_token_denominator,rephrase_margin_max,rephrase_margin_mean,rephrase_margin_median,rephrase_margin_n,rephrase_margin_p90,rephrase_target_new_all_tokens_correct_count,rephrase_target_new_correct_token_count,rephrase_target_new_nll_max,rephrase_target_new_nll_mean,rephrase_target_new_nll_median,rephrase_target_new_nll_p90,rephrase_target_new_row_count,rephrase_target_new_strict_teacher_forced_correct_den,rephrase_target_new_strict_teacher_forced_correct_num,rephrase_target_new_target_token_denominator,rephrase_target_true_all_tokens_correct_count,rephrase_target_true_correct_token_count,rephrase_target_true_nll_max,rephrase_target_true_nll_mean,rephrase_target_true_nll_median,rephrase_target_true_nll_p90,rephrase_target_true_row_count,rephrase_target_true_strict_teacher_forced_correct_den,rephrase_target_true_strict_teacher_forced_correct_num,rephrase_target_true_target_token_denominator,request_count,rewrite_margin_max,rewrite_margin_mean,rewrite_margin_median,rewrite_margin_n,rewrite_margin_p90,rewrite_target_new_all_tokens_correct_count,rewrite_target_new_correct_token_count,rewrite_target_new_nll_max,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_p90,rewrite_target_new_row_count,rewrite_target_new_strict_teacher_forced_correct_den,rewrite_target_new_strict_teacher_forced_correct_num,rewrite_target_new_target_token_denominator,rewrite_target_true_all_tokens_correct_count,rewrite_target_true_correct_token_count,rewrite_target_true_nll_max,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_p90,rewrite_target_true_row_count,rewrite_target_true_strict_teacher_forced_correct_den,rewrite_target_true_strict_teacher_forced_correct_num,rewrite_target_true_target_token_denominator,scope,NS_bit_order_sha256,locality_margin_q25,locality_margin_q75,locality_target_new_nll_n,locality_target_new_nll_q25,locality_target_new_nll_q75,locality_target_true_nll_n,locality_target_true_nll_q25,locality_target_true_nll_q75,PS_bit_order_sha256,rephrase_margin_q25,rephrase_margin_q75,rephrase_target_new_nll_n,rephrase_target_new_nll_q25,rephrase_target_new_nll_q75,rephrase_target_true_nll_n,rephrase_target_true_nll_q25,rephrase_target_true_nll_q75,RS_bit_order_sha256,rewrite_margin_q25,rewrite_margin_q75,rewrite_target_new_nll_n,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_true_nll_n,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75
1000,869,0.869,100,56,200,185,0.925,100,88,100,100,1.0,100,100,0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,llama3-8b-inst,O_NATIVE,1,SERVER2_GIT_PUBLICATION_REHASH_NOT_REMOTE_RAW,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,5.671611745530216,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,4,7,23.806610107421875,10.976382461061585,11.021828651428223,15.873006629943848,1000,100,0,1010,169,198,17.697004318237305,5.304770715531369,5.014046669006348,10.299618244171143,1000,100,0,1030,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,7.678791857243922,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,200,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,131,133,12.689929962158203,1.5665824408517801,0.2695544809103012,5.336558628082275,200,100,49,202,4,10,20.324710845947266,9.245374298095703,9.064300060272217,14.265041923522947,200,100,0,206,100,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,14.403895704875396,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,100,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,100,101,0.025194305926561356,0.0019451736112387152,0.0008131534559652209,0.0038690073182806426,100,100,100,101,0,3,22.148353576660156,14.405840878486634,14.268362045288086,19.34817409515381,100,100,0,103,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,4100,0.82,500,218,1000,942,0.942,500,455,500,500,1.0,500,500,d5242c7018dd9fe2ce83be9d079eda59a476b97aba652ba93c0c0602155d544e,llama3-8b-inst,O_NATIVE,5,SERVER2_GIT_PUBLICATION_REHASH_NOT_REMOTE_RAW,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,4.4163175698166945,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,5000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,93,157,23.588125228881836,9.190066237104684,9.109794616699219,14.091171264648438,5000,500,0,5070,1124,1194,18.645299911499023,4.77374866728799,4.31406831741333,9.87989072799683,5000,500,4,5070,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,8.253614427447634,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,697,711,15.233848571777344,1.4972879861292094,0.20602328330278397,4.943198966979981,1000,500,267,1014,16,29,24.29983901977539,9.750902413576842,9.60718822479248,15.105557823181153,1000,500,0,1014,500,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,14.352976004319427,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,500,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,500,507,0.4837722182273865,0.004188006682159539,0.0009564950014464557,0.004614430852234366,500,500,500,507,0,7,29.087303161621094,14.357164011001586,14.127419471740723,19.46954402923584,500,500,0,507,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,7584,0.7584,1000,336,2000,1910,0.955,1000,927,1000,1000,1.0,1000,1000,79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,llama3-8b-inst,O_NATIVE,10,SERVER2_GIT_PUBLICATION_REHASH_NOT_REMOTE_RAW,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,3.4012042550870705,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,10000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,513,656,24.01744842529297,8.428053057450006,8.494887351989746,13.614251995086672,10000,1000,0,10150,1967,2077,24.019271850585938,5.026848802362935,4.4990410804748535,10.203434562683107,10000,1000,1,10110,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,8.641402556085383,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,2000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1436,1465,15.362716674804688,1.3579957188671614,0.1722850427031517,4.79452786445618,2000,1000,556,2030,22,42,25.22059440612793,9.999398274952545,9.964792251586914,15.146530914306641,2000,1000,0,2022,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,14.169341783947843,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,996,1011,11.816629409790039,0.031701463036638414,0.0012494265683926642,0.0072453836910426625,1000,1000,996,1015,0,11,27.83514404296875,14.201043246984481,13.994935989379883,19.626919174194338,1000,1000,0,1011,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,858,0.858,100,53,200,177,0.885,100,81,100,100,1.0,100,100,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JVP,1,SERVER2_GIT_PUBLICATION_REHASH_NOT_REMOTE_RAW,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,5.37232228838501,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,9,12,23.862316131591797,10.714540405328268,10.775123119354248,15.733733463287354,1000,100,0,1010,163,192,17.880802154541016,5.3422181169432585,5.047408819198608,10.411035060882568,1000,100,1,1030,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,6.2442853848077355,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,200,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,120,122,12.823269844055176,2.095719306357205,0.642320305109024,6.231567955017087,200,100,43,202,4,10,18.98365020751953,8.34000469116494,8.098595142364502,13.302131175994871,200,100,0,206,100,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,13.84394374003179,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,100,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,100,101,0.04519398510456085,0.002587331631111738,0.0012104928027838469,0.005187384271994234,100,100,100,101,0,3,21.42755126953125,13.846531071662902,13.612408638000488,18.672824668884285,100,100,0,103,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,3909,0.7818,500,182,1000,902,0.902,500,418,500,499,0.998,500,499,b4580ec60ed824cb7093d344c592e50b2008be8e1c39efea09e710dfe1355d00,llama3-8b-inst,JVP,5,SERVER2_GIT_PUBLICATION_REHASH_NOT_REMOTE_RAW,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,3.732248705853886,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,5000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,124,184,23.884124755859375,8.877204501856118,8.740908145904541,13.79985971450806,5000,500,0,5070,891,960,18.943008422851562,5.1449557960022325,4.754410743713379,10.363758945465088,5000,500,2,5070,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,6.922800970195995,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,613,627,15.942028999328613,1.9296281827276398,0.4461618661880493,6.32677264213562,1000,500,204,1014,28,41,25.073945999145508,8.852429152923635,8.663959503173828,14.0923397064209,1000,500,3,1014,500,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,13.458690904693903,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,500,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,499,506,7.608057498931885,0.022012817306218496,0.00148781668394804,0.006904706172645094,500,500,499,507,0,7,26.149415969848633,13.480703722000122,12.907569885253906,18.778042602539063,500,500,0,507,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,7259,0.7259,1000,264,2000,1690,0.845,1000,786,1000,923,0.923,1000,923,d069813f5e93a26f42331c6b9b9990c5c863c6a064b5cd47661f4ed6a8044d5a,llama3-8b-inst,JVP,10,SERVER2_GIT_PUBLICATION_REHASH_NOT_REMOTE_RAW,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,2.8857494085236137,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,10000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,500,638,24.453927993774414,8.341745316300102,8.28245496749878,13.539870643615723,10000,1000,0,10150,1548,1658,20.521289825439453,5.455995907776488,5.004107236862183,10.593186187744143,10000,1000,1,10110,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,5.926957004472193,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,2000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1121,1150,22.70987892150879,2.5476444161147356,0.7576643824577332,7.986993551254273,2000,1000,391,2030,73,95,24.671646118164062,8.474601420586929,8.323457717895508,13.649849510192873,2000,1000,13,2022,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,11.588003483950459,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,1000,NOT_RECORDED_PUBLISHED_PROMPT_PAIRS,899,914,20.85807991027832,0.8937130187188086,0.0022973224986344576,1.2863426327705403,1000,1000,899,1015,25,35,26.338279724121094,12.481716502669267,12.50518798828125,18.58857707977295,1000,1000,25,1011,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,856,0.856,100,53,200,178,0.89,100,82,100,100,1.0,100,100,fcaa4621b5e8d13dc02acaa711ffd35387cb615cc3b2e19b3713746961fac78e,llama3-8b-inst,JVP_L8,1,SERVER4_REHASHED_PUBLIC_ROWS,20.061643943190575,5.361847387223621,5.158473491668701,1000,12.010519975668286,9,12,23.84934425354004,10.705734693967214,10.769299507141113,15.739728927612305,1000,100,0,1010,163,192,17.87944793701172,5.343887306743593,5.05216383934021,10.442217445373537,1000,100,1,1030,18.979572732467204,6.226946406784991,6.2181949429214,200,12.985885842121206,118,120,12.784839630126953,2.1010675342645846,0.6443491876125336,6.244177579879757,200,100,41,202,4,10,18.983556747436523,8.328013941049576,8.059667587280273,13.310387134552,200,100,0,206,100,21.42810762184672,13.836691856205253,13.63142308130773,100,18.66526158878697,100,101,0.0447877012193203,0.0025928594472134137,0.0012490677181631327,0.005284186126664282,100,100,100,101,0,3,21.429086685180664,13.839284715652466,13.631749629974365,18.665720939636238,100,100,0,103,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,3892,0.7784,500,176,1000,902,0.902,500,418,500,499,0.998,500,499,2a0340a2b0997f2933fa487615bb4a671b0397271d0cf89a5f624748b7e22164,llama3-8b-inst,JVP_L8,5,SERVER4_REHASHED_PUBLIC_ROWS,19.619062960147858,3.694099382619931,3.6419031620025635,5000,9.786597907543188,140,200,23.54580307006836,8.843934380573314,8.743518829345703,13.768840789794922,5000,500,0,5070,903,972,18.64742660522461,5.149834997953383,4.727716684341431,10.273476600646973,5000,500,2,5070,23.85963112837635,6.923641918215522,7.1306348368525505,1000,13.371474240114914,624,638,15.72962760925293,1.9263820794172644,0.42312660813331604,6.552218532562256,1000,500,214,1014,23,36,23.862852096557617,8.850023997632787,8.668981075286865,14.110001373291016,1000,500,2,1014,500,27.322014227611362,13.503821763014079,13.165463185025146,500,19.09736509169452,497,504,7.027523517608643,0.03776288225722237,0.0014789487468078732,0.007206146558746709,500,500,497,507,0,7,27.322187423706055,13.541584645271302,13.166891098022461,19.10017490386963,500,500,0,507,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,7214,0.7214,1000,270,2000,1702,0.851,1000,797,1000,918,0.918,1000,918,d1645cffd03493f45c2f54ecc94e2b24ddee4b7ac4d782eea805cf586104bc20,llama3-8b-inst,JVP_L8,10,SERVER4_REHASHED_PUBLIC_ROWS,19.810160875320435,2.832453595193653,2.8132476806640625,10000,9.120330452919008,489,627,26.159156799316406,8.308193355519677,8.266045093536377,13.511051654815674,10000,1000,0,10150,1490,1600,20.014728546142578,5.475739760326023,5.046898365020752,10.60549945831299,10000,1000,2,10110,24.022670892532915,6.086082107777849,6.569868471473455,2000,13.287051452882592,1148,1177,22.7352294921875,2.5148801534654086,0.6681797206401825,8.024741363525392,2000,1000,413,2030,70,92,24.025766372680664,8.600962261243257,8.441243648529053,14.007232093811039,2000,1000,13,2022,1000,27.04112399261794,11.567605588384264,12.439566112239845,1000,18.356957592099207,897,912,19.462841033935547,0.9086904149453039,0.002256349427625537,2.0676411390304676,1000,1000,897,1015,22,32,27.041236877441406,12.476296003329567,12.545708656311035,18.357528495788575,1000,1000,22,1011,single_W_seen_prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,867,0.867,100,57,200,190,0.95,100,92,100,100,1.0,100,100,,,BLUE,1,LOCAL_PROMPT_PAIRS_INDEPENDENT_REDUCER,19.754058696329594,5.62870361086342,5.582168817520142,1000,12.319271716475487,7,9,23.54741668701172,11.145884072711226,11.161942958831787,15.976325416564942,1000,,,1010,153,182,18.835391998291016,5.517180461847805,5.284552335739136,10.687130069732666,1000,,,1030,22.267129293177277,8.446568180761533,8.678655326366425,200,14.38061813006643,130,132,11.46416187286377,1.598137121059699,0.33469991385936737,4.739128971099853,200,,,202,3,9,22.26930809020996,10.044705301821232,9.675580978393555,15.111063289642333,200,,,206,100,25.40653529553674,14.788370848721389,14.848541795639903,100,19.792978597934418,100,101,0.01849641464650631,0.0022064341841905844,0.0014328210963867605,0.004051769385114315,100,,,101,0,3,25.406770706176758,14.790577282905579,14.848850727081299,19.793217849731448,100,,,103,CHECKPOINT_ALL_SEEN,2ee961e8ee39e44ff7732b6eb5f900df91469f6723b691d46908eec9c199927b,2.207803964614868,9.13925489783287,1000,8.384792566299438,14.007282495498657,1000,2.442135274410248,8.176344394683838,4913977ff6b25abd8ee0a987a708a6a8f62a11c1cc0ddf2e67a2698521f4425b,5.879764449549839,11.32250740379095,200,0.04374079033732414,2.578731656074524,200,7.594418287277222,12.359769105911255,ac1b75944dab1213572ba331061bc11b08605b20faae4a01701fc8ec25189cca,11.662786470798892,17.80118114677316,100,0.0005026683284086175,0.0025974722811952233,100,11.664757013320923,17.802754402160645
