arm,batch,scope,metric,numerator,denominator,rate,request_denominator,pair_strict_num,ties,bit_order_sha256,new_nll_prompt_n,new_nll_prompt_mean,new_nll_prompt_median,new_nll_prompt_q25,new_nll_prompt_q75,new_nll_prompt_p90,new_nll_prompt_max,new_nll_request_n,new_nll_request_mean,new_nll_request_median,new_nll_request_q25,new_nll_request_q75,new_nll_request_p90,new_nll_request_max,new_strict_num,new_strict_den,new_token_correct,new_token_den,true_nll_prompt_n,true_nll_prompt_mean,true_nll_prompt_median,true_nll_prompt_q25,true_nll_prompt_q75,true_nll_prompt_p90,true_nll_prompt_max,true_nll_request_n,true_nll_request_mean,true_nll_request_median,true_nll_request_q25,true_nll_request_q75,true_nll_request_p90,true_nll_request_max,true_strict_num,true_strict_den,true_token_correct,true_token_den,margin_prompt_n,margin_prompt_mean,margin_prompt_median,margin_prompt_q25,margin_prompt_q75,margin_prompt_p90,margin_prompt_max,margin_request_n,margin_request_mean,margin_request_median,margin_request_q25,margin_request_q75,margin_request_p90,margin_request_max,arm_display_label
AlphaEdit_ORIGINAL,1,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,100,100,1.0,100,100,0,ac1b75944dab1213572ba331061bc11b08605b20faae4a01701fc8ec25189cca,100,0.0022064341841905844,0.0014328210963867605,0.0005026683284086175,0.0025974722811952233,0.004051769385114315,0.01849641464650631,100,0.0022064341841905844,0.0014328210963867605,0.0005026683284086175,0.0025974722811952233,0.004051769385114315,0.01849641464650631,100,100,101,101,100,14.790577282905579,14.848850727081299,11.664757013320923,17.802754402160645,19.793217849731448,25.406770706176758,100,14.790577282905579,14.848850727081299,11.664757013320923,17.802754402160645,19.793217849731448,25.406770706176758,0,100,3,103,100,14.788370848721389,14.848541795639903,11.662786470798892,17.80118114677316,19.792978597934418,25.40653529553674,100,14.788370848721389,14.848541795639903,11.662786470798892,17.80118114677316,19.792978597934418,25.40653529553674,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,1,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,190,200,0.95,100,92,0,4913977ff6b25abd8ee0a987a708a6a8f62a11c1cc0ddf2e67a2698521f4425b,200,1.598137121059699,0.33469991385936737,0.04374079033732414,2.578731656074524,4.739128971099853,11.46416187286377,100,1.598137121059699,0.972230663173832,0.14272526558488607,2.3067316114902496,4.270257318019872,8.324363470077515,130,200,132,202,200,10.044705301821232,9.675580978393555,7.594418287277222,12.359769105911255,15.111063289642333,22.26930809020996,100,10.044705301821232,9.88114070892334,7.718159973621368,12.379486322402954,14.30468764305115,20.900851249694824,3,200,9,206,200,8.446568180761533,8.678655326366425,5.879764449549839,11.32250740379095,14.38061813006643,22.267129293177277,100,8.446568180761533,8.753376723499969,5.663134952541441,10.837239700369537,13.849182977611783,17.82032078062184,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,1,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,NS,867,1000,0.867,100,57,0,2ee961e8ee39e44ff7732b6eb5f900df91469f6723b691d46908eec9c199927b,1000,11.145884072711226,11.161942958831787,8.384792566299438,14.007282495498657,15.976325416564942,23.54741668701172,100,11.145884072711224,11.21434826850891,8.795069733262062,13.345547747611999,14.931880674362183,20.20973930358887,7,1000,9,1010,1000,5.517180461847805,5.284552335739136,2.442135274410248,8.176344394683838,10.687130069732666,18.835391998291016,100,5.517180461847804,5.490025639720261,3.5691183606162666,6.943173044919968,8.796181316375733,12.250461673736572,153,1000,182,1030,1000,-5.62870361086342,-5.582168817520142,-9.13925489783287,-2.207803964614868,0.9250579595565802,10.145793127361685,100,-5.628703610863418,-5.677316832356155,-8.642207672260701,-2.7967903733253476,-0.4691552925109858,4.778906345367432,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,5,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,500,500,1.0,500,500,0,0dad6dc0a268b50498e886400fa3df225da8753b43189074093c6359af6d02d1,500,0.005378159977022733,0.001202277489937842,0.0005483017885126173,0.0021891159703955054,0.003922175522893668,1.0061448812484741,500,0.005378159977022733,0.001202277489937842,0.0005483017885126173,0.0021891159703955054,0.003922175522893668,1.0061448812484741,500,500,507,507,500,14.553547655105591,14.474443435668945,11.660865545272827,17.057608127593994,19.647189140319824,25.959659576416016,500,14.553547655105591,14.474443435668945,11.660865545272827,17.057608127593994,19.647189140319824,25.959659576416016,0,500,7,507,500,14.548169495128569,14.47383940819418,11.658974596182816,17.05625951185357,19.64070690488443,25.959477202835842,500,14.548169495128569,14.47383940819418,11.658974596182816,17.05625951185357,19.64070690488443,25.959477202835842,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,5,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,962,1000,0.962,500,469,0,e0a0aa9e0b44c2a0f7c7789c48f691a4243626e39b291c7f7f544bd7b074c236,1000,1.5466099920411944,0.3035239577293396,0.03205701895058155,2.12674617767334,5.317218923568726,13.102126121520996,500,1.5466099920411944,0.7426431626081467,0.10018039417627733,2.4141637361608446,4.1146921753883365,10.421219825744629,669,1000,683,1014,1000,10.10230977150798,9.972790241241455,7.48328423500061,12.604380130767822,15.1971586227417,25.146968841552734,500,10.10230977150798,9.866575002670288,7.826711684465408,12.316827535629272,14.755899620056153,24.00766086578369,14,1000,27,1014,1000,8.555699779466783,8.616628274903633,5.550674262922257,11.404551302424807,14.815397491678596,25.12386246956885,500,8.555699779466783,8.554568049497902,5.743801802396774,11.164978876069654,14.02057219151175,24.00528647529427,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,5,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,NS,4190,5000,0.838,500,238,0,123437b6af3217ae47db59b4442b2d886ff7cde14a21a0cfe215a0f18b3d4fca,5000,9.883481918643708,9.79800796508789,7.362832427024841,12.279156923294067,14.665267753601077,24.75530433654785,500,9.883481918643708,9.517014861106873,7.865107290446758,11.680063939094545,13.601607847213746,21.776112365722657,61,5000,124,5070,5000,5.180454134604777,4.775925636291504,2.058528423309326,7.680282473564148,10.357277297973642,19.435651779174805,500,5.180454134604777,5.05517001748085,3.325712924450636,6.871938997507096,8.456809623241424,12.391022682189941,940,5000,1010,5070,5000,-4.703027784038932,-4.611759185791016,-7.978259086608887,-1.4411611557006836,1.2339807033538825,14.917444728474948,500,-4.703027784038932,-4.713044703751802,-7.081373764947056,-2.1615059614181518,-0.2336329150199888,6.244978821277618,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,10,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,997,1000,0.997,1000,997,0,824567b1b53cda7cc32508056019cef0269c5af7844967d1ee6268b74a43ef4e,1000,0.04635484112659833,0.0012496646959334612,0.0005661732429871336,0.0024874837836250663,0.004786497633904219,20.734928131103516,1000,0.04635484112659833,0.0012496646959334612,0.0005661732429871336,0.0024874837836250663,0.004786497633904219,20.734928131103516,997,1000,1012,1015,1000,14.51155035161972,14.463168144226074,11.514350891113281,17.25280523300171,19.630774688720706,28.9539794921875,1000,14.51155035161972,14.463168144226074,11.514350891113281,17.25280523300171,19.630774688720706,28.9539794921875,0,1000,11,1011,1000,14.465195510493123,14.457345320552122,11.486409942386672,17.236800102866255,19.63032054512587,28.95350765393232,1000,14.465195510493123,14.457345320552122,11.486409942386672,17.236800102866255,19.63032054512587,28.95350765393232,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,10,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,1939,2000,0.9695,1000,952,0,15c4210085d2c4f9f54890cb12e7f03ce4a28c6afed4a398be357c5026ff7f52,2000,1.5275426892170636,0.300677090883255,0.0313324760645628,2.192783296108246,5.0635545730590845,16.637474060058594,1000,1.5275426892170636,0.7199627961963415,0.09724331687903032,2.380036359652877,3.969383752346039,12.223012447357178,1347,2000,1376,2030,2000,10.143880024138838,10.02944564819336,7.46662962436676,12.60116982460022,15.048765563964844,24.80020523071289,1000,10.143880024138838,9.97143268585205,7.741133272647858,12.294238567352295,14.827439165115356,24.25887107849121,14,2000,35,2022,2000,8.616337334921775,8.568411476910114,5.624834580346942,11.552091328427196,14.422145252896009,24.77887685596943,1000,8.616337334921775,8.640499704517424,5.817915249615908,11.203647656366229,13.848989663436079,24.257288221735507,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,10,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,NS,8057,10000,0.8057,1000,406,0,9f36c9d079ea899275b0c08efade1c996fcf52ff64ab3d3d83d7c5011254fe19,10000,9.266179020602484,9.278098106384277,6.66575825214386,11.885095119476318,14.1648907661438,25.826013565063477,1000,9.266179020602486,9.132082200050354,7.2085061311721805,11.27590674161911,12.835829572677612,21.61388111114502,246,10000,389,10150,10000,5.3222279921894255,4.836704254150391,2.2640098333358765,7.8410564661026,10.585048389434816,23.335926055908203,1000,5.322227992189425,5.188502931594849,3.5412199359387158,6.986612075567246,8.502414412498474,12.692278003692627,1814,10000,1924,10110,10000,-3.9439510284130592,-3.968430519104004,-7.230929315090179,-0.8877399563789368,2.0595669746398944,19.028145603399025,1000,-3.9439510284130592,-3.8603663802146913,-6.304840478859842,-1.4624008500642958,0.3454527187347423,6.933492994308471,AlphaEdit_BLUE (L4+L8)
AlphaEdit_ORIGINAL,20,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,1992,2000,0.996,2000,1992,0,e31359f627029cb38fc6da1c6ce10ecbd3f77aba0454e65a1a78b5574a720b45,2000,0.1136033629521371,0.0014035979402251542,0.0006414382223738357,0.0031175842159427702,0.006958666862919929,21.092418670654297,2000,0.1136033629521371,0.0014035979402251542,0.0006414382223738357,0.0031175842159427702,0.006958666862919929,21.092418670654297,1978,2000,2002,2024,2000,14.408832779824733,14.260115623474121,11.315380096435547,17.339755058288574,19.695995712280276,29.056543350219727,2000,14.408832779824733,14.260115623474121,11.315380096435547,17.339755058288574,19.695995712280276,29.056543350219727,1,2000,28,2027,2000,14.295229416872596,14.224105387344025,11.26806810854032,17.31620178744197,19.68136273506971,29.056142768036807,2000,14.295229416872596,14.224105387344025,11.26806810854032,17.31620178744197,19.68136273506971,29.056142768036807,AlphaEdit_BLUE (L4+L8)
