arm,metric,from_batch,to_batch,scope,numerator_delta,denominator_delta,rate_delta,request_denominator_delta,pair_strict_num_delta,ties_delta,new_nll_prompt_n_delta,new_nll_prompt_mean_delta,new_nll_prompt_median_delta,new_nll_prompt_q25_delta,new_nll_prompt_q75_delta,new_nll_prompt_p90_delta,new_nll_prompt_max_delta,new_nll_request_n_delta,new_nll_request_mean_delta,new_nll_request_median_delta,new_nll_request_q25_delta,new_nll_request_q75_delta,new_nll_request_p90_delta,new_nll_request_max_delta,new_strict_num_delta,new_strict_den_delta,new_token_correct_delta,new_token_den_delta,true_nll_prompt_n_delta,true_nll_prompt_mean_delta,true_nll_prompt_median_delta,true_nll_prompt_q25_delta,true_nll_prompt_q75_delta,true_nll_prompt_p90_delta,true_nll_prompt_max_delta,true_nll_request_n_delta,true_nll_request_mean_delta,true_nll_request_median_delta,true_nll_request_q25_delta,true_nll_request_q75_delta,true_nll_request_p90_delta,true_nll_request_max_delta,true_strict_num_delta,true_strict_den_delta,true_token_correct_delta,true_token_den_delta,margin_prompt_n_delta,margin_prompt_mean_delta,margin_prompt_median_delta,margin_prompt_q25_delta,margin_prompt_q75_delta,margin_prompt_p90_delta,margin_prompt_max_delta,margin_request_n_delta,margin_request_mean_delta,margin_request_median_delta,margin_request_q25_delta,margin_request_q75_delta,margin_request_p90_delta,margin_request_max_delta,arm_display_label
MEMIT_ORIGINAL,RS,1,5,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,399,400,-0.0020000000000000018,400,399,0,400,0.014102781528837113,-0.00034497783053666353,-3.920946619473398e-05,-9.023514576256275e-05,0.001984222047030932,4.321862980723381,400,0.014102781528837113,-0.00034497783053666353,-3.920946619473398e-05,-9.023514576256275e-05,0.001984222047030932,4.321862980723381,398,400,404,406,400,-0.6990261974334722,-1.4772706031799316,-0.015311002731323242,-0.9566183090209961,-1.1868598937988324,4.408807754516602,400,-0.6990261974334722,-1.4772706031799316,-0.015311002731323242,-0.9566183090209961,-1.1868598937988324,4.408807754516602,0,400,4,404,400,-0.7131289789623096,-1.476843573822407,-0.01914861425757408,-0.956102811229357,-1.1874320194954677,4.408655297823316,400,-0.7131289789623096,-1.476843573822407,-0.01914861425757408,-0.956102811229357,-1.1874320194954677,4.408655297823316,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,5,10,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,496,500,-0.0030000000000000027,500,496,0,500,0.09877471345032472,-3.446475602686405e-06,-3.0279203201644123e-05,-0.0006507823709398508,0.005668737553060056,15.89228343963623,500,0.09877471345032472,-3.446475602686405e-06,-3.0279203201644123e-05,-0.0006507823709398508,0.005668737553060056,15.89228343963623,489,500,497,508,500,-0.10193843030929628,-0.010207176208496094,-0.26922082901000977,0.07099151611328125,-0.08713073730468679,0.6750106811523438,500,-0.10193843030929628,-0.010207176208496094,-0.26922082901000977,0.07099151611328125,-0.08713073730468679,0.6750106811523438,0,500,4,504,500,-0.20071314375961968,-0.10429841469158418,-0.27075695944586187,0.038697935233358294,-0.08882985740201477,0.6750639608726487,500,-0.20071314375961968,-0.10429841469158418,-0.27075695944586187,0.038697935233358294,-0.08882985740201477,0.6750639608726487,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,10,20,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,993,1000,-0.0010000000000000009,1000,993,0,1000,0.07417962631272143,0.0009596027666702867,0.00020627926278393716,0.00587044283747673,0.03485862407833344,-2.6559219360351562,1000,0.07417962631272143,0.0009596027666702867,0.00020627926278393716,0.00587044283747673,0.03485862407833344,-2.6559219360351562,959,1000,968,1009,1000,0.05765466982126277,0.32195138931274414,-0.1023263931274414,-0.007929325103759766,0.18284358978271342,1.8199481964111328,1000,0.05765466982126277,0.32195138931274414,-0.1023263931274414,-0.007929325103759766,0.18284358978271342,1.8199481964111328,0,1000,16,1016,1000,-0.016524956491460685,0.34684098842262756,-0.2597450877110532,0.00904464305494912,0.1810023542260737,1.8199713209323818,1000,-0.016524956491460685,0.34684098842262756,-0.2597450877110532,0.00904464305494912,0.1810023542260737,1.8199713209323818,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,20,30,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,974,1000,-0.00666666666666671,1000,974,0,1000,0.230526581829937,0.0012650536373257637,9.435808169655502e-05,0.01192966545931995,0.3109673745930191,5.828096389770508,1000,0.230526581829937,0.0012650536373257637,9.435808169655502e-05,0.01192966545931995,0.3109673745930191,5.828096389770508,838,1000,854,1016,1000,-0.01458746045069148,-0.04760169982910156,0.1300361156463623,0.007395744323730469,-0.07196254730224538,0.3383941650390625,1000,-0.01458746045069148,-0.04760169982910156,0.1300361156463623,0.007395744323730469,-0.07196254730224538,0.3383941650390625,8,1000,18,1012,1000,-0.24511404228062972,-0.14994601834041532,-0.18899806420085952,-0.12928508783807047,-0.19433351906481988,0.3383439831159194,1000,-0.24511404228062972,-0.14994601834041532,-0.18899806420085952,-0.12928508783807047,-0.19433351906481988,0.3383439831159194,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,30,40,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,934,1000,-0.013333333333333308,1000,934,0,1000,0.3928390411499083,0.003034497844055295,0.00033541995799168944,0.06585133634507656,1.862967562675475,-0.1359100341796875,1000,0.3928390411499083,0.003034497844055295,0.00033541995799168944,0.06585133634507656,1.862967562675475,-0.1359100341796875,659,1000,672,1013,1000,-0.24977769169108655,-0.14327526092529297,-0.3452186584472656,-0.07511472702026367,-0.12059669494628977,-1.9886341094970703,1000,-0.24977769169108655,-0.14327526092529297,-0.3452186584472656,-0.07511472702026367,-0.12059669494628977,-1.9886341094970703,15,1000,23,1008,1000,-0.6426167328409935,-0.47865311458008364,-0.8280043677077629,-0.21490134358464275,-0.09899087618105185,-1.9885782059645862,1000,-0.6426167328409935,-0.47865311458008364,-0.8280043677077629,-0.21490134358464275,-0.09899087618105185,-1.9885782059645862,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,40,50,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,783,1000,-0.03820000000000001,1000,783,0,1000,0.7823040087870435,0.03313627187162638,0.001974941900698468,1.2508549187332392,3.83565120697022,0.3209247589111328,1000,0.7823040087870435,0.03313627187162638,0.001974941900698468,1.2508549187332392,3.83565120697022,0.3209247589111328,220,1000,234,1016,1000,-1.3665711850083895,-1.3416805267333984,-1.4639554023742676,-1.193850040435791,-1.376251220703125,1.1241931915283203,1000,-1.3665711850083895,-1.3416805267333984,-1.4639554023742676,-1.193850040435791,-1.376251220703125,1.1241931915283203,37,1000,38,1009,1000,-2.1488751937954316,-1.9419010719284415,-2.5595155879855156,-1.3752524985466152,-1.5659510110155672,1.124110469718289,1000,-2.1488751937954316,-1.9419010719284415,-2.5595155879855156,-1.3752524985466152,-1.5659510110155672,1.124110469718289,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,50,60,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,-168,1000,-0.1839666666666666,1000,-168,0,1000,3.0668184503740834,3.1911880616098642,0.24182710406603292,6.433571398258209,5.640523958206173,3.3754005432128906,1000,3.0668184503740834,3.1911880616098642,0.24182710406603292,6.433571398258209,5.640523958206173,3.3754005432128906,-1506,1000,-1512,1016,1000,-2.5151562119282858,-2.688314437866211,-2.6556302309036255,-2.565229892730713,-2.3188203811645494,7.195484161376953,1000,-2.5151562119282858,-2.688314437866211,-2.6556302309036255,-2.565229892730713,-2.3188203811645494,7.195484161376953,217,1000,214,1017,1000,-5.581974662302369,-6.0123558677732944,-6.519080135971308,-5.288407165950048,-4.149110526184085,7.195633518557315,1000,-5.581974662302369,-6.0123558677732944,-6.519080135971308,-5.288407165950048,-4.149110526184085,7.195633518557315,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,60,70,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,433,1000,-0.04554761904761906,1000,433,0,1000,0.1251419450590765,0.6382046937942505,0.17009303718805313,0.049182891845703125,-0.5725185394287102,1.7432193756103516,1000,0.1251419450590765,0.6382046937942505,0.17009303718805313,0.049182891845703125,-0.5725185394287102,1.7432193756103516,193,1000,195,1021,1000,-0.9119629247557395,-0.9667525291442871,-0.6990433931350708,-1.3036351203918457,-1.3903974533081023,1.086029052734375,1000,-0.9119629247557395,-0.9667525291442871,-0.6990433931350708,-1.3036351203918457,-1.3903974533081023,1.086029052734375,48,1000,31,1017,1000,-1.0371048698148169,-1.5736441984772682,-0.8339395523071289,-1.4092248982051387,-1.3541171907447271,1.0860351323894974,1000,-1.0371048698148169,-1.5736441984772682,-0.8339395523071289,-1.4092248982051387,-1.3541171907447271,1.0860351323894974,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,70,80,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,691,1000,-0.0019107142857143211,1000,691,0,1000,0.6667406635437363,0.915757417678833,-0.09120450168848038,1.3509583473205566,1.2842598915100094,-2.3740596771240234,1000,0.6667406635437363,0.915757417678833,-0.09120450168848038,1.3509583473205566,1.2842598915100094,-2.3740596771240234,271,1000,276,1021,1000,0.9649970812604334,1.1135225296020508,1.0369102954864502,1.086771011352539,1.085062503814692,-9.811288833618164,1000,0.9649970812604334,1.1135225296020508,1.0369102954864502,1.086771011352539,1.085062503814692,-9.811288833618164,-64,1000,-74,1015,1000,0.2982564177166971,0.18112802505493164,-0.0759589672088623,0.7488677758956328,1.2808711534569728,-9.811702046834398,1000,0.2982564177166971,0.18112802505493164,-0.0759589672088623,0.7488677758956328,1.2808711534569728,-9.811702046834398,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,RS,80,90,CHANGING_SEEN_PREFIX_DESCRIPTIVE_DELTA,809,1000,0.011624999999999996,1000,809,0,1000,-0.182102381645592,-0.27632665634155273,-0.013605594635009766,-0.4251976013183594,-0.15127601623535192,1.6765975952148438,1000,-0.182102381645592,-0.27632665634155273,-0.013605594635009766,-0.4251976013183594,-0.15127601623535192,1.6765975952148438,417,1000,433,1018,1000,-0.24626895042857733,-0.3634018898010254,-0.11899054050445557,-0.4064617156982422,-0.5828496932983374,-3.192626953125,1000,-0.24626895042857733,-0.3634018898010254,-0.11899054050445557,-0.4064617156982422,-0.5828496932983374,-3.192626953125,4,1000,11,1009,1000,-0.06416656878298532,0.09172320365905762,0.28248631954193115,-0.311602168250829,-0.9256890640797817,-3.1923872935731197,1000,-0.06416656878298532,0.09172320365905762,0.28248631954193115,-0.311602168250829,-0.9256890640797817,-3.1923872935731197,MEMIT_BLUE (L4+L8)
