arm,layer,unit,update_norm_n,update_norm_mean,update_norm_median,update_norm_q25,update_norm_q75,update_norm_p90,update_norm_max,magnitude_share_n,magnitude_share_mean,magnitude_share_median,magnitude_share_q25,magnitude_share_q75,magnitude_share_p90,magnitude_share_max,relative_norm_n,relative_norm_mean,relative_norm_median,relative_norm_q25,relative_norm_q75,relative_norm_p90,relative_norm_max,sum_batch_net_lengths,path_length_share
MEMIT_ORIGINAL,4,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,9.780380772956894,8.619974978564839,7.173789931461687,12.063479004808043,14.344639567224378,16.878657468904404,100,0.6268392565016027,0.6383248278600044,0.5917442997788922,0.6824077364852257,0.7058147598834341,0.7612846977014146,100,0.09895938856662062,0.0921202392885669,0.0861366911617645,0.11370074809602834,0.12114828103535974,0.132175440295954,978.0380772956893,0.6147997082852118
MEMIT_ORIGINAL,8,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,6.127858351352638,5.690362176123133,3.6923996190995245,8.284037586504766,9.656027611694045,13.590752430254847,100,0.3731607434983973,0.36167517213999556,0.31759226351477443,0.4082557002211079,0.4907699251509645,0.5996309020831774,100,0.06806982632245497,0.061901891509790065,0.04541128681638888,0.08458363678866238,0.10489606794876738,0.16085890546834467,612.7858351352637,0.38520029171478815
MEMIT_L4_ONLY,4,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,8.964528855548913,8.430251883512891,7.275169816466645,10.331977230293264,11.887624960002475,13.975985071213703,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.09307407696098355,0.09015497075703435,0.0864450845342199,0.09896101552793903,0.10504066680058996,0.11672563400605825,896.4528855548914,1.0
MEMIT_L8_ONLY,8,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,20.36855146300451,19.774602424589126,13.227629392608865,26.975867890780464,31.23679552681335,36.63401077252091,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.1450347657185818,0.15102982756837974,0.13729527960109664,0.15492663891512642,0.1571496688535441,0.16476998462376222,2036.8551463004515,1.0
MEMIT_L5_ONLY,5,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,10.427545474798034,9.634710009186904,7.8364503922489845,12.639718198291487,14.774456993829885,16.327869648245926,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.10245018734209349,0.10011312028486818,0.09136292180523498,0.1136220906162775,0.11838419382721954,0.12613745393403075,1042.7545474798035,1.0
MEMIT_L6_ONLY,6,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,16.919906549930534,16.013226910540965,10.428104456814546,22.729405830071048,26.11763952762298,29.691321383032694,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.13397441812484118,0.14090827620703283,0.11475928468269757,0.14888829182893554,0.1549579659873755,0.15909301445715884,1691.9906549930536,1.0
MEMIT_L7_ONLY,7,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,19.85015622699067,19.716424742544646,12.876104968189829,26.605302739475935,29.39811801690008,30.73455739849829,100,1.0,1.0,1.0,1.0,1.0,1.0,100,0.14371309116477074,0.14847143458797196,0.1332169358990215,0.15550051640957446,0.1578018588316746,0.16260285054948337,1985.015622699067,1.0
BASE_MEMIT,4,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,20.059087525125005,21.8490116714768,16.006619472988376,26.826558763435038,28.1241534411386,29.26953076213235,100,0.2026428202301439,0.20972125589694818,0.1768928250536661,0.22978270696046274,0.23741482621508112,0.24835413966873487,100,0.13492231161156507,0.13769355429096547,0.09611305443325036,0.17282318527750656,0.1905122106578617,0.29985850301842454,2005.9087525125003,0.20864539845659333
BASE_MEMIT,5,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,16.325958446136767,17.41908215401061,12.90536573103324,21.359843018539983,22.800199150675564,27.243365407752094,100,0.16768531743782744,0.16381471726329908,0.14768137580259108,0.18190314234021016,0.19845371019644478,0.23971094909014448,100,0.11101644272510183,0.10794144231334911,0.06106976577982097,0.14665097573631938,0.1750786654816932,0.2681240977766303,1632.5958446136767,0.1698151075373387
BASE_MEMIT,6,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,11.446591335046184,11.784153720816402,8.948027764812693,13.32895483289215,16.28356439089461,23.06845197150385,100,0.1249200937556514,0.10840934171334313,0.09972512410749697,0.15563695187172077,0.16907805147318067,0.18815696737763496,100,0.08735506445144461,0.07469834710163067,0.05787075740625942,0.1039407443167678,0.13530276342259176,0.26443078695478156,1144.6591335046187,0.119062176037622
BASE_MEMIT,7,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,17.401199233030315,18.562306671631223,14.392016037990977,22.230700057131273,23.46576517677105,26.203701904230236,100,0.18409561253968204,0.18159830329657875,0.1747155751678839,0.1874377124603988,0.21310644803639753,0.21465682711624196,100,0.11297942681988683,0.11006255509081547,0.07662286083971755,0.13121726970116102,0.15451734277114038,0.28627017766684326,1740.1199233030316,0.18099926744178016
BASE_MEMIT,8,actual stored-weight batch-net Frobenius magnitude; 100 batches,100,30.906774846810272,32.392711958961215,26.386196470530503,40.92518748823532,42.384443163721166,44.66524474813265,100,0.3206561560366951,0.3289463695456494,0.3117608868987165,0.3339929221980862,0.33785704293363905,0.3423561208043209,100,0.1358161777455278,0.12850810885620334,0.08818887112124821,0.16266555121438497,0.19032841085151714,0.35892238649195135,3090.677484681027,0.3214780505266657
