arm,batch,metric,numerator,denominator,rate,request_denominator,pair_strict_num,ties,bit_order_sha256,new_nll_prompt_n,new_nll_prompt_mean,new_nll_prompt_median,new_nll_prompt_q25,new_nll_prompt_q75,new_nll_prompt_p90,new_nll_prompt_max,new_nll_request_n,new_nll_request_mean,new_nll_request_median,new_nll_request_q25,new_nll_request_q75,new_nll_request_p90,new_nll_request_max,new_strict_num,new_strict_den,new_token_correct,new_token_den,true_nll_prompt_n,true_nll_prompt_mean,true_nll_prompt_median,true_nll_prompt_q25,true_nll_prompt_q75,true_nll_prompt_p90,true_nll_prompt_max,true_nll_request_n,true_nll_request_mean,true_nll_request_median,true_nll_request_q25,true_nll_request_q75,true_nll_request_p90,true_nll_request_max,true_strict_num,true_strict_den,true_token_correct,true_token_den,margin_prompt_n,margin_prompt_mean,margin_prompt_median,margin_prompt_q25,margin_prompt_q75,margin_prompt_p90,margin_prompt_max,margin_request_n,margin_request_mean,margin_request_median,margin_request_q25,margin_request_q75,margin_request_p90,margin_request_max,new_nll_prompt_p99,new_nll_request_p99,true_nll_prompt_p99,true_nll_request_p99,margin_prompt_p99,margin_request_p99,atwrite_denominator,atwrite_before_num,atwrite_after_num,atwrite_retained,atwrite_lost,atwrite_gained,atwrite_both_failed,atwrite_conditional_loss_den,atwrite_conditional_loss_rate,atwrite_paired_rate_delta
BASE_MEMIT,1,RS,100,100,1.0,100,100,0,ac1b75944dab1213572ba331061bc11b08605b20faae4a01701fc8ec25189cca,100,0.11204822584812063,0.004915296100080013,0.002419878728687763,0.013941773679107428,0.0672903880476952,5.7187299728393555,100,0.11204822584812063,0.004915296100080013,0.002419878728687763,0.013941773679107428,0.0672903880476952,5.7187299728393555,98,100,99,101,100,11.443037583827973,11.559394359588623,8.738407373428345,14.38097333908081,16.697036933898925,20.73731231689453,100,11.443037583827973,11.559394359588623,8.738407373428345,14.38097333908081,16.697036933898925,20.73731231689453,0,100,3,103,100,11.330989357979853,11.3378337607719,8.547725409385748,14.362319831270725,16.69630188224255,20.73703364440007,100,11.330989357979853,11.3378337607719,8.547725409385748,14.362319831270725,16.69630188224255,20.73703364440007,3.386743447780621,3.386743447780621,19.12065044403077,19.12065044403077,19.11941644174921,19.11941644174921,100,100,100,100,0,0,0,100,0.0,0.0
BASE_MEMIT,2,RS,197,200,0.985,200,197,0,e9df00fce564737eba2f48150998c0589b89264df2fa6de5c294709acef05ef7,200,0.21052148093524012,0.003812902490608394,0.001439517887774855,0.00930073345080018,0.04569463469088075,12.78164005279541,200,0.21052148093524012,0.003812902490608394,0.001439517887774855,0.00930073345080018,0.04569463469088075,12.78164005279541,192,200,195,203,200,11.658756447136403,11.194173336029053,8.714547872543335,14.189381122589111,16.925703620910642,21.5817813873291,200,11.658756447136403,11.194173336029053,8.714547872543335,14.189381122589111,16.925703620910642,21.5817813873291,1,200,5,204,200,11.448234966201163,11.12907464406453,8.675145235669333,14.164984666393138,16.924965213111133,21.581513917451957,200,11.448234966201163,11.12907464406453,8.675145235669333,14.164984666393138,16.924965213111133,21.581513917451957,4.720180449485726,4.720180449485726,20.407169895172114,20.407169895172114,20.401912747590096,20.401912747590096,200,197,197,197,0,0,3,197,0.0,0.0
BASE_MEMIT,3,RS,297,300,0.99,300,297,0,0bf7a107a1e3b48ff2ac16bf201971f1df0935c1230c057d32fa653caef11445,300,0.18077125652030493,0.0031231676694005728,0.0012166780652478337,0.00787283107638359,0.037939205765724196,13.01881217956543,300,0.18077125652030493,0.0031231676694005728,0.0012166780652478337,0.00787283107638359,0.037939205765724196,13.01881217956543,292,300,297,305,300,11.987528593540192,11.862851619720459,9.087269067764282,14.73991322517395,17.152696037292483,25.713788986206055,300,11.987528593540192,11.862851619720459,9.087269067764282,14.73991322517395,17.152696037292483,25.713788986206055,0,300,7,307,300,11.806757337019887,11.74752851901576,9.027938666171394,14.73729677562369,17.151826811247158,25.71270941372495,300,11.806757337019887,11.74752851901576,9.027938666171394,14.73729677562369,17.151826811247158,25.71270941372495,6.590976996421797,6.590976996421797,21.61853708267211,21.61853708267211,21.618284299140495,21.618284299140495,300,296,297,296,0,1,3,296,0.0,0.0033333333333332993
BASE_MEMIT,4,RS,397,400,0.9925,400,397,0,6131f8d920c59da4e64427ccacc3a71eb49880d7f720017c2880b39c64338188,400,0.1479866018528537,0.0032073030015453696,0.0011676583962980658,0.009677902329713106,0.03449265509843841,12.39415454864502,400,0.1479866018528537,0.0032073030015453696,0.0011676583962980658,0.009677902329713106,0.03449265509843841,12.39415454864502,390,400,396,406,400,12.168519592285156,11.995150566101074,9.250770092010498,14.993327140808105,17.71919116973877,27.53055191040039,400,12.168519592285156,11.995150566101074,9.250770092010498,14.993327140808105,17.71919116973877,27.53055191040039,1,400,8,407,400,12.020532990432303,11.965608012891607,9.168642170960084,14.990666787314694,17.717988585302376,27.529750906454865,400,12.020532990432303,11.965608012891607,9.168642170960084,14.990666787314694,17.717988585302376,27.529750906454865,4.972908720970136,4.972908720970136,22.211519927978514,22.211519927978514,22.211200438517842,22.211200438517842,400,395,397,395,0,2,3,395,0.0,0.0050000000000000044
BASE_MEMIT,5,RS,494,500,0.988,500,494,0,42e757ba652934ffe218e734af33931d0330b565db1c0907b5d737b6d7cb1c8e,500,0.17746328076951612,0.0033575110137462616,0.0012934184051118791,0.010855901055037975,0.042911167815327646,13.40148639678955,500,0.17746328076951612,0.0033575110137462616,0.0012934184051118791,0.010855901055037975,0.042911167815327646,13.40148639678955,487,500,494,507,500,12.330835101053118,12.238884925842285,9.311280727386475,15.28219199180603,17.903331565856934,27.359262466430664,500,12.330835101053118,12.238884925842285,9.311280727386475,15.28219199180603,17.903331565856934,27.359262466430664,2,500,9,507,500,12.153371820283603,12.12651128138532,9.231345511216205,15.226739804114914,17.899286600982304,27.358414294489194,500,12.153371820283603,12.12651128138532,9.231345511216205,15.226739804114914,17.899286600982304,27.358414294489194,5.4003642082214345,5.4003642082214345,22.61091030120849,22.61091030120849,22.61062742540001,22.61062742540001,500,494,494,492,2,2,4,494,0.004048582995951417,0.0
BASE_MEMIT,6,RS,593,600,0.9883333333333333,600,593,0,5df8725e32f69000d77e36d6ddffcf13fe41a1b65a578b4712a75d0ef4b58024,600,0.23658992628394723,0.004074724391102791,0.0014706461515743285,0.010751682566478848,0.06724389791488648,12.902149200439453,600,0.23658992628394723,0.004074724391102791,0.0014706461515743285,0.010751682566478848,0.06724389791488648,12.902149200439453,574,600,585,611,600,12.482150780133281,12.492583274841309,9.453135967254639,15.06704831123352,17.929964065551758,27.384740829467773,600,12.482150780133281,12.492583274841309,9.453135967254639,15.06704831123352,17.929964065551758,27.384740829467773,2,600,11,609,600,12.245560853849335,12.460418221191503,9.329746549250558,15.066025541440467,17.92559026721865,27.38469135883497,600,12.245560853849335,12.460418221191503,9.329746549250558,15.066025541440467,17.92559026721865,27.38469135883497,9.590426902770995,9.590426902770995,22.104656505584714,22.104656505584714,22.10442186540778,22.10442186540778,600,594,593,591,3,2,4,594,0.005050505050505051,-0.0016666666666667052
BASE_MEMIT,7,RS,689,700,0.9842857142857143,700,689,0,8eaa97621027fa1aa7106881fa6629e2877783af3c402166cbca3fc570a69592,700,0.2896062506373242,0.004834569524973631,0.001551229041069746,0.015216428088024259,0.12445569559931761,20.130308151245117,700,0.2896062506373242,0.004834569524973631,0.001551229041069746,0.015216428088024259,0.12445569559931761,20.130308151245117,669,700,681,712,700,12.375554373325514,12.375741481781006,9.411209344863892,15.312283515930176,17.791055297851564,28.285165786743164,700,12.375554373325514,12.375741481781006,9.411209344863892,15.312283515930176,17.791055297851564,28.285165786743164,4,700,14,710,700,12.08594812268819,12.32460332410119,9.20634302822873,15.302579383682314,17.790164355072193,28.285121084260027,700,12.08594812268819,12.32460332410119,9.20634302822873,15.302579383682314,17.790164355072193,28.285121084260027,7.032723422050466,7.032723422050466,21.945062770843506,21.945062770843506,21.94432543510862,21.94432543510862,700,693,689,687,6,2,5,693,0.008658008658008658,-0.005714285714285672
BASE_MEMIT,8,RS,787,800,0.98375,800,787,0,136499328550df9418d8515f8d70d1012a64e31f70eb83e81d3f6b9d2c8e8a7b,800,0.3205226510481134,0.00626747589558363,0.0018593624117784202,0.02580692106857896,0.3456073582172394,13.940658569335938,800,0.3205226510481134,0.00626747589558363,0.0018593624117784202,0.02580692106857896,0.3456073582172394,13.940658569335938,751,800,765,814,800,12.009156146193854,12.21843147277832,9.15833854675293,14.931575298309326,17.824340629577637,27.852346420288086,800,12.009156146193854,12.21843147277832,9.15833854675293,14.931575298309326,17.824340629577637,27.852346420288086,7,800,17,810,800,11.68863349514574,11.950431699864566,8.904532478773035,14.874637498433003,17.82228385793278,27.85215498848993,800,11.68863349514574,11.950431699864566,8.904532478773035,14.874637498433003,17.82228385793278,27.85215498848993,8.598910026550293,8.598910026550293,21.785595359802247,21.785595359802247,21.784366498536546,21.784366498536546,800,793,787,784,9,3,4,793,0.011349306431273645,-0.007499999999999951
BASE_MEMIT,9,RS,879,900,0.9766666666666667,900,879,0,eae59a3a5194a69957bc61d947715d10abbec764850216a2c31cbe9c77fc79c0,900,0.4787461682869374,0.012654718477278948,0.0031731394701637328,0.08655969798564911,1.1017605066299443,13.396247863769531,900,0.4787461682869374,0.012654718477278948,0.0031731394701637328,0.08655969798564911,1.1017605066299443,13.396247863769531,812,900,826,914,900,11.2394713645594,11.26171875,8.300615787506104,14.266243934631348,17.239200782775878,26.54299545288086,900,11.2394713645594,11.26171875,8.300615787506104,14.266243934631348,17.239200782775878,26.54299545288086,12,900,23,911,900,10.760725196272462,11.100170666351914,7.842181792482734,14.118391048774356,17.211893486976624,26.542764213591,900,10.760725196272462,11.100170666351914,7.842181792482734,14.118391048774356,17.211893486976624,26.542764213591,8.544358758926391,8.544358758926391,21.691072998046874,21.691072998046874,21.685135593932355,21.685135593932355,900,893,879,876,17,3,4,893,0.019036954087346025,-0.015555555555555545
BASE_MEMIT,10,RS,949,1000,0.949,1000,949,0,35baeb3e46a0bc81492b9bd7bc8abbb8f59f66612074fadec61fb8ed4f1c4176,1000,0.7580164008224237,0.030575385317206383,0.006494487053714693,0.4213029444217682,2.778400444984437,12.852563858032227,1000,0.7580164008224237,0.030575385317206383,0.006494487053714693,0.4213029444217682,2.778400444984437,12.852563858032227,829,1000,844,1015,1000,10.024217026673258,9.974287033081055,6.827127695083618,13.087098598480225,15.898898506164553,25.904708862304688,1000,10.024217026673258,9.974287033081055,6.827127695083618,13.087098598480225,15.898898506164553,25.904708862304688,20,1000,31,1011,1000,9.266200625850834,9.559890862554312,5.94209558959119,12.90311548113823,15.808257928676904,25.8959995592013,1000,9.266200625850834,9.559890862554312,5.94209558959119,12.90311548113823,15.808257928676904,25.8959995592013,8.824681329727168,8.824681329727168,21.356649360656736,21.356649360656736,21.331135297119616,21.331135297119616,1000,993,949,946,47,3,4,993,0.0473313192346425,-0.04400000000000004
