arm,batch,layer,key,tensor_sha256,shape,dtype,cache_shape,cache_sha256,file_sha256,file_bytes,weight_norm,restore_level,previous_checkpoint,checkpoint_interval_net_norm
MEMIT_L5_ONLY,1,5,model.layers.5.mlp.down_proj.weight,8d32f6de7510bb3787df44d7e00bde146530a376b06ece418a6122e19d8f0367,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,3d6449ebcd30f0bab31edc6be5353872295704bcf05f2e1016ec5f5b0f446c28,234903141,78.06818499827365,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,,
MEMIT_L5_ONLY,5,5,model.layers.5.mlp.down_proj.weight,1da073b0dccff8b26d4e2ed1e60ab2cad860be84f97ba846953e35655a4503de,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,ef3bcd4e9877d07702b866be22a30e04d529ff7bb42767925d0188c9767f5841,234904293,79.30252371206011,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,1,13.944539229200599
MEMIT_L5_ONLY,10,5,model.layers.5.mlp.down_proj.weight,ebc35bb468555ea93841fd755233427439cc8b687ba679825ed268924d799f5a,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,e5115cfba006b47a62327478e8361bf95765e4776e4966c628c87facfea4970e,234905829,80.94667590085159,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,5,16.06499425399019
MEMIT_L5_ONLY,20,5,model.layers.5.mlp.down_proj.weight,ecaaf47b9e7262904e71406807695fb7bff808e4c3ae71800fc91d2f614acce9,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,1cc3f8b4cad2ec0c2ae64602d8aa2e7c204bc0c3f93062e42e06224a4b56b3f5,234908837,84.42960367841435,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,10,23.729535490045194
MEMIT_L5_ONLY,30,5,model.layers.5.mlp.down_proj.weight,79a68bc1c22823e293bd4a6df558caab1b18af2bfdb8d226751d9cab0b3a2b46,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,edfb6933d2f3d5904debf89aa6bc1999f4f02307808a410dc2c0177aaac5cb6c,234911781,88.1699402713649,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,20,24.978867037728012
MEMIT_L5_ONLY,40,5,model.layers.5.mlp.down_proj.weight,c0c029b3bc03e2a2b1bcc3eb12bb02df0f3ce4f2d923a17649b2d31d77ca63e5,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,131ec854a16bcf246c5dff76895c29bc8d566700a7d56e510f260520cadf8e3e,234914789,92.43640649257316,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,30,27.293907655181727
MEMIT_L5_ONLY,50,5,model.layers.5.mlp.down_proj.weight,498cd0a16bc729f54e8cd1655d8f30466dbf1b34abdcea73a4ac68cf065f553b,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,5ad6cd794094b2720770715b1e5049e8428b5028b573b5017a0a071ff03d392c,234917797,97.2447320913291,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,40,29.618392238359093
MEMIT_L5_ONLY,60,5,model.layers.5.mlp.down_proj.weight,0f996ae7c128bdac1bd9bb9974b1ad1d49b1751f5d314ad3c01d7a287dc47a0d,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,6eaa25ceca81347c5bc0373850d87b7327abfec11adcee7aedf08e69fc0e1773,234920741,102.71329536218839,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,50,32.3545795078099
MEMIT_L5_ONLY,70,5,model.layers.5.mlp.down_proj.weight,31b0516fcb62ecbc4e3fc880ef46920d7951dc9098d8efea6c2d0b18beebab3c,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,fd8186340b59c00b669c8615dd648b61737bedaeb0b241f9bf5c54aadf067755,234923749,109.13683127973064,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,60,35.911964170387876
MEMIT_L5_ONLY,80,5,model.layers.5.mlp.down_proj.weight,21e2ddad53765950dcb1908aa62a0b6a5ad015ce4baa44d1a4eb8e5dc8653b12,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,3c5b5ce31ff22f05a9481b7e8c344c63268d6432239a3dc343cb891998888c38,234926757,116.79276896918901,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,70,40.55263810571989
MEMIT_L5_ONLY,90,5,model.layers.5.mlp.down_proj.weight,0b80bedc748c33fce1c08306857bd5d65b103996e7663a2c66dcaa973de958e5,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,d6fa6327c9cbdc5d78654f4b4584b50a5247fa4dedea3cd6ffe831c35c337be0,234929701,125.70475778035684,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,80,45.31076896284426
MEMIT_L5_ONLY,100,5,model.layers.5.mlp.down_proj.weight,d35a28b148f1ea8c92bd5137e6aa15eace6db7b3d0beb4104c57b74ccf117c74,"[4096, 14336]",torch.float32,[0],1e172d04c980dced33a580b77cea9cc60f9bd3faa3bbe1baa1c63db9e47e1b96,72020a708186c542f5806a51a3711a3378426af0d9e385745668c79fe0f673af,234932709,135.44644519063866,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,90,49.28707163208729
AlphaEdit_L5_ONLY,1,5,model.layers.5.mlp.down_proj.weight,22e7b79b383c0a6e95416eecb62f4d52b1968d8c27a220018bdae274f004dcf0,"[4096, 14336]",torch.float32,"[1, 14336, 14336]",218f8964752e6da09a3fae4a8e7c4e1e96b98d6c244eb681f95bbe20a3e6a8f7,1cc6eea1e7aa2f321494f031d964105538cddbc47376b8d285c6fa397bd51684,1056986469,78.18752616673439,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,,
AlphaEdit_L5_ONLY,5,5,model.layers.5.mlp.down_proj.weight,ff6776cc5524c12d16e9aeffc40cc95a153cb3dd17ed45a46ba677fab723aebf,"[4096, 14336]",torch.float32,"[1, 14336, 14336]",c408ddb575dc169d304dce6b54cdf54838712a45cbe127f1d1952c0612ba84ce,77a728f2b2d12c06e540626618ae15388fc94719334ce85c9a60a31f58511b5a,1056987621,80.05878108011923,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,1,17.375279573103448
AlphaEdit_L5_ONLY,10,5,model.layers.5.mlp.down_proj.weight,66f65a9ecd485668a394c31b77a1b8bc2a731138c4e35f8e9dd2e64992949e25,"[4096, 14336]",torch.float32,"[1, 14336, 14336]",9046b7f7084278fcd680d9b802e94b02f520683d6bf767c477dc6fb43e4d76d7,08f4a2b35eab41eb59ba0b8111e4a4361220e0ea364d47dca0e582c1ee2775f7,1056989093,82.77998425125993,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,5,21.212885058051953
AlphaEdit_L5_ONLY,20,5,model.layers.5.mlp.down_proj.weight,cb3959146a8c81ad8f342300e2a415bbbb1902897f647785aa0430ec62530ad2,"[4096, 14336]",torch.float32,"[1, 14336, 14336]",fd6a0a4427de77cd040aa94ce63fbb94d63239bcf465384d9204f543774b9cd6,c69a0b8d32b2dfd21e2f92128e3cbe4db1570a3d50e1ce40dc6a2d30ea45cac6,1056992101,88.93115360169342,CPU_RELOAD_HASH_FINITE; GPU_CONTINUATION_NOT_RUN,10,32.68233990090438
