arm,category,denominator,before_num,after_num,retained,lost,gained,both_failed,conditional_loss_den,conditional_loss_rate,paired_rate_delta,arm_display_label,validation_origin
MEMIT_ORIGINAL,no_later_same_subject_relation,9783,9782,7060,7060,2722,0,1,9782,0.2782662032304232,-0.2782377593785138,MEMIT_BLUE (L4+L8),REUSED_V3_AGGREGATE
MEMIT_ORIGINAL,later_different_target_same_subject_relation,212,212,118,118,94,0,0,212,0.44339622641509435,-0.44339622641509435,MEMIT_BLUE (L4+L8),REUSED_V3_AGGREGATE
MEMIT_ORIGINAL,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,MEMIT_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,no_later_same_subject_relation,9783,9783,9720,9720,63,0,0,9783,0.006439742410303588,-0.0064397424103035394,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,later_different_target_same_subject_relation,212,211,163,163,48,0,1,211,0.22748815165876776,-0.2264150943396226,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
AlphaEdit_ORIGINAL,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE
MEMIT_L4_ONLY,no_later_same_subject_relation,9783,9718,7589,7568,2150,21,44,9718,0.22123893805309736,-0.2176224062148625,MEMIT_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
MEMIT_L4_ONLY,later_different_target_same_subject_relation,212,211,128,128,83,0,1,211,0.3933649289099526,-0.3915094339622641,MEMIT_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
MEMIT_L4_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,MEMIT_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,no_later_same_subject_relation,9783,9778,9743,9742,36,1,4,9778,0.0036817345060339538,-0.003577634672390806,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,later_different_target_same_subject_relation,212,210,191,191,19,0,2,210,0.09047619047619047,-0.089622641509434,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L4_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,AlphaEdit_BLUE_L4_ONLY,REUSED_V3_AGGREGATE
MEMIT_L8_ONLY,no_later_same_subject_relation,9783,9466,8047,7904,1562,143,174,9466,0.16501162053665752,-0.14504753143207605,MEMIT_BLUE_L8_ONLY,REUSED_V3_AGGREGATE
MEMIT_L8_ONLY,later_different_target_same_subject_relation,212,205,125,125,80,0,7,205,0.3902439024390244,-0.37735849056603765,MEMIT_BLUE_L8_ONLY,REUSED_V3_AGGREGATE
MEMIT_L8_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,MEMIT_BLUE_L8_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L8_ONLY,no_later_same_subject_relation,9783,9772,9204,9202,570,2,9,9772,0.058329922226770366,-0.05805989982622928,AlphaEdit_BLUE_L8_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L8_ONLY,later_different_target_same_subject_relation,212,211,187,186,25,1,0,211,0.11848341232227488,-0.1132075471698113,AlphaEdit_BLUE_L8_ONLY,REUSED_V3_AGGREGATE
AlphaEdit_L8_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,AlphaEdit_BLUE_L8_ONLY,REUSED_V3_AGGREGATE
MEMIT_L5_ONLY,no_later_same_subject_relation,9783,9708,7955,7931,1777,24,51,9708,0.1830449114132674,-0.17918838802003478,,
MEMIT_L5_ONLY,later_different_target_same_subject_relation,212,210,124,124,86,0,2,210,0.4095238095238095,-0.4056603773584906,,
MEMIT_L5_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
AlphaEdit_L5_ONLY,no_later_same_subject_relation,9783,9772,9736,9734,38,2,9,9772,0.003888661481784691,-0.0036798528058877844,,
AlphaEdit_L5_ONLY,later_different_target_same_subject_relation,212,212,193,193,19,0,0,212,0.08962264150943396,-0.089622641509434,,
AlphaEdit_L5_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
MEMIT_L6_ONLY,no_later_same_subject_relation,9783,9625,8140,8088,1537,52,106,9625,0.15968831168831168,-0.1517939282428703,,
MEMIT_L6_ONLY,later_different_target_same_subject_relation,212,206,132,131,75,1,5,206,0.3640776699029126,-0.34905660377358494,,
MEMIT_L6_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
AlphaEdit_L6_ONLY,no_later_same_subject_relation,9783,9771,9484,9481,290,3,9,9771,0.029679664312762255,-0.029336604313605186,,
AlphaEdit_L6_ONLY,later_different_target_same_subject_relation,212,211,194,194,17,0,1,211,0.08056872037914692,-0.08018867924528295,,
AlphaEdit_L6_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
MEMIT_L7_ONLY,no_later_same_subject_relation,9783,9628,8307,8254,1374,53,102,9628,0.14270876609887828,-0.1350301543493816,,
MEMIT_L7_ONLY,later_different_target_same_subject_relation,212,209,132,132,77,0,3,209,0.3684210526315789,-0.3632075471698113,,
MEMIT_L7_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
AlphaEdit_L7_ONLY,no_later_same_subject_relation,9783,9769,9058,9056,713,2,12,9769,0.07298597604667827,-0.07267709291628333,,
AlphaEdit_L7_ONLY,later_different_target_same_subject_relation,212,210,177,177,33,0,2,210,0.15714285714285714,-0.1556603773584906,,
AlphaEdit_L7_ONLY,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
BASE_ALPHAEDIT,no_later_same_subject_relation,9783,9773,7210,7208,2565,2,8,9773,0.26245779187557555,-0.26198507615250954,,
BASE_ALPHAEDIT,later_different_target_same_subject_relation,212,212,128,128,84,0,0,212,0.39622641509433965,-0.39622641509433965,,
BASE_ALPHAEDIT,later_same_target_only,5,5,5,5,0,0,0,5,0.0,0.0,,
BASE_MEMIT,no_later_same_subject_relation,9783,8794,6329,6153,2641,176,813,8794,0.3003183989083466,-0.2519676990698151,,
BASE_MEMIT,later_different_target_same_subject_relation,212,205,121,120,85,1,6,205,0.4146341463414634,-0.39622641509433953,,
BASE_MEMIT,later_same_target_only,5,5,3,3,2,0,0,5,0.4,-0.4,,
