method,arm_before,arm_after,metric,scope,denominator,before_num,after_num,retained,lost,gained,both_failed,conditional_loss_den,conditional_loss_rate,paired_rate_delta
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7183,7722,6370,813,1352,1465,7183,0.11318390644577475,0.05389999999999995
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,13530,14966,11611,1919,3355,3115,13530,0.1418329637841833,0.07179999999999997
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,53287,57848,41547,11740,16301,30412,53287,0.22031639987238913,0.04561000000000004
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7183,8177,6451,732,1726,1091,7183,0.10190728108032855,0.09939999999999993
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,13530,14460,10905,2625,3555,2915,13530,0.19401330376940132,0.046499999999999986
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,53287,48425,34093,19194,14332,32381,53287,0.36020042411845293,-0.04861999999999994
MEMIT,MEMIT_ORIGINAL,MEMIT_L5_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7183,8084,6523,660,1561,1256,7183,0.09188361408882083,0.09009999999999996
MEMIT,MEMIT_ORIGINAL,MEMIT_L5_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,13530,15008,11581,1949,3427,3043,13530,0.14405025868440502,0.07389999999999997
MEMIT,MEMIT_ORIGINAL,MEMIT_L5_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,53287,54285,37941,15346,16344,30369,53287,0.2879876893050838,0.0099800000000001
MEMIT,MEMIT_ORIGINAL,MEMIT_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7183,8277,6557,626,1720,1097,7183,0.08715021578727551,0.10939999999999994
MEMIT,MEMIT_ORIGINAL,MEMIT_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,13530,14761,11306,2224,3455,3015,13530,0.16437546193643754,0.061549999999999994
MEMIT,MEMIT_ORIGINAL,MEMIT_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,53287,50488,35998,17289,14490,32223,53287,0.32445061647306095,-0.02798999999999996
MEMIT,MEMIT_ORIGINAL,MEMIT_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7183,8444,6634,549,1810,1007,7183,0.07643046081024642,0.1261
MEMIT,MEMIT_ORIGINAL,MEMIT_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,13530,14941,11334,2196,3607,2863,13530,0.1623059866962306,0.07055
MEMIT,MEMIT_ORIGINAL,MEMIT_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,53287,48547,34543,18744,14004,32709,53287,0.3517555876667855,-0.04739999999999994
MEMIT,MEMIT_ORIGINAL,BASE_MEMIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7183,6453,5198,1985,1255,1562,7183,0.27634693025198387,-0.07300000000000006
MEMIT,MEMIT_ORIGINAL,BASE_MEMIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,13530,11407,8629,4901,2778,3692,13530,0.3622320768662232,-0.10614999999999997
MEMIT,MEMIT_ORIGINAL,BASE_MEMIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,53287,49838,32745,20542,17093,29620,53287,0.3854974008670032,-0.034489999999999965
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7722,8177,6833,889,1344,934,7722,0.11512561512561513,0.045499999999999985
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14966,14460,11930,3036,2530,2504,14966,0.20285981558198585,-0.02529999999999999
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,57848,48425,36933,20915,11492,30660,57848,0.3615509611395381,-0.09422999999999998
MEMIT,MEMIT_L4_ONLY,MEMIT_L5_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7722,8084,7015,707,1069,1209,7722,0.09155659155659156,0.03620000000000001
MEMIT,MEMIT_L4_ONLY,MEMIT_L5_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14966,15008,12829,2137,2179,2855,14966,0.14279032473606842,0.0020999999999999908
MEMIT,MEMIT_L4_ONLY,MEMIT_L5_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,57848,54285,42955,14893,11330,30822,57848,0.2574505600885078,-0.03562999999999994
MEMIT,MEMIT_L4_ONLY,MEMIT_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7722,8277,6959,763,1318,960,7722,0.09880859880859881,0.055499999999999994
MEMIT,MEMIT_L4_ONLY,MEMIT_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14966,14761,12316,2650,2445,2589,14966,0.1770680208472538,-0.010249999999999981
MEMIT,MEMIT_L4_ONLY,MEMIT_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,57848,50488,38997,18851,11491,30661,57848,0.32587124878993223,-0.0736
MEMIT,MEMIT_L4_ONLY,MEMIT_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7722,8444,7014,708,1430,848,7722,0.09168609168609168,0.07220000000000004
MEMIT,MEMIT_L4_ONLY,MEMIT_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14966,14941,12331,2635,2610,2424,14966,0.17606574903113725,-0.0012499999999999734
MEMIT,MEMIT_L4_ONLY,MEMIT_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,57848,48547,37395,20453,11152,31000,57848,0.3535645138984926,-0.09300999999999998
MEMIT,MEMIT_L4_ONLY,BASE_MEMIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,7722,6453,5478,2244,975,1303,7722,0.2905982905982906,-0.1269
MEMIT,MEMIT_L4_ONLY,BASE_MEMIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14966,11407,9288,5678,2119,2915,14966,0.3793932914606441,-0.17794999999999994
MEMIT,MEMIT_L4_ONLY,BASE_MEMIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,57848,49838,35480,22368,14358,27794,57848,0.38666851057944956,-0.0801
MEMIT,MEMIT_L8_ONLY,MEMIT_L5_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8177,8084,7195,982,889,934,8177,0.12009294362235538,-0.009299999999999975
MEMIT,MEMIT_L8_ONLY,MEMIT_L5_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14460,15008,12117,2343,2891,2649,14460,0.1620331950207469,0.02739999999999998
MEMIT,MEMIT_L8_ONLY,MEMIT_L5_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,48425,54285,36153,12272,18132,33443,48425,0.25342281879194634,0.05860000000000004
MEMIT,MEMIT_L8_ONLY,MEMIT_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8177,8277,7447,730,830,993,8177,0.0892747951571481,0.010000000000000009
MEMIT,MEMIT_L8_ONLY,MEMIT_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14460,14761,12289,2171,2472,3068,14460,0.15013831258644536,0.015050000000000008
MEMIT,MEMIT_L8_ONLY,MEMIT_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,48425,50488,35792,12633,14696,36879,48425,0.2608776458440888,0.02062999999999998
MEMIT,MEMIT_L8_ONLY,MEMIT_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8177,8444,7573,604,871,952,8177,0.07386572092454445,0.026700000000000057
MEMIT,MEMIT_L8_ONLY,MEMIT_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14460,14941,12466,1994,2475,3065,14460,0.13789764868603044,0.024050000000000016
MEMIT,MEMIT_L8_ONLY,MEMIT_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,48425,48547,35716,12709,12831,38744,48425,0.26244708311822407,0.0012199999999999989
MEMIT,MEMIT_L8_ONLY,BASE_MEMIT,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8177,6453,5638,2539,815,1008,8177,0.31050507521095755,-0.1724
MEMIT,MEMIT_L8_ONLY,BASE_MEMIT,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,14460,11407,8897,5563,2510,3030,14460,0.384716459197787,-0.15264999999999995
MEMIT,MEMIT_L8_ONLY,BASE_MEMIT,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,48425,49838,29960,18465,19878,31697,48425,0.38131130614352093,0.014129999999999976
MEMIT,MEMIT_L5_ONLY,MEMIT_L6_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8084,8277,7365,719,912,1004,8084,0.08894111825828797,0.019299999999999984
MEMIT,MEMIT_L5_ONLY,MEMIT_L6_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15008,14761,12590,2418,2171,2821,15008,0.1611140724946695,-0.012349999999999972
MEMIT,MEMIT_L5_ONLY,MEMIT_L6_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54285,50488,38451,15834,12037,33678,54285,0.29168278529980657,-0.03797000000000006
MEMIT,MEMIT_L5_ONLY,MEMIT_L7_ONLY,RS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,10000,8084,8444,7422,662,1022,894,8084,0.08189015338941118,0.03600000000000003
MEMIT,MEMIT_L5_ONLY,MEMIT_L7_ONLY,PS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,20000,15008,14941,12572,2436,2369,2623,15008,0.1623134328358209,-0.003349999999999964
MEMIT,MEMIT_L5_ONLY,MEMIT_L7_ONLY,NS,FINAL_DIFFERENT_STATES_EXACT_SAME_PROMPTS,100000,54285,48547,36948,17337,11599,34116,54285,0.31936999171041724,-0.05738000000000004
