model,group,method,edit_core_seconds,evaluation_seconds,final_eval_seconds,global_pre_eval_seconds,model_load_seconds,total_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,writer_calls,predictor_forward_backward_count,layer_factorization_count,cache_append_count,full_fp32,quantized,w0_pointer_bytes_restore_pass,writer_w0_restore_pass,authoritative_endpoint_adoption_pass,fallback_count,retry_count,imputation_count,target_true_controller_influence_count,rephrase_controller_influence_count,locality_controller_influence_count,failure_boundary_count
llama,BASELINE,OFFICIAL_ALPHAEDIT_N1,492.4767927490175,52.653219004161656,13.03958922252059,13.666712775826454,7.182995710521936,574.1602015662938,40933974528,42748346368,1,0,0,,True,False,True,,,0,0,0,0,0,0,0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,549.8383626090363,52.994613335467875,13.068947670981288,13.75018095318228,5.652183656580746,628.8515545912087,44622293504,46611300352,1,0,5,1,True,False,True,True,True,0,0,0,0,0,0,0
llama,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,569.5093228388578,53.073962113820016,13.199333939701319,13.646874349564314,7.9038623152300715,647.4783718287945,44622293504,46611300352,1,0,5,1,True,False,True,True,True,0,0,0,0,0,0,0
llama,OURS,QKL_PROJECTED_ODE_N2,558.3513039089739,53.87378342729062,12.916085893288255,14.196424554102123,6.3063293769955635,637.2461575353518,48936534528,49274683392,1,10,5,1,True,False,True,True,True,0,0,0,0,0,0,0
llama,OURS,QKL_PROJECTED_ODE_N4,609.6761658042669,51.77215377241373,12.938756043091416,13.054244108498096,7.493094072677195,687.0619495725259,48936534528,49274683392,1,20,5,1,True,False,True,True,True,0,0,0,0,0,0,0
qwen,BASELINE,OFFICIAL_ALPHAEDIT_N1,271.1546667329967,50.41134519223124,12.42780260834843,13.089377178810537,4.085546855814755,351.8031970662996,43811865088,45569015808,1,0,0,,True,False,True,,,0,0,0,0,0,0,0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N2,339.0001667961478,50.43555121310055,12.46182927209884,13.0171929448843,7.068137129768729,424.91622231248766,50254621184,52237959168,1,0,5,1,True,False,True,True,True,0,0,0,0,0,0,0
qwen,IMPLEMENTATION_CONTROL,STATIC_SPLIT_OFF_N4,353.5018553044647,49.94659930933267,12.299844464287162,12.852948201820254,4.096663156524301,433.0241958592087,50254621184,52237959168,1,0,5,1,True,False,True,True,True,0,0,0,0,0,0,0
qwen,OURS,QKL_PROJECTED_ODE_N2,340.8983342386782,49.90304036438465,12.318023894913495,12.825971454381943,6.835847458802164,426.0943648517132,51447461376,54502883328,1,10,5,1,True,False,True,True,True,0,0,0,0,0,0,0
qwen,OURS,QKL_PROJECTED_ODE_N4,359.6994023323059,49.83156112767756,12.46759475581348,12.86136435996741,4.017901694402099,442.3677027281374,51447461376,54796484608,1,20,5,1,True,False,True,True,True,0,0,0,0,0,0,0
