comparison,cohort,future_batches,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
ATWRITE_TO_W100,1,99,RS,100,97,91,-6.0,89,8,2,1,97,3,36,0,92,56,1.703134467303753,0.5122562625911087,4.381613110005858,9.372111073741689,10.325399258122783,-5.039011478424072,11.084066301584244,-0.8613183686137199,-0.7006735801696777,3.275230169296266,6.7003289461135855,9.46753770351411,-11.988525867462158,11.41197156906128
ATWRITE_TO_W100,2,98,RS,100,95,84,-11.0,81,14,3,2,95,5,31,2,92,63,1.266032548134608,0.1642601820640266,4.7145493962802,5.78457245491445,8.906898904033023,-4.611527815461159,12.439230808988214,-0.5383941516280174,-0.29863137006759644,3.8938134670257614,6.255809354037046,8.147416987419152,-10.57554104924202,12.789214134216309
ATWRITE_TO_W100,3,97,RS,100,98,93,-5.0,92,6,1,1,98,2,28,0,98,70,0.8961448604920588,0.12148042256012559,3.18754125982523,3.9302175361663094,7.3722837620973625,-2.25338077545166,8.069824934005737,-1.6462421697378158,-1.332507848739624,3.7183935642242454,4.582517102360723,7.7377386379241955,-13.341856479644775,8.027969360351562
ATWRITE_TO_W100,4,96,RS,100,99,97,-2.0,96,3,1,0,99,1,12,0,98,86,0.6043648697901517,0.06627027661306784,1.3937870115973083,2.837573178857564,7.84536554157737,-1.0624241828918457,13.833193957805634,-0.7331426793336868,-0.8339581489562988,3.3984400749206576,4.691754817962645,5.561292237639456,-10.212053298950195,11.09018611907959
ATWRITE_TO_W100,5,95,RS,100,98,97,-1.0,96,2,1,1,98,2,20,0,98,78,0.7860709252866218,0.05366133851930499,3.1224959084764135,4.067427803622557,7.000960076954231,-0.23099840059876442,9.843563100323081,-1.0707119807600975,-0.9113912582397461,3.3864540100097704,4.593167276680466,6.843202657699585,-9.338345527648926,6.934979438781738
ATWRITE_TO_W100,6,94,RS,100,98,92,-6.0,91,7,1,1,98,2,24,1,98,75,1.0801255910506007,0.08734975010156631,4.05976956859231,4.843265027017328,10.211514332927765,-2.6220216751098633,10.558872286230326,-1.3735203997790812,-1.4147119522094727,3.828647041320803,4.66527383327484,5.940625192970041,-11.268027544021606,6.582820415496826
ATWRITE_TO_W100,7,93,RS,100,99,94,-5.0,94,5,0,1,99,1,19,0,98,79,0.8916008163275546,0.05422713668667711,3.0736324741505094,4.786975145712494,8.688143201731155,-0.9275429099798203,10.411874771118164,-0.7284578120708466,-0.5668795108795166,3.177489662170413,4.062234640121459,5.578977479934703,-9.177646160125732,7.552403450012207
ATWRITE_TO_W100,8,92,RS,100,100,97,-3.0,97,3,0,0,100,0,14,0,99,85,0.5850332363892812,0.07375587977003306,1.7263551098294587,3.2261630362831055,5.257791091389955,-0.1806548312306404,5.481778204441071,-1.5320058214664458,-1.2049837112426758,2.1950852870941175,3.21109299659729,4.506776070594799,-14.110764026641846,6.604246139526367
ATWRITE_TO_W100,9,91,RS,100,100,98,-2.0,98,2,0,0,100,0,21,0,100,79,0.9821245966071729,0.059538387693464756,4.518312106654049,5.212135219573972,6.8058885450847475,-0.04742768872529268,7.2634283397346735,-0.9133608531951904,-0.7159242630004883,3.0282168149948125,4.606830406188965,6.186630868911745,-11.44899034500122,6.594512462615967
ATWRITE_TO_W100,10,90,RS,100,99,94,-5.0,94,5,0,1,99,1,15,0,98,83,0.724172481008427,0.03707655193284154,2.408846769668163,3.42881229650229,10.033354368578886,-1.2405052185058594,12.189836553880014,-1.5010371059179306,-1.3590037822723389,2.0292809486389167,3.1187870025634754,4.387801189422614,-8.881709098815918,5.720925331115723
