comparison,population,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
ATWRITE_TO_W100,ALL_REQUESTED,RS,10000,9962,9840,-1.22,9824,138,16,22,9962,38,728,23,9875,9170,0.31111265273557015,0.0050168163143098354,0.5963590712752214,2.0951619783416313,6.138369655795419,-7.087810091674328,15.286402452737093,-0.7060083586712601,-0.3212015628814697,1.4753403186798095,2.37889055013656,4.8037659740448015,-16.341074466705322,12.789214134216309
ATWRITE_TO_W100,ACTIVE_TARGET,RS,9791,9754,9654,-1.021346134204882,9638,116,16,21,9754,37,605,21,9682,9098,0.26347638061659606,0.0046172053553164005,0.4602530188858509,1.5943628922104836,5.254629162279906,-7.087810091674328,15.286402452737093,-0.6902028206238988,-0.3119926452636719,1.4716062545776367,2.375319480895996,4.801355457305909,-16.341074466705322,12.789214134216309
ATWRITE_TO_W100,SUPERSEDED,RS,209,208,186,-10.526315789473685,186,22,0,1,208,1,123,2,193,72,2.542723850423969,1.693919975310564,6.804294556379318,7.550914482399821,10.788037991523735,-1.708857536315918,13.833193957805634,-1.4464486602105593,-1.0221996307373047,1.5339105606079113,2.685599327087401,4.76723974227904,-10.584623575210571,5.393471717834473
W5_TO_W100,SAME_FIRST500,RS,500,489,462,-5.4,455,34,7,4,489,11,133,3,483,353,1.1132596496186307,0.134153250080999,3.5643614649772664,5.365939203416908,9.848349389794745,-3.0179303884506226,14.43987661600113,-1.4073615187704562,-1.2812933921813965,3.2517226934432997,4.745388817787165,7.1795657491683915,-12.592320919036865,9.509652137756348
W10_TO_W100,SAME_FIRST1000,RS,1000,989,937,-5.2,932,57,5,6,989,11,225,2,977,754,0.9763751668116111,0.08665533782914281,3.3238317299634224,4.940703731402751,9.630845114775001,-3.257841110229492,14.541545704007149,-1.559291360512376,-1.2733759880065918,2.5501430511474625,3.8337908267974847,5.90212073802948,-13.723862171173096,8.999011039733887
W50_TO_W100,SAME_FIRST5000,RS,5000,4953,4859,-1.88,4850,103,9,38,4953,47,460,24,4761,4325,0.38144646767607227,0.02077447110787034,1.2038671122863902,2.5405452169477942,5.850492154965198,-9.276626718929037,15.280132185667753,-1.008312327289069,-0.8033490180969238,1.3231968402862553,2.048636388778687,3.666890435218827,-11.577261924743652,11.062049865722656
ATWRITE_TO_W100,ALL_REQUESTED,PS,20000,17767,17755,-0.06,17116,651,639,1594,17767,2233,1572,1124,12714,12266,0.10650926621756698,0.0015825863229110837,1.393572378624231,2.6358247190713873,5.7915330696105825,-13.18474817276001,14.67014229297638,-0.049027164951554736,0.0,2.1073887348175053,3.144152164459226,5.736724452972377,-13.861920356750488,12.051493167877197
ATWRITE_TO_W100,ACTIVE_TARGET,PS,19582,17482,17508,0.13277499744663465,16895,587,613,1487,17482,2100,1502,1114,12623,12235,0.08901732494786573,0.0012730939779430628,1.2900911211967472,2.5051933169364955,5.600352082252496,-13.18474817276001,14.67014229297638,-0.045127179088668964,0.0,2.090122032165528,3.132388317584993,5.740708370208711,-13.861920356750488,12.051493167877197
ATWRITE_TO_W100,SUPERSEDED,PS,418,285,247,-9.090909090909092,221,64,26,107,285,133,70,10,91,31,0.925952313928787,0.5607779622077942,4.2604524224996565,5.913918375968932,8.404932876527297,-8.583484649658203,11.621970939449966,-0.2317293734851173,-0.30240559577941895,2.9158467769622813,3.851537084579467,5.540001540184018,-12.25391499698162,8.671342372894287
W5_TO_W100,SAME_FIRST500,PS,1000,804,819,1.5,715,89,104,92,804,196,170,125,513,468,0.057245207405707335,0.027687632478773594,3.2158994138240824,4.60468502119183,7.3218531820876525,-12.73744535446167,12.96975975483656,0.10309263183455915,0.015581066254526377,3.944795608520508,5.38046474456787,8.232362058162687,-11.763717770576477,11.735809087753296
