comparison,family,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max,source_comparison
AlphaEdit_BLUE(L4+L8)_TO_CAKE,AlphaEdit,RS,10000,9888,9840,-0.48,9762,126,78,34,9888,112,545,250,9465,9170,0.017425915556263476,0.014971673022955656,0.45727956120390467,1.4152470704633715,5.055343481972815,-25.769022397696972,13.08211768232286,-2.8538106510892742,-2.7344911098480225,2.3670909881591804,3.90190029144287,7.139310564994814,-27.953373432159424,14.1666841506958,AlphaEdit_BLUE(L4+L8)_TO_CAKE
AlphaEdit_BLUE(L4+L8)_TO_CAKE,AlphaEdit,PS,20000,19155,17755,-7.0,17360,1795,395,450,19155,845,3298,2335,13229,12266,0.2987053774470855,0.04382750578224659,3.4656532607972688,5.2923477403819525,8.682538194060324,-20.53601908683777,15.839600265026093,-2.056406903532872,-1.9276223182678223,2.7812517166137716,4.224739861488339,7.3951968193054,-27.39103603363037,15.540990471839905,AlphaEdit_BLUE(L4+L8)_TO_CAKE
AlphaEdit_BLUE(L4+L8)_TO_CAKE,AlphaEdit,NS,100000,63726,62935,-0.791,50316,13410,12619,23655,63726,36274,4686,9185,8026,12525,-1.151232299162364,-1.0469112396240234,3.2170987129211426,4.701751232147217,7.713440914154034,-20.752705574035645,14.181322574615479,-1.050611924662763,-0.9216965436935425,3.095111393928531,4.396617817878723,6.9143678140640255,-18.80361270904541,18.123955249786377,AlphaEdit_BLUE(L4+L8)_TO_CAKE
AlphaEdit_BLUE(L4-only)_TO_CAKE,AlphaEdit,RS,10000,9939,9840,-0.99,9799,140,41,20,9939,61,565,206,9529,9170,0.17223686904580296,0.014865311211906374,0.5189672161242926,1.6003800295293298,5.109826687183236,-10.192241698503494,13.537347614765167,-2.2883968724007953,-2.2876741886138916,2.7723858833313013,4.319605088233944,7.526746501922611,-22.62665033340454,14.72614848613739,AlphaEdit_L4_ONLY_TO_CAKE
AlphaEdit_BLUE(L4-only)_TO_CAKE,AlphaEdit,PS,20000,19136,17755,-6.905,17385,1751,370,494,19136,864,3282,2186,13362,12266,0.39870066130231974,0.04492318909615278,3.4122008800506625,5.2037241488695125,8.33288577049969,-13.002125889062881,16.310918364673853,-1.6982464075836818,-1.6149554252624512,2.9329014778137226,4.371674823760983,7.720956816673259,-19.352802276611328,15.338310241699219,AlphaEdit_L4_ONLY_TO_CAKE
AlphaEdit_BLUE(L4-only)_TO_CAKE,AlphaEdit,NS,100000,65348,62935,-2.413,51242,14106,11693,22959,65348,34652,4814,9129,8210,12525,-0.7075901324910705,-0.6910252571105957,3.537994813919068,4.9214347839355455,7.977412474155423,-16.811633467674255,17.45021390914917,-0.6853199419218232,-0.626008152961731,3.3080040931701666,4.581535339355469,7.197572398185721,-18.657501220703125,22.334392547607422,AlphaEdit_L4_ONLY_TO_CAKE
AlphaEdit_BLUE(L8-only)_TO_CAKE,AlphaEdit,RS,10000,9396,9840,4.44,9303,93,537,67,9396,604,288,1764,7694,9170,-1.01402029159044,-0.012741711805574596,0.1378413263475523,0.5951548229902947,3.693337112069141,-22.010998582234606,13.682634994387627,-0.8075993482727557,-0.8426346778869629,4.773319721221924,6.49171826839447,10.279894604682925,-18.207271575927734,19.473209500312805,AlphaEdit_L8_ONLY_TO_CAKE
AlphaEdit_BLUE(L8-only)_TO_CAKE,AlphaEdit,PS,20000,15556,17755,10.995,14430,1126,3325,1119,15556,4444,1091,6535,6822,12266,-2.75344498842129,-1.6645198706537485,1.000086653232575,2.48801478371024,5.702132957503174,-24.7350513599813,13.496739387512207,-1.3572131182057754,-1.3014802932739258,4.135358524322512,5.7695044517517085,9.02361668348311,-21.830355644226074,17.34765338897705,AlphaEdit_L8_ONLY_TO_CAKE
AlphaEdit_BLUE(L8-only)_TO_CAKE,AlphaEdit,NS,100000,54703,62935,8.232,42831,11872,20104,25193,54703,45297,2831,10606,4750,12525,-2.171671878702022,-1.9988439083099365,2.8538557052612386,4.310916531085954,7.118176820278168,-24.390809535980225,14.934301376342773,-1.027590274727622,-0.8674126267433167,3.7197352409362803,5.164715194702141,7.955335357189175,-21.79768657684326,16.55394983291626,AlphaEdit_L8_ONLY_TO_CAKE
AlphaEdit_BLUE(L5-only)_TO_CAKE,AlphaEdit,RS,10000,9934,9840,-0.94,9792,142,48,18,9934,66,582,249,9503,9170,0.15528568656517522,0.013891175738535821,0.5174486866220835,1.6785978442057943,5.103908096873207,-11.823375403881073,13.602684289216995,-2.2879375152570427,-2.2639646530151367,2.813571691513062,4.310953593254089,7.417337875366211,-21.30445671081543,15.286204814910889,AlphaEdit_L5_ONLY_TO_CAKE
AlphaEdit_BLUE(L5-only)_TO_CAKE,AlphaEdit,PS,20000,18839,17755,-5.42,17225,1614,530,631,18839,1161,2868,2479,12655,12266,0.12170128655547069,0.01094981492497027,2.9807841122150425,4.5746951542794685,7.752720997482535,-13.952281676232815,16.263905055820942,-1.3533471272250928,-1.2966251373291016,3.115279054641724,4.538872051239012,7.324064731597896,-18.088611364364624,15.37746000289917,AlphaEdit_L5_ONLY_TO_CAKE
AlphaEdit_BLUE(L5-only)_TO_CAKE,AlphaEdit,NS,100000,62822,62935,0.113,49848,12974,13087,24091,62822,37178,4169,9424,7270,12525,-1.0032174964533915,-0.9598405361175537,3.3095260322093973,4.684823143482191,7.396669235229464,-20.122764959931374,14.995540380477905,-0.7830093200135365,-0.6679576635360718,3.200168561935426,4.475748777389516,7.060327517986294,-17.00685840845108,17.35675135999918,AlphaEdit_L5_ONLY_TO_CAKE
