family,requirement,source,line,source_sha,artifact,verification
CAKE,original apply once B100,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/runtime.py,119,aeb0a7ceff747a7d6d2ce344d33c0bb17fa974f9a1a5157ebacb655303016813,100 native-observation/commit,SOURCE_AND_STORED_TELEMETRY
CAKE,last L8 target once per request,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_main.py,95,42599bb68675c0cf167ce676a0827a33827c2254cd7d6bd622553be5c914b96c,"z[100] per batch, layer8 and case order",SOURCE_AND_STORED_TELEMETRY
CAKE,current-state residual,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_main.py,131,42599bb68675c0cf167ce676a0827a33827c2254cd7d6bd622553be5c914b96c,"keys[4..8], solves5; residual tensor NOT_SAVED",SOURCE_CONFIRMED_PARTIAL_TELEMETRY
CAKE,remaining causal-weight allocation,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_main.py,144,42599bb68675c0cf167ce676a0827a33827c2254cd7d6bd622553be5c914b96c,layer-weights CPU source formula; log six decimals,SOURCE_AND_LOG_AGGREGATE
CAKE,native projected direct solve,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_main.py,151,42599bb68675c0cf167ce676a0827a33827c2254cd7d6bd622553be5c914b96c,500 solve shape/dtype records,SOURCE_AND_STORED_TELEMETRY
CAKE,history only original apply final pass,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_main.py,176,42599bb68675c0cf167ce676a0827a33827c2254cd7d6bd622553be5c914b96c,100 final passes /500 layer histories,SOURCE_AND_STORED_TELEMETRY
CAKE,observer/current+allseen; no controller feedback,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/runtime.py,132,aeb0a7ceff747a7d6d2ce344d33c0bb17fa974f9a1a5157ebacb655303016813,current and fullseen state hashes,SOURCE_AND_REDUCED_ROWS
CAKE,no saved W/M,/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/runtime.py,156,aeb0a7ceff747a7d6d2ce344d33c0bb17fa974f9a1a5157ebacb655303016813,"0 pt files, metadata links99",USER_DIRECTED_NO_CP_NOT_REPLAY
EP_SWEEP,actual RAW Vp; own native fit1,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/runner.py,194,a52863e55b5a946ad77b7b4fee687788e41e7d0cdf6863dff70f1c37381a1aa4,30 native-targets-map; commit native100/solve1,SOURCE_AND_CPU_TENSOR_BINDING
EP_SWEEP,C0 copies Vp; gC=gW A^T,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/source-v1/project/run_scripts/bg_tw_reference/ep_tw/model_adapter.py,166,9e4d440e9aae260191d2adcfcc631c9d418311f1c4a8a76b7df46c8e9bb7dba5,gE/gD/RAW header bridge; derivative FD skipped,SOURCE_CONFIRMED_NUMERICAL_NOT_ESTABLISHED
