path,bytes,sha256,role,module
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/__init__.py,59,53066983b8b9360dfd04d9ef14cfdd16240a20aa8d44016b0aea2e688e6d2952,CAKE_ACTUAL_IMPORTED_SOURCE,Cake
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_hparams.py,923,a2281bd837df6b9c1619ca913b2f760f81a549c8ff276b0b77c80bc8ae14abbb,CAKE_ACTUAL_IMPORTED_SOURCE,Cake.Cake_hparams
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/Cake_main.py,9740,42599bb68675c0cf167ce676a0827a33827c2254cd7d6bd622553be5c914b96c,CAKE_ACTUAL_IMPORTED_SOURCE,Cake.Cake_main
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/compute_ks.py,1537,524c57cfc362dc8e07a10055c8b39829ea1277dcd0d667b03737c80a90f286d5,CAKE_ACTUAL_IMPORTED_SOURCE,Cake.compute_ks
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/Cake/compute_z.py,9509,7981fa6885d2ff4513a451199f732276d1e5f2f4d0b91a0d347903e15242f7d1,CAKE_ACTUAL_IMPORTED_SOURCE,Cake.compute_z
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/runtime.py,13717,aeb0a7ceff747a7d6d2ce344d33c0bb17fa974f9a1a5157ebacb655303016813,CAKE_ACTUAL_IMPORTED_SOURCE,__main__
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/runtime.py,13717,aeb0a7ceff747a7d6d2ce344d33c0bb17fa974f9a1a5157ebacb655303016813,CAKE_ACTUAL_IMPORTED_SOURCE,__mp_main__
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/__init__.py,80,24e0fba3c4b62230efc634e0d090749e510da1a74c9020402ab148c13565ed43,CAKE_ACTUAL_IMPORTED_SOURCE,cake_native_lifelong
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/source/cake_native_lifelong/observation.py,3142,da1d18341f5c7700a25aa540778568c705a6b1fbfce5ece03aea264bee22db82,CAKE_ACTUAL_IMPORTED_SOURCE,cake_native_lifelong.observation
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/__init__.py,80,c3804026f89cfd012a8050971055ed5feb21a11be3190807bc9c984a44f9a844,CAKE_ACTUAL_IMPORTED_SOURCE,project.run_scripts.blue_alphaedit_sequential_comparison
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/evaluation.py,3407,d82bc6f0090c3f572ecc23a2de03e8af544e910e1f3534b331ffd8486f96085e,CAKE_ACTUAL_IMPORTED_SOURCE,project.run_scripts.blue_alphaedit_sequential_comparison.evaluation
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/source-tech-r2/project/run_scripts/blue_alphaedit_sequential_comparison/integrity.py,3134,1587c9dda24b618afe9695ebd3150f4a3f62ed3330af8a9b10307b02908753e8,CAKE_ACTUAL_IMPORTED_SOURCE,project.run_scripts.blue_alphaedit_sequential_comparison.integrity
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/__init__.py,74,87e6bd462753e8a86b84b2461da6067762cb0d5c9b7061b1b0598adb6f550a7a,CAKE_ACTUAL_IMPORTED_SOURCE,rome
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/compute_u.py,3637,4e931a6be742e9e9be6cd55d534b5610ae51651610d361157391c95177f118bd,CAKE_ACTUAL_IMPORTED_SOURCE,rome.compute_u
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/compute_v.py,9558,0d5243dd7081a4599b359125932c4f090586676bf6a54cf6c7911c7475055009,CAKE_ACTUAL_IMPORTED_SOURCE,rome.compute_v
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/layer_stats.py,7383,68a2338d2107b95719cbedfad365ec3bba675ef6247be8a8147972a7935a5411,CAKE_ACTUAL_IMPORTED_SOURCE,rome.layer_stats
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/repr_tools.py,9162,7be2921dea65325b0190e32c01fde14106970e78b897b93c03824e8490957504,CAKE_ACTUAL_IMPORTED_SOURCE,rome.repr_tools
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/rome_hparams.py,674,1037cd56d2cfc92db212f5f4344477c5732a809dfd745c04e8e5742e925c98a5,CAKE_ACTUAL_IMPORTED_SOURCE,rome.rome_hparams
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/rome_main.py,6041,9ec79e3f0d3af55ba9347e33bea7eb80a7a6a7f206d1cb0b66c2fbdd5eb6de2f,CAKE_ACTUAL_IMPORTED_SOURCE,rome.rome_main
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/rome/tok_dataset.py,3103,3dd4815dd6d15e0727939f38e8a8f8ddfaea56f10b700249334982c56e4883b4,CAKE_ACTUAL_IMPORTED_SOURCE,rome.tok_dataset
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/util/__init__.py,34,0f2267e08c0c9345017c155e4d894043773f4e303958a95a3e8fe5dc3c5b341d,CAKE_ACTUAL_IMPORTED_SOURCE,util
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/util/generate.py,5559,43d219ecc1955a4e4f82ea22edc286b4774e52e917d4b375021b8d7329b0adf3,CAKE_ACTUAL_IMPORTED_SOURCE,util.generate
/data/janghj/ODE-edit/local/cake-native-lifelong/20260915-v1/attempt-v1/execution/CAKE/util/globals.py,388,ae25580435585acafce49511abbba6b545dbfb3f5865147d79bd383a050bf8c2,CAKE_ACTUAL_IMPORTED_SOURCE,util.globals
