entry,branch,stage,panel,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
50,NATIVE,W5,Current,RS,94,100,94.0,0,84,101,0.8316831683168316,0.835,83,83,1.1062913449737244,8.760486707687377,1.1062913449737244,7.654195362713653,-3.8070187735557557,-0.07976679801940906,7.91286581940949,6.129683017730712,9.275904378891024
50,NATIVE,W5,Current,PS,177,200,88.5,0,123,202,0.6089108910891089,0.61,121,121,2.2245482954342153,8.112256296277046,2.2245482954342153,5.8877080008428315,-6.53554007768631,-3.201627969741821,6.362957656383514,8.972770786285396,13.18218726158142
50,NATIVE,W5,Current,NS,634,1000,63.4,0,163,1030,0.15825242718446603,0.1475,134,134,7.309931293460075,5.508140450405422,5.508140450405422,1.8017908430546523,-11.143069163765759,-7.325943493843079,1.6274042129516602,11.788786315917967,13.979818935394283
50,NATIVE,W6,Current,RS,99,100,99.0,0,93,101,0.9207920792079208,0.925,92,92,0.48058783393498744,10.28741816997528,0.48058783393498744,9.806830336040294,0.20472141742706296,2.0880769312381746,10.204492069780827,2.6881954550743066,5.7135262823105215
50,NATIVE,W6,Current,PS,185,200,92.5,0,137,202,0.6782178217821783,0.68,135,135,1.5445388015566277,8.989156975150108,1.5445388015566277,7.44461817359348,-5.545753417015075,-1.9335252940654752,8.465493505820632,7.4207450151443455,11.591655578613272
50,NATIVE,W6,Current,NS,633,1000,63.3,0,162,1030,0.15728155339805824,0.1465,133,133,7.252155358987395,5.523971405722201,5.523971405722201,1.728183953265194,-11.347435139399021,-7.420299057662487,1.5071964263916016,11.780851554870605,14.097848424911499
50,NATIVE,W8,Current,RS,100,100,100.0,0,101,101,1.0,1.0,100,100,0.033060201365296964,12.828182446956635,0.033060201365296964,12.795122245591337,4.516183540541679,6.610469256807119,12.72650392295327,0.05038167703896761,0.4560032114386616
50,NATIVE,W8,Current,PS,190,200,95.0,0,159,202,0.7871287128712872,0.7875,157,157,0.9046830754895564,10.396246652305127,0.9046830754895564,9.49156357681557,-4.369246582984925,0.6704250335693368,9.819772064685822,5.289943528175353,9.458612356185911
50,NATIVE,W8,Current,NS,620,1000,62.0,0,164,1030,0.15922330097087378,0.1485,135,135,7.100724078739527,5.579536318047438,5.579536318047438,1.5211877606920898,-11.82398348532617,-7.9743966601789,1.471142053604126,11.83325171470642,14.40682544708252
50,NATIVE,entry,Current,RS,31,100,31.0,0,9,101,0.0891089108910891,0.085,8,8,7.699084342308343,5.84298525005579,7.699084342308343,-1.8560990922525524,-11.642648403644563,-10.01106150150299,-2.1634025052189827,14.548277616500854,16.247951068878187
50,NATIVE,entry,Current,PS,72,200,36.0,0,17,202,0.08415841584158416,0.08,15,15,7.588385656801984,5.992698378516361,7.588385656801984,-1.5956872782856226,-12.962734044771642,-9.112260326743126,-2.262044310569763,14.793905830383299,16.799713344573963
50,NATIVE,entry,Current,NS,643,1000,64.3,0,164,1030,0.15922330097087378,0.1495,136,136,7.427790052876342,5.4762111614898314,5.4762111614898314,1.9515788913865109,-11.036772324740888,-7.288454198837281,1.8166794776916504,11.709045648574829,14.069102449417112
50,NATIVE,history,Current,RS,100,100,100.0,0,101,101,1.0,1.0,100,100,0.033060201365296964,12.828182446956635,0.033060201365296964,12.795122245591337,4.516183540541679,6.610469256807119,12.72650392295327,0.05038167703896761,0.4560032114386616
