entry,layer,family,variant,panel,metric,n,lost,gained,delta_pp,tf_lost,tf_gained,desired_nll_delta_mean,desired_nll_delta_p95,desired_nll_delta_p99,desired_nll_delta_max,lost_ids,gained_ids,cluster_cases,bootstrap_seed,bootstrap_repeats,descriptive_ci_low,descriptive_ci_high
50,,E4-H,SHAM,N512,NS,512,0,0,0.0,0,0,-1.634798536542803e-07,1.71661376953125e-05,2.5722980499267575e-05,4.38690185546875e-05,,,468,20260924,2000,0.0,0.0
50,,E4-H,H5,N512,NS,512,0,0,0.0,0,1,-8.868228542269208e-05,0.0060975074768066405,0.01127427101135253,0.017656326293945312,,,468,20260924,2000,0.0,0.0
50,,E4-H,H6,N512,NS,512,0,0,0.0,0,1,-0.00026723309929366224,0.00863351821899414,0.01699537277221678,0.02355337142944336,,,468,20260924,2000,0.0,0.0
50,,E4-H,H56,N512,NS,512,0,0,0.0,0,1,-0.00034538844556664117,0.013309645652770992,0.02011141777038574,0.037438392639160156,,,468,20260924,2000,0.0,0.0
50,,E4-H,MASS56,N512,NS,512,0,0,0.0,0,0,7.799259037710726e-06,0.00015482902526855465,0.00031069755554199204,0.0006279945373535156,,,468,20260924,2000,0.0,0.0
50,5,KR,ab,Current,RS,100,0,0,0.0,0,0,0.051799438951711636,0.33724122047424315,0.8070913982391366,0.9631261825561523,,,,,,,
50,5,KR,ba,Current,RS,100,0,0,0.0,0,0,-0.014394688831816892,0.0001334365224465724,0.0009851758182049496,0.014484912157058716,,,,,,,
50,5,KR,bb,Current,RS,100,0,0,0.0,0,0,0.03683622519340133,0.2559051275253295,0.7695252227783207,0.8423352241516113,,,,,,,
50,5,KR,ab,Current,PS,200,0,0,0.0,7,0,0.09937449562610709,0.6649734795093535,0.9547220814228049,1.1542925834655762,,,,,,,
50,5,KR,ba,Current,PS,200,0,0,0.0,0,1,-0.020160704983281902,0.01696791946887968,0.06887047290801936,0.1520932912826538,,,,,,,
50,5,KR,bb,Current,PS,200,0,0,0.0,6,0,0.07595702185819392,0.5774939060211178,0.872703968286513,1.0495271682739258,,,,,,,
50,5,KR,ab,Current,NS,1000,2,5,0.3,2,2,-0.004280259848572314,0.09646345973014832,0.17009885072708125,0.2565593719482422,ec05dda9a31b1af1bfd4adc5290ba53191e267465c19fff441b080e73b038bac;83ee6b1ccb3600953cd5812d827f2664731c6405fdafccbef1d1688a20758408,a3e25d6ecf90642172df979f10fe81516547396f895eae583f73b4e9b3beabb2;ec1884ae72a50acfd8a159a5273a1a566998e9dac9242a01fc2bfadd870ad56c;814ce912a6bee05eabfae4dbbec3295dd71670e85dc3c621326d2ddc81bc350f;da993f8d91efa8cb99800a1bedb37af15380a90b4815dd288db029aa05c56a0c;c64695fe56073a656e80a5d8a457509169ff665bfd8fc3aebe88c57a68828d04,,,,,
50,5,KR,ba,Current,NS,1000,1,2,0.1,0,1,-0.00043182434840127824,0.06534150838851926,0.12077332496643066,0.2164149284362793,83ee6b1ccb3600953cd5812d827f2664731c6405fdafccbef1d1688a20758408,ec1884ae72a50acfd8a159a5273a1a566998e9dac9242a01fc2bfadd870ad56c;814ce912a6bee05eabfae4dbbec3295dd71670e85dc3c621326d2ddc81bc350f,,,,,
50,5,KR,bb,Current,NS,1000,2,5,0.3,0,2,-0.004161675087641924,0.10989480018615708,0.20612656593322753,0.30205631256103516,ec05dda9a31b1af1bfd4adc5290ba53191e267465c19fff441b080e73b038bac;83ee6b1ccb3600953cd5812d827f2664731c6405fdafccbef1d1688a20758408,a3e25d6ecf90642172df979f10fe81516547396f895eae583f73b4e9b3beabb2;ec1884ae72a50acfd8a159a5273a1a566998e9dac9242a01fc2bfadd870ad56c;814ce912a6bee05eabfae4dbbec3295dd71670e85dc3c621326d2ddc81bc350f;da993f8d91efa8cb99800a1bedb37af15380a90b4815dd288db029aa05c56a0c;c64695fe56073a656e80a5d8a457509169ff665bfd8fc3aebe88c57a68828d04,,,,,
50,5,components,mean,Current,RS,100,0,0,0.0,0,0,-0.0011166214756667613,0.02342245578765869,0.031526739597320594,0.03907346725463867,,,,,,,
50,5,components,mean,Current,PS,200,0,0,0.0,0,0,0.0008825734164565802,0.0379669666290283,0.06998605966567986,0.08286535739898682,,,,,,,
50,5,components,mean,Current,NS,1000,0,0,0.0,0,0,0.002212059670127928,0.03265441656112669,0.0678939962387085,0.14451122283935547,,,,,,,
