entry,branch,C_sha256,G_minus_GT_frobenius,H_minus_HT_frobenius,K_sha256,R_sha256,actual_delta_norm,actual_minus_solve_delta_norm,condition_I_minus_G,delta_sha256,diagnostic_factor_status,diagnostic_seconds,divisor,ideal_orthogonal_P_identity,layer,native_solve_seconds,physical_write_applied,post_weight_sha256,pre_weight_sha256,raw_A_stored,reconstruction_max_abs,reconstruction_relative_frobenius,repeat_factor,residual_source
50,NATIVE,9b684be593d2c2e2527d93ff77705636bf58c46901b63f6d0edfec9148102903,1.082196982293588e-06,2.5951421106740316e-06,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,00107be602b2ffd0306d613f43337091ea628cd42eb95e9f93ae158f66e1fb5d,2.6900100708007812,1.9878123111993773e-06,1.5817420648815526,e615883a2c32e50ab215fc786fd3fd8a59160f3c754d046af5d6332212557c01,COMPLETED,0.35160043835639954,5,NOT_ESTABLISHED,4,0.16222778614610434,True,97c12955a1e295325a2fbeeff58fca4ddd8d71b7e35bfba145f5289444cea12c,f63063bb0e481a8e898fb2e0056a6bef6b3bdb442a143c46f7954b4edb8119f3,False,3.442619345150888e-08,9.478819114672407e-07,1,ORIGINAL_NATIVE_FRAME_RESID
50,NATIVE,cd006b27d380deb6816ba1aa050bca431bed5d77e3581303ea8ed04e17e96f84,1.8909041875584493e-06,5.158229152252669e-06,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ec7b2023cfe504dba93bdd11581ca715479cd36fd865571bb109510ece26ea3d,3.129490613937378,1.995916818486876e-06,1.594882164071505,766e7c3e6fe4e83a037f159e5d67b86cc7ebf09d2b9c57198f28446bb999dbf5,COMPLETED,0.3644530354067683,4,NOT_ESTABLISHED,5,0.1189489085227251,True,2e4f8f9c9737d0c6942d15fd04012113dcb8fd8b32066ddf1a0891b813ad54fb,d631af8995e81010c882ccb6935d150d660183287ce6dd94f5d6efdc230aa80e,False,7.683411240577698e-08,1.177160602996751e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,NATIVE,dca464543f339cc5c27feb9d72e646055997d123e4c3eb44c34729990d654667,4.08591750321066e-06,1.1194513458787845e-05,8cf82418bbabbedc856d80a55167312ae0024bf627c724381773ff63f835c2ba,28152468737af0a099ba0f502b1bb96188f3722aea12d0aed0f72ed137bd5759,3.754324436187744,1.9984104255854618e-06,1.566153523204694,b0cc62f754722ead41d4eac0935af58b0dc4350da2807daffb835ea5a77b6fc0,COMPLETED,0.40909252129495144,3,NOT_ESTABLISHED,6,0.11895550973713398,True,e551f113ce441717be8517ccf991886816c647bffd1dce80a99531e90bb3b912,1952a5003e58a64bc55aed3951aaebf666234eb94df7d21827e893ae01c0bc1b,False,1.2922100722789764e-07,1.6031957727243795e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,NATIVE,58ccc2d6e4acc4789dbe9e8736096a8155657887cdd2aec994b400a441061a30,6.017115014773901e-06,1.5101325832566072e-05,b65b694ff556aaf99b1426657949d240c6e564851dd6e4d21b182c270642687d,071ba88cd10c89e83d8e2ee750ac3434b8a96db7753201c743e94e540bf983df,4.918746471405029,2.0619190763682127e-06,1.5044074829683642,7963714d2d9ede65a2331eca722b286e6dc21ddb04cb5fcf046cf1d85c7e1912,COMPLETED,0.374342517927289,2,NOT_ESTABLISHED,7,0.11897380836308002,True,5854dbc91e81a5a5f885d5aa19508bd690cc1c389af7fa883426b82a1ee50704,866648c43913ec56699c0d9646477435fda80db476f6158baa769e40c102ec65,False,3.584427759051323e-07,1.7923623788038354e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,NATIVE,8f7b12a76668014920d1af8a690a6008e754d70ca3c9321c0d2696f3ce47a993,6.3316176211896676e-06,1.475429110610655e-05,abe7b4019f930634c2d37f0191b9dd347623e5153d2f23f8cf0dd635a0ea01f9,10d85a7134ac00715fa0280059998bf1226c21544a78ac3314f89124831beb66,8.051122665405273,2.24462178266549e-06,1.4774315444127821,42568270333f6596d63630ff666236859881a205d3e5a6bb166c568169ba82ac,COMPLETED,0.3133367393165827,1,NOT_ESTABLISHED,8,0.1197435250505805,True,c16f0a8702affec82c5ef345809e1989e4724eb933563218b0923495fe6413cb,e968b3241a840944228a47d8061231aa41f303fe894ccb9b7f528c855b0e6d8f,False,6.193295121192932e-07,2.2823521531693358e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,SHAM,a59cfd09161f8c79d628a125203e0bb7ac56bd58970d314dc0889c91118bbad6,1.080442145599484e-06,2.5891640067673278e-06,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,00107be602b2ffd0306d613f43337091ea628cd42eb95e9f93ae158f66e1fb5d,2.6900100708007812,1.987835730687948e-06,1.5817420779482363,f7186718c634246dc148b6b8760e2638db7e4f71751594dca4a5f4251ae99e83,COMPLETED,0.4167334781959653,5,NOT_ESTABLISHED,4,0.11904755514115095,True,e7a138f05878a322afdf6ab6ca8e1f987007bcd91c5f70c2d9109d6d9a055f8a,f63063bb0e481a8e898fb2e0056a6bef6b3bdb442a143c46f7954b4edb8119f3,False,3.568129613995552e-08,9.468447943207365e-07,1,ORIGINAL_NATIVE_FRAME_RESID
50,SHAM,9aa1528454564939c8a3a5ccde0476a5e59a5a3277b3f9478d7f483c914f7952,1.8888487922374828e-06,5.151568151059657e-06,118ee27395142a8155625c8113e34f50411aa6100f1d20fb6e1137c3309a4c69,01b6916991096cf6e560db22b61d1a10087a4e6ac558563533134d73b1622f98,3.129490613937378,1.995966158574447e-06,1.5948820920722804,55374a248f93fbb98a8b4901df0d822b7ac0b8135e84554823a7ed991ffa920c,COMPLETED,0.404027889482677,4,NOT_ESTABLISHED,5,0.11880212556570768,True,1b2f7e6fdbaa1f0a1ab9932db79df0147c6fa5d0c31ccd8fd451c3baff99f9fe,d631af8995e81010c882ccb6935d150d660183287ce6dd94f5d6efdc230aa80e,False,9.476207196712494e-08,1.1773385691860662e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,SHAM,8caea27cbd5a3f9aa8dce3245f8e05c6cd48676b27d71cc2bfee36eaff64a1e8,4.092317104204342e-06,1.1208845606022363e-05,4916cef1e824226f8215f6116e5484edb8c27d7a6ff2c75f837c6e49d7c94628,e1208d8582ec631e46354cb44e916244282ff3b48d92814c35d85244adcf2c15,3.754324436187744,1.99871988115774e-06,1.566153559771778,7ae96890eb44e7517f7e3ca8599ee14337d9be73067e7dcaeb580baa3cbe97d9,COMPLETED,0.3861453616991639,3,NOT_ESTABLISHED,6,0.11888712365180254,True,87b61bd98151337324dccbbc86d1187c8ab147391c6719b4fa60399317f2211e,1952a5003e58a64bc55aed3951aaebf666234eb94df7d21827e893ae01c0bc1b,False,7.611015462316573e-08,1.602902435789485e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,SHAM,5a8bc35e3173eca1b2fc665687f68fbf1d2f03ca606e176a15a51f52f3977b57,6.0210477011959075e-06,1.5120944785957982e-05,89e4f72e2f4d645b7f397d70f2ce9218694ddd9286ae22a86295ef00dbe33016,66ad98de3c582c21d704cc63e4b5c7fe223d1d13b0f0ee4a757e3e2a79bdfc7f,4.918745517730713,2.0616259917005664e-06,1.5044073895939087,147bede6b40b73d33e8cdd9f3c56d86318466ba14cba7de49df59987fd5fca35,COMPLETED,0.40466041304171085,2,NOT_ESTABLISHED,7,0.11917021498084068,True,e0affed5490bd9eef8f717f2ddd31cae47adafa7f9f9cf02fd1b00d1f7063f32,866648c43913ec56699c0d9646477435fda80db476f6158baa769e40c102ec65,False,1.8475111573934555e-07,1.7919329232900883e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,SHAM,77c28f72466c1ac23d3b83ea086dd23b0765372965c5375499a6b4e27c450d8b,6.340760204085165e-06,1.4781052848875781e-05,42f5f6cc374b30d1ccc6641593e382534fda2e5a7e72baf1aa4e0577b230d343,3f5c538193a51a8c634f48d980e32e2862baf757ee91634d982f81ac61d94f59,8.05112361907959,2.2433939648180967e-06,1.4774314795976073,f2534e927df17c5b5d12ac922a735689699589ecae9c5229399de074b2f9841c,COMPLETED,0.5466594994068146,1,NOT_ESTABLISHED,8,0.11908369977027178,True,3a62820a90fa54ff4662c67475e0db8c63f43dddc08031a740486fe0b271e1ef,e968b3241a840944228a47d8061231aa41f303fe894ccb9b7f528c855b0e6d8f,False,3.46451997756958e-07,2.2803441067573086e-06,1,ORIGINAL_NATIVE_FRAME_RESID
