entry,kind,status,comparison,exact,field,layer,max_abs,relative_frobenius,metric,attention_mask_sha256,authority_user_text,blocks_execution,comparison_verdict,full_physical_max_abs,full_physical_rms,full_physical_valid_logits_bitwise_equal,input_ids_sha256,kernel,numerical_comparison_policy,sum_route_max_abs,sum_route_not_bitwise_assumed,sum_route_rms,threshold,tokens,vocabulary
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,K,4,0.0,0.0,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,True,R,4,0.0,0.0,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,4,1.3067619875073433e-08,4.061889727865857e-07,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,5,5.960464477539062e-07,4.8951271808129e-07,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,5,1.9073486328125e-06,1.8181457877753348e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,5,6.327172741293907e-08,2.247749509832587e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,6,1.6689300537109375e-06,1.1314109042702042e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,6,2.2277235984802246e-06,2.0242660676386943e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,6,8.335337042808533e-08,3.125810232158617e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,7,1.1920928955078125e-06,1.4291211523246644e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,7,4.172325134277344e-06,2.0908668030161564e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,7,2.4121254682540894e-07,3.742620456839749e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,8,1.9669532775878906e-06,1.58254884435438e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,8,1.0013580322265625e-05,2.227259284258863e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,8,2.989545464515686e-07,4.2635437671596665e-06,,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,7.748603820800781e-06,,RS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.719329833984375e-05,,RS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,2.1457672119140625e-05,,PS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.24249267578125e-05,,PS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,7.82012939453125e-05,,NS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,8.296966552734375e-05,,NS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.38690185546875e-05,,N512,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,2.9087066650390625e-05,,H512/RS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,6.246566772460938e-05,,H512/RS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.398822784423828e-05,,H512/PS,,,,,,,,,,,,,,,,
50,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.9114227294921875e-05,,H512/PS,,,,,,,,,,,,,,,,
