arm,gradient,candidate,signed_KL,rows_sha256,backward_documents,complete,coverage_sha256,data_id,documents,positions,role,vocabulary_size
LEGACY_SCHEDULE_R512_G256,True,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,0.0011201772680244288,a8119961efce4784d207a165a09a78c19c65dd330c0f1d18d1784477df0931eb,512,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
LEGACY_SCHEDULE_R512_G256,False,6c42885179f3e4730f1b7c129714da3a8975ea07a0e526733865aac564e8c282,0.003056098332489184,0e145f6186710715a0b84dfc6081d420cd5c416d69aab573e761ff2d36d83df6,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
LEGACY_SCHEDULE_R512_G256,False,b6fc9ee3900aa0b5db5e03892ab876051b3bef1bf2e59e0925fff315f179ae9b,0.0016900065940794586,a29bcb072dfbbf78a383cbb80c7fd7bf88fbdf9dc0262ad6c21aa6db4c7fa51e,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
LEGACY_SCHEDULE_R512_G256,False,804b426ccf0fd513cb7de9be02640ee11f044c6b868b88394b994813d40e3529,0.0011811945914412473,c48359370ad8d67fad3ab4c7e98ac4c83414ffc0de9206d4d35c7e34526f061d,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
LEGACY_SCHEDULE_R512_G256,False,26a308f7a264193ed493d2cc07017dbba65efc413c7b6ffb0e6524d29d448d8a,0.0010561483517709475,14dba07f1e1c9eeaaf379e8a62283d40904518f7f90ef641031753531d86f1ba,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
REUSE_SCHEDULE_R512_G256,True,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,0.0011201772680244288,a8119961efce4784d207a165a09a78c19c65dd330c0f1d18d1784477df0931eb,512,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
REUSE_SCHEDULE_R512_G256,False,6c42885179f3e4730f1b7c129714da3a8975ea07a0e526733865aac564e8c282,0.003056098332489184,0e145f6186710715a0b84dfc6081d420cd5c416d69aab573e761ff2d36d83df6,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
REUSE_SCHEDULE_R512_G256,False,b6fc9ee3900aa0b5db5e03892ab876051b3bef1bf2e59e0925fff315f179ae9b,0.0016900065940794586,a29bcb072dfbbf78a383cbb80c7fd7bf88fbdf9dc0262ad6c21aa6db4c7fa51e,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
REUSE_SCHEDULE_R512_G256,False,804b426ccf0fd513cb7de9be02640ee11f044c6b868b88394b994813d40e3529,0.0011811945914412473,c48359370ad8d67fad3ab4c7e98ac4c83414ffc0de9206d4d35c7e34526f061d,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
REUSE_SCHEDULE_R512_G256,False,26a308f7a264193ed493d2cc07017dbba65efc413c7b6ffb0e6524d29d448d8a,0.0010561483517709475,14dba07f1e1c9eeaaf379e8a62283d40904518f7f90ef641031753531d86f1ba,0,True,b08c6b19a182f95f70a00292e35ccae366e48eb2097512c067950e64cbd48d5b,EN-R512-G256-v1,512,130235,R512,128256
