batch,checkpoint,bytes,file_sha256,selected_keys,W_shape,M_shape,dtype,finite,W_M_hash_bridge,context_RNG_ledger,history_count,next_ordinal,selected_restore,full_model_GPU_continuation
1,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B001/checkpoint.pt,1057004325,80515145246def1b6a4ad4585ce01c01945dcba4cde71221bf755e5a29c1f059,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,1,100,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
2,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B002/checkpoint.pt,1057022629,53c0fdcb428471a7bb2794e08cda000118c4d8dbcacfcb68e763168285790b3c,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,2,200,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
3,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B003/checkpoint.pt,1057040997,7352b6d68a66cef9dbe9e92410ab9f0d0373db1358d22d92bb74b3dc5dd8c200,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,3,300,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
4,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B004/checkpoint.pt,1057059621,05f8c20b99ac84cbcf472cb2604d0f7b60cafb16a46d57a060d1746cd945252d,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,4,400,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
5,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B005/checkpoint.pt,1057077989,68619537b045c7adbf62ba4da9e9245016322a053c963b464eadf11417130bfb,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,5,500,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
6,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B006/checkpoint.pt,1057096613,8ee1432ebe9f1de9871f473fdd295a230f29b10d2159a242cc27f750e64bfba3,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,6,600,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
7,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B007/checkpoint.pt,1057115109,bc3cd5fb5780f66118f093c83acb19d94482252b7b7ce84e095e2209669faaf9,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,7,700,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
8,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B008/checkpoint.pt,1057133605,40b3a1ac28372556c05786381775b4cbe6b40dfc2cf6bc877c852553982fffbf,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,8,800,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
9,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B009/checkpoint.pt,1057152101,96e05ff41408a21a5684f3a90066811f993915e278c494b387f5bccdbfd125df,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,9,900,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
10,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/NORM_ONLY/attempt-v1/scientific-v1/B010/checkpoint.pt,1057170533,c26f19cc590ad6af6dc8047796acee6e23c45fa85ada5207ea19e528a7bf7447,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,10,1000,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
