policy,state,verification,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
AlphaEdit_BLUE_L4_ONLY,W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,RS,998,1000,99.8,1000,0,995,1000,995,2,1010,1015,995,0.03190484238398858,0.0011623300379142165,0.0047913619317114355,0.008037822926416992,0.08885138154029744,3.671578815556131e-05,6.699726104736328,14.5287674780488,14.464827537536621,19.658075523376468,21.65675296783447,24.35044054031372,0.23764175176620483,26.546348571777344,14.496862635664813,14.463486472493969,19.655976701955662,21.654504894030104,24.350200604609707,-4.664877772331238,26.546184434060706
AlphaEdit_BLUE_L4_ONLY,W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,PS,1943,2000,97.15,1000,0,1347,2000,1347,13,1376,2030,513,1.5436600844235435,0.2932027131319046,5.099089813232425,6.975954914093017,10.035090398788451,4.732496745418757e-05,16.152999877929688,10.181154037229717,9.962728500366211,15.278726863861088,16.895080947875975,20.492758083343507,0.06780017912387848,24.812040328979492,8.637493952806173,8.574429869651794,14.518855395559513,16.500265240133736,20.459754145890475,-9.3406982421875,24.81083025271073
AlphaEdit_BLUE_L4_ONLY,W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,NS,8072,10000,80.72,1000,0,1813,10000,246,1813,1923,10110,12,9.272972217135653,9.268556594848633,14.15629224777222,15.48057951927185,18.127093658447265,8.487341256113723e-05,24.581514358520508,5.302156480057764,4.844059705734253,10.575891685485841,12.302041196823113,15.139921169281006,0.000460876093711704,23.419189453125,3.970815737077887,3.975939393043518,10.056025671958924,11.632867240905759,14.959556524381044,-20.789488796021033,19.29912868514657
AlphaEdit_BLUE (L4+L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,RS,997,1000,99.7,1000,0,997,1000,997,0,1012,1015,997,0.04635484112659833,0.0012496646959334612,0.004786497633904219,0.0075612539658322896,0.031890979409217826,1.7881233361549675e-05,20.734928131103516,14.51155035161972,14.463168144226074,19.630774688720706,21.221222114562988,24.596049251556398,2.3601908683776855,28.9539794921875,14.465195510493123,14.457345320552122,19.63032054512587,21.220974144084174,24.59447620645893,-13.765073776245117,28.95350765393232
AlphaEdit_BLUE (L4+L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,PS,1939,2000,96.95,1000,0,1347,2000,1347,14,1376,2030,509,1.5275426892170636,0.300677090883255,5.0635545730590845,6.837713646888733,9.816686573028564,5.6503606174374e-05,16.637474060058594,10.143880024138838,10.02944564819336,15.048765563964844,16.78839778900146,20.034243774414062,0.10773996263742447,24.80020523071289,8.616337334921775,8.568411476910114,14.422145252896009,16.450079348590226,20.032329521350185,-11.078044176101685,24.77887685596943
AlphaEdit_BLUE (L4+L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,NS,8057,10000,80.57,1000,0,1814,10000,246,1814,1924,10110,11,9.266179020602484,9.278098106384277,14.1648907661438,15.50246272087097,18.009438571929934,0.0001161031104857102,25.826013565063477,5.3222279921894255,4.836704254150391,10.585048389434816,12.269627809524536,14.931360473632818,0.0009282094542868435,23.335926055908203,3.9439510284130592,3.968430519104004,10.017618131637573,11.606011486053466,14.863570947647096,-19.028145603399025,19.830754727125168
MEMIT_BLUE (L4+L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,RS,995,1000,99.5,1000,0,987,1000,987,0,1002,1015,987,0.12002665494658277,0.0029639146523550153,0.02569649945944549,0.052758355066180214,1.270222625732407,5.960446742392378e-06,20.269760131835938,13.650864624500274,13.217703819274902,19.803516960144044,21.899901676177976,25.485984497070305,2.603296995162964,30.551969528198242,13.53083796955369,13.120655099861324,19.800998600223103,21.8998524022405,25.48476369062558,-15.214325428009033,30.5518679670422
MEMIT_BLUE (L4+L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,PS,1899,2000,94.95,1000,0,1302,2000,1302,23,1331,2030,479,1.6881942977065683,0.3392350673675537,5.395353651046757,7.702370643615722,11.086386489868165,5.2927523938706145e-05,16.688629150390625,10.182659175381996,9.97465705871582,15.75098562240601,17.75931510925293,21.74734119415283,0.009670907631516457,27.55674934387207,8.494464877675428,8.526216745376587,15.280753668342369,17.235267146397383,21.50404579594964,-11.575132608413696,27.554676060797647
MEMIT_BLUE (L4+L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,NS,8507,10000,85.07,1000,0,2024,10000,152,2024,2134,10110,12,10.192246626004332,10.19041109085083,15.159381294250489,16.562238883972167,19.654415950775146,0.0006524579366669059,27.93712615966797,5.156779767946911,4.572336912155151,10.645475864410402,12.299803781509397,15.707941503524781,0.00067473528906703,25.372365951538086,5.035466858057422,5.0278239250183105,11.433913436532022,13.100098638236517,16.289520116653293,-23.097481140168384,23.05201017856598
BASE_ALPHAEDIT (blue=False L4-L8),W10_FULL_PREFIX1000,NEW_LOCAL_JSON_REDUCTION_PLUS_SEALED_PUBLICATION,RS,989,1000,98.9,1000,0,975,1000,975,2,990,1015,975,0.14801844512877868,0.0035207209875807166,0.039232140779495286,0.15034062191843953,4.867322740554809,6.925819616299123e-05,14.680933952331543,12.359596647202968,12.173962593078613,18.039875793457032,19.558367347717283,22.223995609283445,0.2992371916770935,25.738529205322266,12.21157820207419,12.137092385644792,18.038520016771507,19.558143267231205,22.22355325553304,-10.092679977416992,25.738351718435297
