arm,provenance,comparison,batch,population,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
CAP1,SEALED_CAP1_REUSE,ENTRY_TO_RAW,1,CURRENT,RS,100,5,100,95.0,5,0,95,0,5,95,0,100,0,100,-11.741110506703116,-11.79246184200747,-6.601537873150661,-5.747747958626133,-4.666896919951531,-21.15544577583205,-2.6642967170337215,9.792739541321062,9.676162242889404,15.161600372195247,17.793860793113705,20.123158912658692,-3.665827751159668,20.413007259368896
CAP1,SEALED_CAP1_REUSE,RAW_TO_SELECTED,1,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-1.3970420695841312e-08,0.0,5.944166332483292e-07,8.384929969906803e-07,1.678736880421645e-06,-1.7163343727588654e-05,2.9262155294418335e-06,-6.70623779296875e-05,-4.7206878662109375e-05,0.00023708343505859396,0.00033218860626220697,0.0006684875488281284,-0.0009202957153320312,0.0013256072998046875
CAP1,SEALED_CAP1_REUSE,ENTRY_TO_RAW,1,CURRENT,PS,200,20,190,85.0,20,0,170,10,20,180,0,129,0,129,-8.573068473858584,-8.620739735662937,-4.250065332651139,-3.5527825034922005,-1.2372437787056019,-18.03170083463192,0.8979048728942871,4.979054603809491,4.878610253334045,10.519104224443435,11.682421908341343,15.450481428503963,-5.35964822769165,18.91885006427765
CAP1,SEALED_CAP1_REUSE,RAW_TO_SELECTED,1,CURRENT,PS,200,190,190,0.0,190,0,0,10,190,10,0,0,129,129,4.0117490279953926e-05,5.4640695452690125e-06,0.00018318295478820796,0.0002909302711486813,0.0004692161083221419,-0.0005712509155273438,0.000850677490234375,-9.880542755126954e-05,-6.723403930664062e-05,0.00010442733764648419,0.00021424293518066385,0.0005255889892578124,-0.0009965896606445312,0.0006475448608398438
CAP1,SEALED_CAP1_REUSE,ENTRY_TO_RAW,1,CURRENT,NS,1000,886,867,-1.9,865,21,2,112,886,114,23,5,171,153,-0.03125891809654422,-0.06344592571258545,0.5017818450927737,0.959708523750304,2.9747250580787616,-5.516544342041016,9.811433225870132,-0.5563087919023819,-0.2313251495361328,0.2449892044067383,0.4556606769561764,0.8697228050231931,-14.428743369877338,1.8565759658813477
CAP1,SEALED_CAP1_REUSE,RAW_TO_SELECTED,1,CURRENT,NS,1000,867,867,0.0,867,0,0,133,867,133,0,0,153,153,3.037390997633338e-06,3.933906555175781e-06,7.67827033996582e-05,0.00011839866638183581,0.00021558761596679682,-0.000629425048828125,0.0005288124084472656,2.2939110174775124e-05,1.430511474609375e-05,0.0001021385192871094,0.00014870166778564416,0.00034049987792968747,-0.00043773651123046875,0.00067901611328125
CAP1,SEALED_CAP1_REUSE,ENTRY_TO_RAW,2,CURRENT,RS,100,11,100,89.0,11,0,89,0,11,89,0,100,0,100,-10.98627094616837,-10.898522080213297,-6.1618410364855665,-5.806839913676959,-3.750460303922868,-20.838714790792437,-1.033755119657144,9.581832179352642,9.80302119255066,15.203940224647528,16.99885542988777,18.775459645688542,-0.8411517143249512,20.396437495946884
CAP1,SEALED_CAP1_REUSE,RAW_TO_SELECTED,2,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-1.1061929399147629e-08,0.0,3.5705743357539176e-07,6.122281774878491e-07,1.988837495446219e-05,-6.431341171264648e-05,4.69014048576355e-05,-9.668827056884766e-05,-4.673004150390625e-05,0.00015335083007812507,0.00020399093627929683,0.00036230564117431784,-0.0024480819702148438,0.0006365776062011719
CAP1,SEALED_CAP1_REUSE,RAW_TO_SELECTED,2,ACCEPTED_OLD,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-2.4001055862754582e-08,0.0,1.1897645890712738e-07,1.1909287422895432e-07,2.391263842582709e-07,-2.8796494007110596e-06,3.5529956221580505e-07,4.811286926269531e-06,9.5367431640625e-07,5.350112915039063e-05,7.452964782714843e-05,0.00010012626647949267,-9.822845458984375e-05,0.00019359588623046875
CAP1,SEALED_CAP1_REUSE,ENTRY_TO_RAW,2,CURRENT,PS,200,27,188,80.5,27,0,161,12,27,173,0,128,1,129,-8.399019561602472,-8.361741040833294,-3.535667832940817,-2.742061549285429,-0.6846375729143632,-18.545529767870903,-0.4419240951538086,4.973990012607537,4.372512578964233,11.40669641494751,12.596280586719498,16.06171806573867,-5.606742858886719,17.179707765579224
