batch,checkpoint,bytes,file_sha256,selected_keys,W_shape,M_shape,dtype,finite,W_M_hash_bridge,context_RNG_ledger,history_count,next_ordinal,selected_restore,full_model_GPU_continuation
1,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B001/checkpoint.pt,1057004325,d0acc8cb01762ecf61715ffbfdaec68fd345a40743b5604e0c37f9ffc5e58abb,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,1,100,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
2,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B002/checkpoint.pt,1057022629,b5b92e08dbb7f81381b4a3abe827bcdb04311abc39fa1d1ad29b83357ddcfcef,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,2,200,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
3,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B003/checkpoint.pt,1057040997,94a8038368b02fd154571b772d878384a8ed355f6bb0ef3e289e9469a60bbc29,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,3,300,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
4,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B004/checkpoint.pt,1057059621,d996e8c59d92442bc2cd7601bfd123c6353bd559eabf52ea8c314551b2572364,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,4,400,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
5,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B005/checkpoint.pt,1057077989,37c3a4f96619ad27efc7cbb0dbbd6e842f0219d4e6c4d0ba1caeabeb30efd315,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,5,500,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
6,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B006/checkpoint.pt,1057096549,9f12163dd8b282e30659400013905f3f05271bb31a75704e94d80c2b1ba91eab,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,6,600,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
7,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B007/checkpoint.pt,1057115109,b69a8b65eb66790e59ce7420d22e29fe1f1439f126f6618018c112a088aa9104,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,7,700,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
8,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B008/checkpoint.pt,1057133605,395d9d8e73e9227c6db55aab9947fe819be0b103f9ff0a0170bc82b696b93c71,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,8,800,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
9,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B009/checkpoint.pt,1057152101,b99a7f2b007e95daba887e16519057d5767e94d06195ead5c4c282667ac29451,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,9,900,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
10,/data/janghj/ODE-edit/local/ep-tw1-alpha-cap-sweep/20260915-v1/CAP100/attempt-v1/scientific-v1/B010/checkpoint.pt,1057170533,a4b13b185b8f1b4466962e42fd74a54b4769eb0ae6f7790fcacc69d2b7cca21f,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,10,1000,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
