comparison,baseline,arm,state,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
AlphaEdit_L4_ONLY_TO_CAP1,AlphaEdit_L4_ONLY,CAP1,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,RS,1000,998,998,0.0,997,1,1,1,998,2,1,2,995,996,-0.004421829712306135,-2.1139858290553093e-05,0.0008201600518077613,0.0016899524285690826,0.023661703130346705,-6.683516623452306,3.15348482131958,0.05612355548143387,0.010671138763427734,1.5879679679870606,2.6486112594604476,5.075519981384277,-11.076991081237793,15.425092697143555
AlphaEdit_L4_ONLY_TO_CAP1,AlphaEdit_L4_ONLY,CAP1,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,PS,2000,1943,1942,-0.05,1930,13,12,45,1943,57,55,49,1347,1341,1.25346059230651e-05,3.183120861649513e-05,0.43619866371154786,0.874357450008392,2.346110174655914,-12.330370984273031,10.064181327819824,-0.02911590886488557,0.0028891563415527344,1.1871034145355228,2.208805584907531,5.022674722671508,-12.633349418640137,11.964714050292969
AlphaEdit_L4_ONLY_TO_CAP1,AlphaEdit_L4_ONLY,CAP1,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,NS,10000,8072,8056,-0.16,7963,109,93,1835,8072,1928,92,99,1813,1820,0.0003278491371776909,0.0037125349044799805,0.42893749475479126,0.6659455120563504,1.4592074060440072,-14.400716662406921,5.851818084716797,0.010707121354142146,0.006687641143798828,0.4782243251800539,0.7031138420104976,1.4489174938201905,-7.773316651582718,8.410913467407227
AlphaEdit_L4_ONLY_TO_CAP10,AlphaEdit_L4_ONLY,CAP10,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,RS,1000,998,999,0.1,998,0,1,1,998,2,2,2,995,995,-0.000976407358837605,-3.038134309463203e-06,0.001082884310744703,0.00238429702585563,0.03694503992795941,-6.689816031605005,3.040645122528076,-0.03248467606306076,0.0077762603759765625,1.3547934532165533,2.275625085830688,5.167075262069701,-13.738200664520264,15.003328323364258
AlphaEdit_L4_ONLY_TO_CAP10,AlphaEdit_L4_ONLY,CAP10,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,PS,2000,1943,1947,0.2,1933,10,14,43,1943,57,58,47,1347,1336,0.0035379072069026732,0.00022185780107975006,0.47709450721740754,0.9422180801630016,2.4847367477416977,-12.2523879930377,8.377265214920044,-0.06674666822701693,-0.004395723342895508,1.237338685989381,2.136256122589111,4.885416598320007,-12.611550331115723,8.7899169921875
AlphaEdit_L4_ONLY_TO_CAP10,AlphaEdit_L4_ONLY,CAP10,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,NS,10000,8072,8075,0.03,7965,107,110,1818,8072,1928,108,98,1813,1803,0.01582285638147732,0.007260918617248535,0.47884960174560554,0.7432936698198317,1.5071063733100913,-11.874843835830688,5.854372501373291,0.012784636556754412,0.014288902282714844,0.5142601013183594,0.7454548835754394,1.4095463657379184,-6.976229548454285,3.770857095718384
AlphaEdit_L4_ONLY_TO_CAP100,AlphaEdit_L4_ONLY,CAP100,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,RS,1000,998,998,0.0,998,0,0,2,998,2,0,0,995,995,0.005593678147677565,7.73105421103537e-06,0.00041866846149787325,0.0009294642994063902,0.006910607202444218,-1.1545610427856445,6.968713283538818,-0.006901322841644287,-0.02108907699584961,0.4096770286560059,0.9381629943847649,4.021814250946043,-6.821018218994141,10.125951766967773
AlphaEdit_L4_ONLY_TO_CAP100,AlphaEdit_L4_ONLY,CAP100,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,PS,2000,1943,1945,0.1,1938,5,7,50,1943,57,17,25,1347,1355,-0.007666802738827755,0.00012564542703330517,0.12912137508392374,0.2987735569477081,1.0078739947080597,-8.857612013816833,6.412970781326294,-0.050934178709983825,-0.010348320007324219,0.31485862731933595,0.6338098526000975,2.8131457471847523,-13.369692325592041,13.097003936767578
AlphaEdit_L4_ONLY_TO_CAP100,AlphaEdit_L4_ONLY,CAP100,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,NS,10000,8072,8052,-0.2,8014,58,38,1890,8072,1928,55,45,1813,1803,0.009013421674858546,0.0008444897830486298,0.22130684852600108,0.3465610980987543,0.7374399256706246,-6.168399810791016,14.478606700897217,0.001769237574127328,-0.0012609586119651794,0.24389939308166508,0.35757446289062494,0.7164765930175806,-7.691353052854538,5.071455001831055
AlphaEdit_L4_ONLY_TO_NORM_ONLY,AlphaEdit_L4_ONLY,NORM_ONLY,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,RS,1000,998,999,0.1,998,0,1,1,998,2,1,1,995,995,-0.004731222728863941,-1.430271368008107e-06,0.0003999846172519032,0.001027923123911023,0.011088155067991457,-2.9797792434692383,1.0648763421922922,0.004065676867961884,-0.004012584686279297,0.5548973083496096,1.224989080429076,3.867580766677856,-7.167384147644043,7.18721866607666
AlphaEdit_L4_ONLY_TO_NORM_ONLY,AlphaEdit_L4_ONLY,NORM_ONLY,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,PS,2000,1943,1938,-0.25,1935,8,3,54,1943,57,36,22,1347,1333,0.017102340337993155,0.0002265024813823402,0.16075170040130624,0.3377359092235565,1.3637930861115448,-4.078158855438232,6.687906503677368,-0.07137795566394925,-0.011440277099609375,0.39589405059814536,0.8505250453948972,3.3230180978775024,-10.608840942382812,7.455081939697266
AlphaEdit_L4_ONLY_TO_NORM_ONLY,AlphaEdit_L4_ONLY,NORM_ONLY,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,NS,10000,8072,8042,-0.3,7999,73,43,1885,8072,1928,55,54,1813,1812,-0.0038580981599690856,0.002645730972290039,0.2446426391601563,0.38045779466629,0.714625501632691,-11.39006757736206,3.8071250915527344,0.001931257939041825,0.00020742416381835938,0.2675434112548829,0.39279549121856666,0.7671788311004639,-6.610640048980713,4.3456902503967285
AlphaEdit_ORIGINAL_TO_CAP1,AlphaEdit_ORIGINAL,CAP1,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,RS,1000,997,998,0.1,997,0,1,2,997,3,1,0,997,996,-0.018871828454915886,-5.025231803301722e-05,0.0010864270734600723,0.0023930502182338375,0.023356220531277193,-16.255826950073242,3.8302197456359863,0.07334068191051483,0.13261651992797852,2.4280318260192875,3.3257401466369623,5.781280217170714,-16.255837440490723,15.845575332641602
AlphaEdit_ORIGINAL_TO_CAP1,AlphaEdit_ORIGINAL,CAP1,MATCHED_PROMPT_IDENTITIES_DIFFERENT_TRAJECTORY_HPARAMS_SEED,PS,2000,1939,1942,0.15,1919,20,23,38,1939,61,79,73,1347,1341,0.016129929812403136,-3.5793171264231205e-05,0.6530515432357811,1.272299587726593,3.3609169721603394,-10.390238761901855,9.135225835256279,0.008158104225993156,0.04413175582885742,1.9819348335266114,3.075466585159301,5.73225359916687,-12.656150817871094,9.958828926086426
