arm,provenance,batch,requested,accepted,distinct_accepted_caseids,distinct_accepted_subject_relation,accepted_target_overwrites,same_target_reissues,active,superseded,unknown,accepted_current
CAP1,SEALED_CAP1_REUSE,1,100,100,100,100,0,0,100,0,0,100
CAP1,SEALED_CAP1_REUSE,2,200,200,200,200,0,0,200,0,0,100
CAP1,SEALED_CAP1_REUSE,3,300,300,300,300,0,0,300,0,0,100
CAP1,SEALED_CAP1_REUSE,4,400,400,400,400,0,0,400,0,0,100
CAP1,SEALED_CAP1_REUSE,5,500,500,500,500,0,0,500,0,0,100
CAP1,SEALED_CAP1_REUSE,6,600,600,600,600,0,0,600,0,0,100
CAP1,SEALED_CAP1_REUSE,7,700,700,700,699,1,0,699,1,0,100
CAP1,SEALED_CAP1_REUSE,8,800,800,800,799,1,0,799,1,0,100
CAP1,SEALED_CAP1_REUSE,9,900,900,900,899,1,0,899,1,0,100
CAP1,SEALED_CAP1_REUSE,10,1000,1000,1000,999,1,0,999,1,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,1,100,100,100,100,0,0,100,0,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,2,200,200,200,200,0,0,200,0,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,3,300,300,300,300,0,0,300,0,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,4,400,400,400,400,0,0,400,0,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,5,500,500,500,500,0,0,500,0,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,6,600,600,600,600,0,0,600,0,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,7,700,700,700,699,1,0,699,1,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,8,800,800,800,799,1,0,799,1,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,9,900,900,900,899,1,0,899,1,0,100
CAP10,NEW_CHAIN_CPU_REDUCTION,10,1000,1000,1000,999,1,0,999,1,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,1,100,100,100,100,0,0,100,0,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,2,200,200,200,200,0,0,200,0,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,3,300,300,300,300,0,0,300,0,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,4,400,400,400,400,0,0,400,0,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,5,500,500,500,500,0,0,500,0,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,6,600,600,600,600,0,0,600,0,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,7,700,700,700,699,1,0,699,1,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,8,800,800,800,799,1,0,799,1,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,9,900,900,900,899,1,0,899,1,0,100
CAP100,NEW_CHAIN_CPU_REDUCTION,10,1000,999,999,998,1,0,998,1,1,99
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,1,100,100,100,100,0,0,100,0,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,2,200,200,200,200,0,0,200,0,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,3,300,300,300,300,0,0,300,0,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,4,400,400,400,400,0,0,400,0,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,5,500,500,500,500,0,0,500,0,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,6,600,600,600,600,0,0,600,0,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,700,700,700,699,1,0,699,1,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,8,800,800,800,799,1,0,799,1,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,9,900,900,900,899,1,0,899,1,0,100
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,10,1000,999,999,998,1,0,998,1,1,99
