batch,state,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
1,ENTRY,CURRENT,RS,5,100,5.0,100,0,0,100,0,21,0,101,0,11.743398172855377,11.794809341430664,16.157980155944827,17.85722961425781,20.54955348968506,2.6649434566497803,21.15650177001953,4.899285252303816,4.411774158477783,9.811361503601077,12.17257852554321,14.300750102996831,0.0032719431910663843,15.272205352783203,-6.844112920551561,-6.767649173736572,-1.4714363098144525,-0.6172097682952927,3.8515192222595243,-19.781265690922737,4.406447410583496
1,ENTRY,CURRENT,PS,20,200,10.0,100,0,0,200,0,43,0,202,0,10.184146780967712,10.16865348815918,14.706744194030762,15.584749317169189,18.057230358123775,2.29310941696167,18.510713577270508,5.011512103741989,4.745984792709351,9.873660755157468,11.626846599578851,13.519330320358273,0.015909049659967422,18.12643814086914,-5.172634677225724,-5.06204891204834,-0.02309870719910198,2.190676355361932,6.111190600395202,-18.461957179009914,8.01390027999878
1,ENTRY,CURRENT,NS,886,1000,88.6,100,0,171,1000,0,171,200,1030,1,11.702866309762001,11.753228187561035,16.330905532836915,17.844212245941154,20.694358615875245,1.4505696296691895,23.890642166137695,5.548876543793653,5.327509164810181,10.792420768737793,12.224353837966918,15.0020481300354,0.0006337541271932423,19.437641143798828,6.1539897659683485,6.283679723739624,12.643171024322509,14.603695090115068,17.407033039331434,-7.564944267272949,19.776073440909386
1,RAW,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.002287666152260499,0.001498053374234587,0.004485861770808706,0.0067379180341959,0.016533166114240896,0.00010072677832795307,0.018542403355240822,14.692024793624878,14.731014251708984,19.80009365081787,20.85610580444336,23.708870830535897,4.542223930358887,25.398399353027344,14.689737127472618,14.730633869941812,19.797380387864543,20.855690015388245,23.705336370582963,4.5257110595703125,25.398161677949247
1,RAW,CURRENT,PS,190,200,95.0,100,0,129,200,129,3,131,202,46,1.6110783071091281,0.33659546077251434,4.7311060428619385,6.403738689422606,9.530835847854611,0.0006012300727888942,11.46380615234375,9.99056670755148,9.71436595916748,15.009206676483155,16.195743465423583,19.587744483947752,0.7224774360656738,22.264360427856445,8.379488400442352,8.678990934044123,14.180357690923845,15.872192719439042,19.585492439148947,-6.577554643154144,22.26214927691035
1,RAW,CURRENT,NS,867,1000,86.7,100,0,153,1000,8,153,182,1030,0,11.14655751785962,11.162767887115479,15.984976005554199,17.37778596878052,20.26226949691772,0.00447071110829711,23.5407772064209,5.517617625697109,5.284813165664673,10.677096176147462,12.05524182319641,14.750675449371338,0.0008112476789392531,18.833627700805664,5.628939892162511,5.589984893798828,12.30826952457428,14.060804438591003,16.65558027902618,-10.171574706677347,19.774416603147984
1,SELECTED,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.002287652181839803,0.001498053374234587,0.0044858023524284455,0.006738261482678354,0.01653366006910802,0.00010072677832795307,0.018545329570770264,14.691957731246948,14.730947494506836,19.799573707580567,20.85623731613159,23.708735828399668,4.542169094085693,25.39906120300293,14.689670079065108,14.730567053164123,19.79685988582205,20.85582149139518,23.70520042753619,4.5256557539105415,25.398823527924833
1,SELECTED,CURRENT,PS,190,200,95.0,100,0,129,200,129,3,131,202,46,1.6111184245994081,0.33666765689849854,4.7312762260437005,6.403670716285704,9.530830335617061,0.000601349223870784,11.463410377502441,9.990467902123928,9.714247703552246,15.009214115142822,16.195466232299804,19.58778429031372,0.7223082184791565,22.264381408691406,8.37934947752452,8.679164662957191,14.179966528061776,15.87210405245423,19.585532241961918,-6.577852368354797,22.26217013876885
1,SELECTED,CURRENT,NS,867,1000,86.7,100,0,153,1000,8,153,182,1030,0,11.146580456969794,11.162786483764648,15.9850604057312,17.377768993377686,20.262258815765378,0.004471541848033667,23.54079246520996,5.517620663088106,5.284849405288696,10.67706298828125,12.055163002014158,14.750620355606078,0.0008112476789392531,18.83366584777832,5.6289597938816875,5.589982986450195,12.308283400535583,14.060831785202026,16.655593236852436,-10.171304939780384,19.774444743990898
2,ENTRY,CURRENT,RS,11,100,11.0,100,0,0,100,0,24,2,102,0,10.991654390096665,10.90009355545044,15.263601398468019,16.883806324005125,20.485697803497317,1.0357950925827026,20.839094161987305,4.451708114817738,4.119665861129761,8.5774076461792,10.59174757003784,12.935328750610353,0.00414643157273531,13.207077980041504,-6.5399462752789255,-6.944329738616943,0.10018510818481542,1.5429225206375115,3.152931356430055,-16.3323175907135,3.417304039001465
2,ENTRY,CURRENT,PS,27,200,13.5,100,0,1,200,1,48,5,204,0,10.165865836143494,10.012198448181152,14.45359296798706,15.292075157165526,17.65698514938354,0.8535888195037842,18.7183837890625,4.76768942038063,4.176783800125122,9.895262336730957,11.866933345794678,14.447795667648307,0.006239813752472401,17.532140731811523,-5.398176415762864,-5.1261782348155975,0.5849951744079586,2.401233053207397,4.9285970807075445,-16.03477008920163,5.641304016113281
2,ENTRY,CURRENT,NS,879,1000,87.9,100,0,184,1000,4,184,194,1010,1,11.077544970333577,10.982473373413086,15.834518051147462,16.92474145889282,18.912645244598387,0.5496589541435242,21.948715209960938,4.990617647631792,4.5727410316467285,10.151638793945313,11.840262556076048,14.837612457275391,0.0010636154329404235,19.15046501159668,6.086927322701784,6.511623740196228,12.439192628464662,13.850231895595789,17.01021024911199,-11.48410940170288,18.43700660020113
2,ENTRY,ACCEPTED_OLD,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.002287652181839803,0.001498053374234587,0.0044858023524284455,0.006738261482678354,0.01653366006910802,0.00010072677832795307,0.018545329570770264,14.691957731246948,14.730947494506836,19.799573707580567,20.85623731613159,23.708735828399668,4.542169094085693,25.39906120300293,14.689670079065108,14.730567053164123,19.79685988582205,20.85582149139518,23.70520042753619,4.5256557539105415,25.398823527924833
2,ENTRY,ACCEPTED_OLD,PS,190,200,95.0,100,0,129,200,129,3,131,202,46,1.6111184245994081,0.33666765689849854,4.7312762260437005,6.403670716285704,9.530830335617061,0.000601349223870784,11.463410377502441,9.990467902123928,9.714247703552246,15.009214115142822,16.195466232299804,19.58778429031372,0.7223082184791565,22.264381408691406,8.37934947752452,8.679164662957191,14.179966528061776,15.87210405245423,19.585532241961918,-6.577852368354797,22.26217013876885
2,ENTRY,ACCEPTED_OLD,NS,867,1000,86.7,100,0,153,1000,8,153,182,1030,0,11.146580456969794,11.162786483764648,15.9850604057312,17.377768993377686,20.262258815765378,0.004471541848033667,23.54079246520996,5.517620663088106,5.284849405288696,10.67706298828125,12.055163002014158,14.750620355606078,0.0008112476789392531,18.83366584777832,5.6289597938816875,5.589982986450195,12.308283400535583,14.060831785202026,16.655593236852436,-10.171304939780384,19.774444743990898
2,RAW,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,102,102,100,0.005383443928294583,0.0011496476945467293,0.004889361700043084,0.014937615860253566,0.08654380783438746,6.496695277746767e-05,0.21060146391391754,14.033540294170379,13.927622318267822,19.05291748046875,20.713724040985106,22.8013666343689,3.077660322189331,23.616518020629883,14.028156850242086,13.927032352919923,19.051739385933615,20.711373738539987,22.800718558445517,2.8670588582754135,23.616138649435015
2,RAW,CURRENT,PS,188,200,94.0,100,0,129,200,129,3,133,204,49,1.7668462745410216,0.30764438211917877,6.263810729980467,7.904115343093859,11.749358415603636,0.00022671037004329264,13.6353759765625,9.741679432988168,9.575209140777588,15.758062553405761,16.642271423339842,19.152369823455807,0.19973069429397583,19.801855087280273,7.9748331584471455,8.194755190052092,14.707385252043604,16.370979774103034,18.136138137169173,-9.809179306030273,19.58354040980339
2,RAW,CURRENT,NS,863,1000,86.3,100,0,188,1000,6,188,198,1010,1,10.686329789817334,10.575395107269287,15.208349990844727,16.666121768951417,18.427405281066893,0.4391288161277771,22.116622924804688,4.958723957095994,4.4797444343566895,10.136801624298096,11.866462373733519,14.81895807266235,0.0013258008984848857,18.824100494384766,5.7276058327213395,6.051927447319031,11.821489930152893,12.988591378857379,16.40091774649918,-11.707435607910156,18.417719334363937
2,RAW,ACCEPTED_OLD,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.00260808641964104,0.0015479254070669413,0.004535830859094869,0.006883792858570814,0.02601550359278921,9.452849917579442e-05,0.03312624990940094,14.599559540748595,14.59194040298462,19.621868896484376,20.540725231170654,23.74822185516358,4.7834086418151855,25.485197067260742,14.596951454328956,14.589921107981354,19.61903791870864,20.540200294528038,23.744975382434358,4.769927938468754,25.484977984582656
2,RAW,ACCEPTED_OLD,PS,191,200,95.5,100,0,127,200,127,3,129,202,45,1.5613406137787387,0.3715479373931885,4.438521528244018,6.097725391387934,9.030568838119503,0.0005949157639406621,10.448691368103027,9.968742548823357,9.677292823791504,15.015877723693846,16.13916149139404,19.656853008270264,0.7078456282615662,22.235515594482422,8.407401935044618,8.801245726644993,14.248937172838485,15.917453143815507,19.490661083597224,-6.896866738796234,22.233452066546306
2,RAW,ACCEPTED_OLD,NS,862,1000,86.2,100,0,157,1000,8,157,186,1030,1,10.999708096879068,11.029368877410889,15.913612461090088,17.22637243270874,19.946602649688717,0.003346321638673544,23.666942596435547,5.49266392493539,5.238019943237305,10.655796146392824,11.935594940185547,14.613601179122925,0.0008390005677938461,17.615835189819336,5.5070441719436785,5.365492820739746,12.183327823877335,13.730136579275115,16.663352141976358,-10.549999358598143,19.84423654526472
2,SELECTED,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,102,102,100,0.005383432866365183,0.0011495286016725004,0.0048904651310294886,0.014955904893577092,0.08654272951185768,6.496695277746767e-05,0.2105371505022049,14.03344360589981,13.927504062652588,19.052571105957032,20.713645648956298,22.80152402877808,3.077969789505005,23.616395950317383,14.028060173033445,13.926913978153607,19.0513929995941,20.71129500764946,22.800875951662896,2.8674326390028,23.61601645994233
2,SELECTED,CURRENT,PS,188,200,94.0,100,0,129,200,129,3,133,204,49,1.7668685396738875,0.3076528310775757,6.2637765884399395,7.904232192039476,11.74953918457031,0.00022671037004329264,13.635481834411621,9.741614300385118,9.575096607208252,15.758197593688966,16.642207717895506,19.152407913208002,0.19974865019321442,19.80162239074707,7.97474576071123,8.1947067277506,14.707314164564012,16.370877596840728,18.136101598925876,-9.809207439422607,19.58356661349535
2,SELECTED,CURRENT,NS,863,1000,86.3,100,0,188,1000,6,188,198,1010,1,10.686342288583518,10.575408935546875,15.208409595489503,16.666131496429443,18.42748115539551,0.43915602564811707,22.11663818359375,4.958729223719449,4.479809999465942,10.136771774291994,11.866487979888916,14.818892402648922,0.0013258008984848857,18.82411766052246,5.727613064864069,6.051899194717407,11.821516263484956,12.988578146626239,16.400913065448403,-11.707433700561523,18.417753666639328
2,SELECTED,ACCEPTED_OLD,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.0026080624185851773,0.0015479254652746022,0.0045358190312981715,0.0068840175867080685,0.026015360467135942,9.452849917579442e-05,0.03312337026000023,14.599564352035522,14.591966152191162,19.62193241119385,20.54079666137695,23.748246269226083,4.7834086418151855,25.485183715820312,14.596956289616937,14.589946797816083,19.61910143341811,20.540271837955515,23.74499979649686,4.769928055815399,25.484964633142226
2,SELECTED,ACCEPTED_OLD,PS,191,200,95.5,100,0,127,200,127,3,129,202,45,1.5613390537397935,0.3715500086545944,4.438503074645995,6.09774014949798,9.0305744934082,0.0005949157639406621,10.448543548583984,9.968722358345985,9.677305221557617,15.015815067291259,16.139155769348143,19.656769924163818,0.7078100442886353,22.23555564880371,8.407383304606192,8.801294595003128,14.248870430374517,15.917360967164857,19.49066024199361,-6.89683997631073,22.233492120867595
2,SELECTED,ACCEPTED_OLD,NS,862,1000,86.2,100,0,157,1000,8,157,186,1030,1,10.999716880734079,11.029358386993408,15.91358871459961,17.22636079788208,19.946595535278316,0.0033462028950452805,23.666900634765625,5.492668956975802,5.23803186416626,10.655787754058839,11.93561987876892,14.613524646759034,0.0008390005677938461,17.615922927856445,5.507047923758277,5.365575313568115,12.183311778306962,13.730082494020445,16.66332657277584,-10.550084354355931,19.84422577917576
