batch,checkpoint,bytes,file_sha256,selected_keys,W_shape,M_shape,dtype,finite,W_M_hash_bridge,context_RNG_ledger,history_count,next_ordinal,selected_restore,full_model_GPU_continuation
1,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B001/checkpoint.pt,1057004261,4018183bc92148f1e745a12cd107940479a654c4bb65697ea37ae5c27fb8ef8a,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,1,100,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
2,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B002/checkpoint.pt,1057022565,6353ed39b8861e8b96582cb86eda01adc941f19f36edeb5cde50e0e91026f785,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,2,200,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
3,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B003/checkpoint.pt,1057040933,8a7d1af1b539ad314ab99b9113dad9d4b552aed205c7a33217781e54eeee6ca8,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,3,300,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
4,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B004/checkpoint.pt,1057059557,541e97714948a2631bb4ddf9873219a85ed37a82c76d103698196fe5b8560d36,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,4,400,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
5,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B005/checkpoint.pt,1057077989,9c8979a130037bdb7e725be6c69a072d8a837b14dae348826e9441f422f3e7b3,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,5,500,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
6,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B006/checkpoint.pt,1057096549,b3a6b08cf0c85695e99294ef3d57807bd8eaae9e1f51c4d2facf42ef1660bcea,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,6,600,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
7,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B007/checkpoint.pt,1057115109,3706bba02f2b2885a17fb7c77cdbdd9487ff6bc2639a76621d3545e2ca56ac35,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,7,700,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
8,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B008/checkpoint.pt,1057133605,38b6e00f47023226ec98c071d06f9777af32a5bccebf8341c77eaef7c11be9a6,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,8,800,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
9,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B009/checkpoint.pt,1057152037,25f658d0370eaa36f5cc2914cabd5e13cbd13c08d9028ddd213d33a8f8e9f44a,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,9,900,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
10,/data/janghj/ODE-edit/local/ep-tw1-c4/20260915-v1/gate-skip-r1/scientific-v1/B010/checkpoint.pt,1057170597,d9aad22ed88312df65de2e031ebf2e773ea215321b9ef809d05c2af20881f2b5,model.layers.4.mlp.down_proj.weight,4096x14336,1x14336x14336,float32,True,True,True,10,1000,RUNTIME_RECORDED_PLUS_CPU_RELOAD,NOT_TESTED
