comparison,cohort,future_batches,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max,final_percent
ATWRITE_TO_W10,1,9,RS,100,100,100,0.0,100,0,0,0,100,0,1,0,100,99,0.06469503300846555,0.00021303838002495468,0.004131743003381419,0.025891245761886148,1.599079729663223,-0.00443915487267077,4.4770722719840705,-0.5625070428848267,-0.3467559814453125,0.4546379089355471,0.829947519302368,1.8174474334716806,-7.3666791915893555,2.0036087036132812,100.0
ATWRITE_TO_W10,2,8,RS,100,100,99,-1.0,99,1,0,0,100,0,2,0,100,98,0.09159037242287013,0.00016624042473267764,0.004069104333757428,0.014096660155337297,1.7809312210604837,-0.045627936720848083,7.369101330637932,-0.18640747904777527,-0.16858339309692383,0.9694643974304199,1.3729068279266308,5.169701175689701,-5.55243444442749,5.7999677658081055,99.0
ATWRITE_TO_W10,3,7,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,0.0006370425840577809,6.560709880432114e-05,0.0013304445310495811,0.004654451005626469,0.011610500726383196,-0.0046682413667440414,0.014879632624797523,-0.11550673484802246,-0.09191417694091797,0.5914758682250977,0.7135596752166745,1.3710188674926773,-2.3481950759887695,1.6672401428222656,100.0
ATWRITE_TO_W10,4,6,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,0.00039153974801592995,2.472780761308968e-05,0.0009434044011868537,0.0012207413557916871,0.012700883061043005,-0.005549122579395771,0.016449758724775165,-0.04110103130340576,-0.07840776443481445,0.51106014251709,1.2491137504577636,2.2283281803131163,-1.7939062118530273,3.3524608612060547,100.0
ATWRITE_TO_W10,5,5,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,6.72180399124045e-05,-1.1727417586371303e-05,0.0005283142207190395,0.0013417191454209378,0.002722828950500146,-0.0036048125475645065,0.008620941080152988,0.003711352348327637,0.05395793914794922,0.7423213005065918,0.8483731269836422,1.3916659832000762,-2.340282440185547,1.9648094177246094,100.0
ATWRITE_TO_W10,6,4,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,4.964381641912041e-05,1.5073757822392508e-05,0.0005403728864621375,0.0009158643078990278,0.0026726589654572424,-0.002466432750225067,0.004905024543404579,-0.04670389652252197,-0.04959392547607422,0.5298137664794923,0.634818363189697,0.8146594238281256,-1.8323650360107422,0.9383716583251953,100.0
ATWRITE_TO_W10,7,3,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,0.00011634429145487957,3.6507437471300364e-05,0.0006759659736417235,0.002255668665748087,0.0046207099989988,-0.01345670479349792,0.0063758776523172855,-0.03156972885131836,-0.05700969696044922,0.4125144958496097,0.7834850788116444,1.6440702438354564,-1.6593055725097656,3.019357681274414,100.0
ATWRITE_TO_W10,8,2,RS,100,100,99,-1.0,99,1,0,0,100,0,1,0,100,99,0.09112507168480079,7.73943611420691e-07,0.00029596639797091533,0.0007559488643892107,0.09339015028909783,-0.002330518327653408,9.110596893820912,-0.16390143394470214,0.01582050323486328,0.31953401565551776,0.41531782150268554,0.5012582778930667,-14.010174751281738,0.5524682998657227,99.0
ATWRITE_TO_W10,9,1,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,0.0002579463732035947,1.310676452703774e-06,0.00022018437739461673,0.0003064418735448271,0.006966971101064786,-0.0031381789594888687,0.023488664795877412,-0.010124020576477051,0.024996280670166016,0.3127275466918948,0.4043509483337402,0.5496348285675049,-2.7365121841430664,0.5515127182006836,100.0
ATWRITE_TO_W10,10,0,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,1.2496020644903183e-08,0.0,0.0,1.1875526979565621e-07,2.9187183827164593e-07,-4.827976226806641e-06,5.7220458984375e-06,-1.430511474609375e-07,0.0,1.3446807861328133e-05,2.293586730957031e-05,5.556106567382825e-05,-4.1961669921875e-05,8.0108642578125e-05,100.0
ATWRITE_TO_W10,1,9,PS,200,190,194,2.0,189,1,5,5,190,10,7,10,129,132,-0.16289826214138883,-0.002157866954803467,0.24452183246612547,0.4358605444431302,0.9819487810134866,-6.175323009490967,3.560193657875061,-0.03558287024497986,-0.01612377166748047,0.9884561419486999,1.6606762647628774,2.704240229129787,-4.895951271057129,3.335726737976074,97.0
ATWRITE_TO_W10,2,8,PS,200,188,191,1.5,187,1,4,8,188,12,3,9,129,135,-0.08824483753487584,-0.001300521777011454,0.2284149050712585,0.555292165279387,1.1639489161968206,-3.547240972518921,3.290410041809082,0.06281062461435795,0.004611015319824219,1.017956185340881,1.5074759483337399,2.6663910818099965,-3.767838478088379,4.576472997665405,95.5
ATWRITE_TO_W10,3,7,PS,200,189,190,0.5,189,0,1,10,189,11,2,5,119,122,-0.05820560801956162,0.00045609381049871445,0.2885725021362303,0.48291554450988633,1.248262226581573,-2.5794677734375,2.8533544540405273,-0.04510128885507583,-0.04048728942871094,0.7494684696197508,1.0552082777023315,2.615651569366455,-1.8208236694335938,2.8104496002197266,95.0
ATWRITE_TO_W10,4,6,PS,200,197,196,-0.5,195,2,1,2,197,3,1,4,151,154,-0.0846727732529689,-0.001862257719039917,0.12918475866317747,0.32892889976501444,0.5613192248344402,-2.1974658966064453,0.9886260032653809,0.011927535831928253,-0.021570920944213867,0.7542944431304931,1.081821715831756,2.7585776329040463,-1.8365936279296875,5.346686363220215,98.0
ATWRITE_TO_W10,5,5,PS,200,195,197,1.0,195,0,2,3,195,5,2,2,128,128,-0.049293212433549345,-0.00024325784761458635,0.22236355170607566,0.363855820894241,0.46296893835067504,-2.2302498817443848,1.2192692756652832,-0.047482242584228514,-0.0796976089477539,0.6924693107604979,0.875222063064575,1.4933322429656921,-1.616537094116211,2.322913885116577,98.5
ATWRITE_TO_W10,6,4,PS,200,195,193,-1.0,193,2,0,5,195,5,1,1,124,124,-0.03840113240454229,-0.0003142254427075386,0.13523362874984737,0.24708566665649395,0.5524837636947626,-2.206143379211426,0.6588869094848633,-0.016141397505998613,-0.027206897735595703,0.5640885353088376,0.7883285045623771,1.2681016349792475,-1.778233528137207,1.7356877326965332,96.5
ATWRITE_TO_W10,7,3,PS,200,195,194,-0.5,194,1,0,5,195,5,4,1,146,143,-0.030641244188154816,-7.195482612587512e-05,0.11302986145019527,0.24957260191440495,0.5154847705364223,-1.9015686511993408,1.0907940864562988,0.014941245317459106,-0.009095609188079834,0.5340150833129882,0.740580511093139,1.897578239440909,-1.7766709327697754,4.311482787132263,97.0
ATWRITE_TO_W10,8,2,PS,200,196,195,-0.5,195,1,0,4,196,4,1,0,130,129,0.05024378000191063,4.4233587686903775e-05,0.18608022928237908,0.3266572237014758,0.9916203737258718,-0.8317714929580688,4.601561725139618,-0.025344851613044738,0.006809711456298828,0.356537914276123,0.43910923004150376,0.9428213071823119,-6.674663543701172,1.7263298034667969,97.5
ATWRITE_TO_W10,9,1,PS,200,196,197,0.5,196,0,1,3,196,4,1,1,140,140,-0.015159189887053798,9.223799861501902e-05,0.12347557246685024,0.21169948577880826,0.4831663227081293,-2.9982681274414062,0.5869550704956055,-0.01483536720275879,-0.015849590301513672,0.28705072402954096,0.3487535476684566,0.5632697343826257,-1.4986686706542969,1.3187065124511719,98.5
ATWRITE_TO_W10,10,0,PS,200,195,195,0.0,195,0,0,5,195,5,0,0,134,134,2.119282726198435e-07,0.0,5.01871109008789e-06,1.4877319335937467e-05,3.584384918212883e-05,-4.1484832763671875e-05,6.961822509765625e-05,2.5826692581176757e-06,0.0,2.002716064453125e-05,2.956390380859375e-05,4.126310348510741e-05,-3.1948089599609375e-05,4.863739013671875e-05,97.5
ATWRITE_TO_W10,1,9,NS,1000,867,824,-4.3,809,58,15,118,867,133,38,25,153,140,0.07201951535994885,-0.06560204178094864,2.1375641465187085,3.599497401714324,8.061333293020725,-7.255955457687378,13.274182796478271,-1.2158175639095716,-0.8385906219482422,0.8501389026641848,1.6864599704742431,3.6177815437316894,-15.727335914969444,9.83460807800293,82.4
ATWRITE_TO_W10,2,8,NS,1000,863,817,-4.6,798,65,19,118,863,137,52,38,188,174,0.21660113451053623,-0.007284685969352722,1.996473763883114,3.7443248867988586,8.43798867702484,-8.581903457641602,15.30959415435791,-1.1715294864054304,-0.8365278244018555,0.6955764770507815,1.4737560749053953,3.512749042510984,-13.781559025403112,12.50479507446289,81.7
ATWRITE_TO_W10,3,7,NS,1000,865,799,-6.6,789,76,10,125,865,135,42,28,168,154,0.21691359843744432,-0.014027595520019531,1.570176100730896,2.882804769836363,5.893825640678391,-6.663950681686401,15.440964214503765,-0.946272902685625,-0.5757622718811035,0.7460348725318908,1.4210643291473386,2.7926207613944998,-15.637075209990144,9.08260440826416,79.9
ATWRITE_TO_W10,4,6,NS,1000,808,766,-4.2,747,61,19,173,808,192,44,26,184,166,0.2446599581928458,0.008993136696517467,1.5218766570091251,2.8929631233215294,6.622065894603727,-3.985491991043091,15.755892470479012,-0.668145637259644,-0.4299788475036621,0.7003793716430665,1.101009702682495,2.5991159248352043,-12.194904481060803,9.190124034881592,76.6
ATWRITE_TO_W10,5,5,NS,1000,855,805,-5.0,794,61,11,134,855,145,59,27,241,209,0.30475474254321305,0.0073586925864219666,1.5555015563964847,3.1977402269840236,7.973689549565311,-3.8638299107551575,15.758182905614376,-0.5582049437314272,-0.3534388542175293,0.7395588397979737,1.239449596405029,2.5667364215850816,-10.314823389053345,7.955418586730957,80.5
ATWRITE_TO_W10,6,4,NS,1000,802,783,-1.9,763,39,20,178,802,198,24,10,158,144,0.13012650653510355,-0.015581558458507061,1.0025604963302615,1.7577053070068334,4.585961775183674,-2.676258087158203,12.07197642326355,-0.3305642354674637,-0.21882247924804688,0.6550948619842529,1.0265093326568602,2.3504977083206158,-9.714406167156994,8.552799224853516,78.3
ATWRITE_TO_W10,7,3,NS,1000,852,830,-2.2,823,29,7,141,852,148,34,11,244,221,0.1916594823319465,0.00718250498175621,0.9288034439086916,1.788730764389038,5.868715496063231,-5.572080373764038,10.955924034118652,-0.23210233150655404,-0.14803650230169296,0.685890007019043,1.063080644607543,2.337316188812255,-9.560215870384127,4.966688632965088,83.0
ATWRITE_TO_W10,8,2,NS,1000,833,828,-0.5,814,19,14,153,833,167,14,24,204,214,0.0010257687475532294,-0.001288323663175106,0.5308671355247498,0.9117832422256467,2.0549620437622065,-6.416372299194336,6.612710475921631,-0.18942982408602257,-0.12479519844055176,0.4792139053344727,0.7395089387893674,1.639146186113357,-5.326021194458008,10.093333721160889,82.8
ATWRITE_TO_W10,9,1,NS,1000,800,798,-0.2,788,12,10,190,800,200,18,12,207,201,-0.039407964068930594,-0.016627203673124313,0.3576314210891725,0.608293056488037,1.4212420928478235,-5.0596160888671875,7.784090995788574,-0.06873131133793504,-0.03824138641357422,0.3237927436828613,0.5601495444774623,1.5206923818588256,-4.964271545410156,7.949772834777832,79.8
ATWRITE_TO_W10,10,0,NS,1000,806,806,0.0,806,0,0,194,806,194,0,0,197,197,5.719531327486038e-08,0.0,9.191036224365237e-06,1.52587890625e-05,2.7434825897216782e-05,-5.91278076171875e-05,6.389617919921875e-05,1.1198967695236206e-07,0.0,9.5367431640625e-06,1.33514404296875e-05,2.4805068969726554e-05,-7.581710815429688e-05,7.43865966796875e-05,80.6
