batch,candidate,role,documents,D,row_mean_difference,identity_root,scored_positions,input_tokens,recorded_forwards,recorded_backwards,teacher_normalizer_max_abs,normalizer_threshold_test,parameter_hook_rng_nonmutation
1,RAW,S64,64,0.0015781786939896847,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
1,C1,S64,64,0.0015741323738325264,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
1,C05,S64,64,0.0015761504906208756,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
1,C025,S64,64,0.001577169790834887,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
2,RAW,S64,64,0.0036145931771329742,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
2,C1,S64,64,0.0036050201345005917,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
2,C05,S64,64,0.003609805245048392,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
2,C025,S64,64,0.003612195420146236,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
3,RAW,S64,64,0.005858019608695031,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
3,C1,S64,64,0.005844112609565855,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
3,C05,S64,64,0.0058510640665190294,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
3,C025,S64,64,0.005854544060753142,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
4,RAW,S64,64,0.008212091013888312,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
4,C1,S64,64,0.00818726146849258,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
4,C05,S64,64,0.0081996533142501,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
4,C025,S64,64,0.00820584359962595,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
5,RAW,S64,64,0.01030052469968723,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
5,C1,S64,64,0.010268246767395794,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
5,C05,S64,64,0.010284373299555227,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
5,C025,S64,64,0.01029245161714698,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
5,SELECTED,Dev128,128,0.012101216190785635,0.0,1f686f894c68ca22572cfb777724648948c9a431c9d0cdacf8aafb755c146306,16384,32896,128,0,9.08970832824707e-07,NOT_RUN_CPU_ROWS_ONLY,True
6,RAW,S64,64,0.01193354528686541,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
6,C1,S64,64,0.011907817015071487,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
6,C05,S64,64,0.01192064263705106,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
6,C025,S64,64,0.011927090381959715,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
7,RAW,S64,64,0.01397174706653459,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
7,C1,S64,64,0.01394206926647712,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
7,C05,S64,64,0.013956920851796895,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
7,C025,S64,64,0.01396433576792333,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
8,RAW,S64,64,0.01587227978006922,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
8,C1,S64,64,0.015841237879158143,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
8,C05,S64,64,0.01585672555529527,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
8,C025,S64,64,0.015864495962432557,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
9,RAW,S64,64,0.01826888483219591,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
9,C1,S64,64,0.018236215508522946,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
9,C05,S64,64,0.018252578346164228,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
9,C025,S64,64,0.01826072964240666,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
10,RAW,S64,64,0.02013259260866107,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,64,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
10,C1,S64,64,0.02009018331500556,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
10,C05,S64,64,0.020111334689772775,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
10,C025,S64,64,0.020121980592875843,0.0,40a093c63e896fa8c7e4c7b01901573d5e0fbd124d7d8361c8cc595f18bffa61,8192,16448,64,0,9.238719940185547e-07,NOT_RUN_CPU_ROWS_ONLY,True
10,SELECTED,Dev128,128,0.026310416924388846,0.0,1f686f894c68ca22572cfb777724648948c9a431c9d0cdacf8aafb755c146306,16384,32896,128,0,9.08970832824707e-07,NOT_RUN_CPU_ROWS_ONLY,True
