batch,state,recorded_status,unequal_NLL_rows,max_abs_NLL_difference,strict_lost,strict_gained,additional_forwards,warning_not_numerical_PASS
1,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
1,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
2,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
2,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
3,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
3,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
4,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
4,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
5,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
5,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
6,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
6,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
7,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
7,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
8,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
8,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
9,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
9,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
10,RAW,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
10,SELECTED,EXISTING_ROWS_EQUAL,0,0.0,0,0,0,True
