model,method,case_id,candidate_id,axis,sign,seed,rho,gamma,valid,failure,z_sha256,action,action_overhead_relative,functional_cvar,functional_cvar_drift,NK_E,NK_H,NK_T,target_activation_relative,target_logits_relative,rewrite_new_nll_mean,rewrite_new_strict_rate,rephrase_new_nll_mean,rephrase_new_strict_rate,locality_true_nll_mean
llama3-8b-inst,alphaedit,21100,reference-duplicate-0,,0,,0.0,0.0,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,,,0.0008774322341196239,0.0,,,,,,0.0005994430393911898,1.0,3.2269954681396484,0.5,7.696785736083984
llama3-8b-inst,alphaedit,21100,reference-duplicate-1,,0,,0.0,0.0,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,,,0.0008774322341196239,0.0,,,,,,0.0005994430393911898,1.0,3.2269954681396484,0.5,7.696785736083984
llama3-8b-inst,alphaedit,21100,axis-0-minus,0,-1,5701389733108776696,0.05,0.16279717413062417,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008883088594302535,1.0876625310629606e-05,3.3344214056540977e-09,5.022933891041248e-08,7.921244815634054e-08,1.3375729679410142e-07,6.783534627174959e-05,0.0005990855861455202,1.0,3.22723126411438,0.5,7.697023153305054
llama3-8b-inst,alphaedit,21100,axis-0-plus,0,1,5701389733108776696,0.05,0.16279717413062417,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008672518306411803,-1.0180403478443623e-05,3.3344214056540977e-09,5.022933891041248e-08,7.921244815634054e-08,1.363681860766519e-07,6.789738108636811e-05,0.0005996812833473086,1.0,3.2267487049102783,0.5,7.696541261672974
llama3-8b-inst,alphaedit,21100,axis-1-minus,1,-1,8300033412938945470,0.05,0.16423300943843858,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008915645303204656,1.4132296200841665e-05,3.971836903815529e-08,4.337581316349315e-08,2.6647855033701262e-09,1.3595146697298333e-07,2.514940752007533e-05,0.0005994430393911898,1.0,3.2296029329299927,0.5,7.69653549194336
llama3-8b-inst,alphaedit,21100,axis-1-plus,1,1,8300033412938945470,0.05,0.16423300943843858,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008666754001751542,-1.075683394446969e-05,3.971836903815529e-08,4.337581316349315e-08,2.6647855033701262e-09,1.3343621674266615e-07,2.5168443244183436e-05,0.0005994430393911898,1.0,3.2243562936782837,0.5,7.697025966644287
llama3-8b-inst,alphaedit,21100,axis-2-minus,2,-1,8905824105207435246,0.05,0.1610272095684917,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.000877605692949146,1.7345882952213287e-07,1.2097193291538133e-07,5.3700645707976946e-08,2.2213153538785946e-09,1.3489355410456483e-07,8.774425077717751e-05,0.0005995621904730797,1.0,3.2260231375694275,0.5,7.69680118560791
llama3-8b-inst,alphaedit,21100,axis-2-plus,2,1,8905824105207435246,0.05,0.1610272095684917,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008774835732765496,5.133915692567825e-08,1.2097193291538133e-07,5.3700645707976946e-08,2.2213153538785946e-09,1.3161141509954177e-07,8.779599011177197e-05,0.0005992047372274101,1.0,3.227937936782837,0.5,7.696761226654052
llama3-8b-inst,alphaedit,21100,axis-3-minus,3,-1,57595346622199812,0.05,0.16557644982807052,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008718862663954496,-5.545967724174261e-06,7.655440725784501e-08,6.583189104958365e-08,4.098268391317106e-08,1.3653730945861753e-07,0.00010221716365776956,0.0005992047372274101,1.0,3.2268316745758057,0.5,7.696457433700561
llama3-8b-inst,alphaedit,21100,axis-3-plus,3,1,57595346622199812,0.05,0.16557644982807052,True,,68776f87b76f66087a0c58d583d7ef2b9e7afa860dd36263a795fa90af2b4df3,8.190319770479357,0.050000000000000044,0.0008831649320200086,5.7326979003846645e-06,7.655440725784501e-08,6.583189104958365e-08,4.098268391317106e-08,1.3206521032316232e-07,0.00010216340160695836,0.0005995621904730797,1.0,3.2271336913108826,0.5,7.6971063137054445
llama3-8b-inst,alphaedit,1477,reference-duplicate-0,,0,,0.0,0.0,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,,,0.002495370339602232,0.0,,,,,,0.000634111522231251,1.0,0.0013190560275688767,1.0,4.79720447063446
llama3-8b-inst,alphaedit,1477,reference-duplicate-1,,0,,0.0,0.0,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,,,0.002495370339602232,0.0,,,,,,0.000634111522231251,1.0,0.0013190560275688767,1.0,4.79720447063446
llama3-8b-inst,alphaedit,1477,axis-0-minus,0,-1,8866217404535676645,0.05,0.1989970614401831,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0025251235347241163,2.9753195121884346e-05,9.516666921172146e-08,4.965297151215964e-08,2.317665526163637e-08,1.3841122381563764e-07,9.72050111158751e-05,0.0006343498243950307,1.0,0.0013186988653615117,1.0,4.796927165985108
llama3-8b-inst,alphaedit,1477,axis-0-plus,0,1,8866217404535676645,0.05,0.1989970614401831,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0024660369381308556,-2.933340147137642e-05,9.516666921172146e-08,4.965297151215964e-08,2.317665526163637e-08,1.3730694092828344e-07,9.71068293438293e-05,0.0006338732782751322,1.0,0.0013195917126722634,1.0,4.797464370727539
llama3-8b-inst,alphaedit,1477,axis-1-minus,1,-1,6087370910755651747,0.05,0.19612252365083938,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.002507043769583106,1.1673429980874062e-05,1.5358392602138338e-07,4.153604038492631e-08,4.526687291672715e-08,1.396532525177463e-07,9.24465712159872e-05,0.0006342306733131409,1.0,0.0013187583535909653,1.0,4.797405076026917
llama3-8b-inst,alphaedit,1477,axis-1-plus,1,1,6087370910755651747,0.05,0.19612252365083938,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0024845327716320753,-1.083756797015667e-05,1.5358392602138338e-07,4.153604038492631e-08,4.526687291672715e-08,1.393443085362378e-07,9.248196874978021e-05,0.000634111522231251,1.0,0.0013195322826504707,1.0,4.796987843513489
llama3-8b-inst,alphaedit,1477,axis-2-minus,2,-1,6694788330266848260,0.05,0.20119077434901808,True,,45cb22f08a86694cb3097db328b87b99c545ebe44ab1f677c77e5bf984f7f0fd,12.215304565883484,0.050000000000000044,0.0025355983525514603,4.022801294922829e-05,2.0248780430165425e-08,4.678783938061315e-08,8.84332393980003e-08,1.4204290721409052e-07,0.00014425563858821988,0.0006347072194330394,1.0,0.0013199489912949502,1.0,4.796419072151184
