A0,action_over_A0,arm,closure,endpoint_weight_root,failure,failure_type,model,spent_action,status,valid_terminal
NOT_RECORDED,NOT_RECORDED,OFFICIAL_MEMIT,NOT_RECORDED,98858e05b3e13d751190533c85f345b8ee42d5a9ccb92043a88e93e53990b3eb,NA,NA,llama3-8b-inst,NOT_RECORDED,TERMINAL_VALID,1
0.00017695863789413124,NOT_RECORDED,TRUE_FROZEN_C_SPLIT,0.15773199498653412,NOT_RECORDED,TRUE_FROZEN_C_SPLIT actual closure=0.15773199498653412 tau_z=0.001953125,ScientificBoundary,llama3-8b-inst,NOT_RECORDED,SCIENTIFIC_CONTROLLER_HOLD,0
0.00017695863789413124,0.9650431130584215,REFRESHED_EQUALITY_ONLY,0.0013482719659805298,3a7cafcfa8f2636d7c38f9b8840fc7fa69dfbf9549590621e527cc94e7423eb7,NA,NA,llama3-8b-inst,0.00017077271479593037,TERMINAL_VALID,1
0.00017695863789413124,NOT_RECORDED,FZCB,NOT_RECORDED,NOT_RECORDED,FD sweep unstable spread=5.90055879e-07 limit=4.05962528e-07,NumericalSensitivityFailure,llama3-8b-inst,NOT_RECORDED,NUMERICAL_CONTROLLER_FAILURE,0
0.00017695863789413124,NOT_RECORDED,STRONG_STATIC_SAME_OBJECTIVE,NOT_RECORDED,NOT_RECORDED,nonlinear corrector closure=0.0184665062 tau_z=0.001953125,CandidateFailure,llama3-8b-inst,NOT_RECORDED,SCIENTIFIC_CONTROLLER_HOLD,0
NOT_RECORDED,NOT_RECORDED,OFFICIAL_MEMIT,NOT_RECORDED,d130e8b5c9d8f99075b20ce160ee84363f25762c93b070d613b3ef089ae17f66,NA,NA,qwen2.5-7b-inst,NOT_RECORDED,TERMINAL_VALID,1
0.16463251411914825,NOT_RECORDED,TRUE_FROZEN_C_SPLIT,19.683279037475586,NOT_RECORDED,TRUE_FROZEN_C_SPLIT actual closure=19.683279037475586 tau_z=0.001953125,ScientificBoundary,qwen2.5-7b-inst,NOT_RECORDED,SCIENTIFIC_CONTROLLER_HOLD,0
0.16463251411914825,0.31793547445100384,REFRESHED_EQUALITY_ONLY,0.00011310038098599762,60312a798a5a08374d4e39fe0cdd8fc682a073fb8eadf54300272b4e546067e9,NA,NA,qwen2.5-7b-inst,0.052342516486532986,TERMINAL_VALID,1
0.16463251411914825,NOT_RECORDED,FZCB,NOT_RECORDED,NOT_RECORDED,FD sweep unstable spread=0.000431583729 limit=1.23824867e-05,NumericalSensitivityFailure,qwen2.5-7b-inst,NOT_RECORDED,NUMERICAL_CONTROLLER_FAILURE,0
0.16463251411914825,NOT_RECORDED,STRONG_STATIC_SAME_OBJECTIVE,NOT_RECORDED,NOT_RECORDED,nonlinear corrector closure=62.0111618 tau_z=0.001953125,CandidateFailure,qwen2.5-7b-inst,NOT_RECORDED,SCIENTIFIC_CONTROLLER_HOLD,0
