family,stage,status,semantics,sha256,task_count,warnings
BASE_ALPHAEDIT,T1,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,0101fc952059481589692ca077781160a74173e12f544a8316973a987373dc69,,0
BASE_ALPHAEDIT,T2P,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,e2a6628d71ba8fe2ba724bec580f094b0f86065f381f1d61a0926a1b9dd8cb5c,32,0
BASE_ALPHAEDIT,T2F,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,9072ca22ebd88694a5329f43b138b7334518508bd60b8d05322a53b5e7cee8c7,156,0
BASE_ALPHAEDIT,T3B,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,5de5fed2c36f62bdb9451bfa565d6180b3bc54236a636226144b1c86d087c03f,24,0
BASE_MEMIT,T1,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,866f1e457c152ff3d3b6830c8fadd4e1efd0f7e932421c437a15bd47db806223,,2
BASE_MEMIT,T2P,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,fed9f4f1c9cefd2fb0399a56ff0aaebe1cbcabbdc957bf7eaf91646af3fa4e0d,32,5
BASE_MEMIT,T2F,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,011716bb41739d4ea2dd842ce4f5432fd2fd29d5b55eaf3691860f5046c4940c,156,5
BASE_MEMIT,T3B,COMPLETED,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,b38e0d4bf408a23c16e69f85fe7340cd08bb0542bd83257b4a8862564cc3a57d,24,5
BOTH,T3A,COMPLETED_WITH_NUMERICAL_WARNINGS,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,97c15adc7008c30da5cbc7a8e04154f2b42cee8d33ab48b00ef67f7adde5b923,,5
BOTH,T4,COMPLETED_WITH_NUMERICAL_WARNINGS,STRUCTURAL_COMPLETION_NOT_NUMERICAL_CERTIFICATION,7c5006c3c0f35013cc75602d5697bcf6eed0f37ec57a20c7d7590232cdebf5a1,,5
