arm,batch,role,D,documents,observer_only,natural_NLL_mean
N4,5,Dev128,0.010870847168916953,128,True,2.52277463208884
N4,10,Dev128,0.022651886956737144,128,True,2.526702970266342
REFIT4,5,Dev128,0.01196468863508926,128,True,2.522261162986979
REFIT4,10,Dev128,0.020394760234921705,128,True,2.5249770395457745
L75,5,Dev128,0.010392273828074394,128,True,2.518883509328589
L75,10,Dev128,0.019407558309467277,128,True,2.525920207845047
T75,5,Dev128,0.050441901898011565,128,True,2.544647909933701
T75,10,Dev128,0.11085891480615828,128,True,2.575376352062449
L4D,5,Dev128,0.010870847168916953,128,True,2.52277463208884
L4D,10,Dev128,0.02186378207989037,128,True,2.525990766240284
LD,5,Dev128,0.007056471856230928,128,True,2.5177518632262945
LD,10,Dev128,0.013862760175470612,128,True,2.52031666575931
TD,5,Dev128,0.010870847168916953,128,True,2.52277463208884
TD,10,Dev128,0.022651886956737144,128,True,2.526702970266342
