arm,batch,fit,dtype,shape,finite,raw_sha256,header_bytes_sha256,norm,bytes,layer,readout_layer,compute_z,solve,history_append
N4,1,own-N4,torch.float32,"[4096, 14336]",True,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,92ddb99bf22538d28efa4e24ab157338a967a4f257fde072d398894b44b15a48,77.38563537597656,234881024,4,4,100,1,0
N4,2,own-N4,torch.float32,"[4096, 14336]",True,af3e9975e74a015888cb633d03f300f36693f3ea0b5afc71e61666905933ec24,e4706269cf82cccea52f671565badc3f00beabc9f6c650d2b20126f89f3bbdbb,77.76126098632812,234881024,4,4,100,1,0
N4,3,own-N4,torch.float32,"[4096, 14336]",True,0ed824558d37d6894138834dc7a9a380e2e02fcb3be305abb327ac7abafce255,700cab33630a70c898e9db19c1c2323c7de57eaa674e188fce4d9d86895cbe9c,78.14794921875,234881024,4,4,100,1,0
N4,4,own-N4,torch.float32,"[4096, 14336]",True,084270597dad22018690f1d811b13c0b0754f1cbbeade4f625e1509263daf1c6,c75249f575e8eb90dde93ac24ef36681104a730bcd51062000fd88b8b3e62042,78.52861785888672,234881024,4,4,100,1,0
N4,5,own-N4,torch.float32,"[4096, 14336]",True,a9e896b8f71f4c15373daa22ec18c44e212e5c1ce13cc4e0b654299d2c81bbb7,bb8a6ac1ad6bf648e159dd79d555fd932b2ad8604be1fbea7730a2efa88d793a,78.90921020507812,234881024,4,4,100,1,0
N4,6,own-N4,torch.float32,"[4096, 14336]",True,f85b66a4596bc26ffc2d2ef4be2f3a5c6c06acf13a3ff75131af6c79eedc16e7,6925eef70e1d3e0bbec8d98057df5e48d88ec294523c70553f33f6b49cc36183,79.32546997070312,234881024,4,4,100,1,0
N4,7,own-N4,torch.float32,"[4096, 14336]",True,17c1d94aef604a39a99c5fd0904ceecd8db515cadd06b1b28e8311ac973c7b48,699c5394f71ea48a68a8fd65a3b424cd672ef043421b4d5bc4f6930b60741485,79.74244689941406,234881024,4,4,100,1,0
N4,8,own-N4,torch.float32,"[4096, 14336]",True,d18272a65363621841a0913a0d4eb85fa89066ce9fe196a822d18ecf9a575edf,c273cf0958c61a44c1356e44116a83e1f450bd3a6856e127a05a583693e7c31d,80.14673614501953,234881024,4,4,100,1,0
N4,9,own-N4,torch.float32,"[4096, 14336]",True,9e330ea907c7904ca09db2eeb6e9683bd0523914925d0e9fe65a4ea81ffb8cc9,1178524821cf5d7a2f513cb34568ff76ec82a70d02987bb94ab1aa1ab952dc8c,80.6005859375,234881024,4,4,100,1,0
N4,10,own-N4,torch.float32,"[4096, 14336]",True,4d54868d1222ff9b92cc5249fe81b78429fddaa572af4fff1dbb78d5b938e1dc,838b7e15bc2ad3062a8053c72d44a2ff12ce4f85a066bb207c73f840c2ce8bd2,81.04903411865234,234881024,4,4,100,1,0
