arm,contrast,metric,denominator,before,after,delta_pp,lost,gained,both_success,both_failure,conditional_loss_denominator,conditional_recovery_denominator,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,desired_NLL_harmed,batch,future_batches
N4,W5_FIRST500_TO_W10_SAME500,RS,500,500,500,0.0,0,0,500,0,500,0,0.023366595505151053,3.966539225075394e-05,0.0012032829690724616,0.0022855936753330753,0.20994954317807968,-0.01717842649668455,5.116034246981144,-0.07409544849395752,-0.02704334259033203,0.5827146530151371,0.9280593395233145,1.831407766342163,-2.7600040435791016,2.635862350463867,-0.09746204399910857,-0.0391314837615937,0.5827507652516947,0.9286696522627599,1.8314949605872242,-6.337641607737169,2.635954364668578,309,,
N4,W5_FIRST500_TO_W10_SAME500,PS,1000,961,958,-0.3,8,5,953,34,961,39,-0.02870449975336669,-0.0006544112111441791,0.19784172326326377,0.373305869102478,1.2297918367385863,-2.966921329498291,14.817645937204361,0.03524080168828368,-0.0007171630859375,0.7441151618957521,1.0748784303665146,2.0544246530532813,-4.3296589851379395,5.884303092956543,0.06394530144165037,0.03731274604797363,0.8830566346645355,1.2903453226899728,2.5276177669197195,-8.933342844247818,5.170187123119831,451,,
N4,W5_FIRST500_TO_W10_SAME500,NS,5000,4203,3981,-4.44,275,53,3928,744,4203,797,-0.6106503581371435,-0.38994503021240234,0.714035320281983,1.2542657136917121,3.0618125534057685,-14.195164462551475,12.899446487426758,0.25159902022553143,-0.0007153914775699377,1.5437617301940938,2.7572394609451294,7.288225126266495,-6.574905276298523,18.6315495967865,-0.8622493783626749,-0.35580968856811523,0.8127990126609811,1.316848230361939,2.543399708271034,-25.66653444431722,6.881293535232544,2489,,
N4,ENTRY_TO_ATWRITE,RS,100,5,100,95.0,0,95,5,0,5,95,-11.741947663976607,-11.793419017107226,-6.601508699158145,-5.7515792839432835,-4.667549910173392,-21.154502960154787,-2.6645234513271134,10.304421236305497,10.270754508674145,16.221204853057866,18.216490345448253,19.85252060659231,-1.8365840911865234,22.339219570159912,22.046368900282104,21.988462964480277,28.970624257175952,31.697871273780766,34.68103545114283,9.036104761995375,38.057348921196535,0,1,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.03806199823651696,6.081594619899988e-05,0.002258685938431883,0.0046601899550296364,0.06056456565276751,-0.00287572480738163,3.724927959847264,-0.2996948480606079,-0.3231067657470703,0.9850568771362319,1.5289629459381102,2.1644555664062515,-3.4911117553710938,2.446390151977539,-0.3377568462971249,-0.3228327654651366,0.9852225497423219,1.5289683446091658,2.1648972776895987,-5.863250790047459,2.44642221488175,63,1,9
N4,ENTRY_TO_ATWRITE,PS,200,20,194,87.0,0,174,20,6,20,180,-8.544082775855204,-8.696345213800669,-4.028223055135459,-3.152500417316333,-0.3851287126541193,-18.248231887817383,2.021334409713745,5.142403854662552,4.8459391593933105,11.691467148065566,13.108900964260085,16.297880311012264,-5.309344291687012,19.35306942462921,13.686486630517756,12.847785383462906,22.586043251375667,24.456850599599417,27.663095592127636,0.13011693954467773,31.06903404928744,2,1,
N4,ATWRITE_TO_W10,PS,200,194,195,0.5,0,1,194,5,194,6,-0.1671379236606299,-0.00029535737121477723,0.30656588748097396,0.778941679000854,1.8855613696575144,-10.361276358366013,2.8066606521606445,-0.18331221729516983,-0.18558049201965332,0.8077647924423216,1.4633576631546015,1.925493869781488,-6.693671703338623,3.4746713638305664,-0.016174293634539937,-0.05607602233067155,1.5272158145904537,1.9431062359362834,3.672338844835754,-3.014755368232727,4.3858323097229,94,1,9
N4,ENTRY_TO_ATWRITE,NS,1000,886,865,-2.1,24,3,862,111,886,114,-0.569141544068465,-0.25516557693481445,0.21509981155395508,0.32981567382812477,0.8172049713134765,-14.52303369063884,1.468414306640625,-0.022698554491624237,-0.05694982409477234,0.4447978496551516,0.8387987375259395,2.7601346516609175,-6.3657050132751465,12.574546247720718,-0.5464429895768408,-0.14300131797790527,0.318887758255005,0.5407465457916256,1.0740420622006057,-26.096708786673844,2.508028507232666,411,1,
N4,ATWRITE_TO_W10,NS,1000,865,814,-5.1,69,18,796,117,865,135,-1.285288004549453,-0.8822808265686035,0.8496329307556154,1.6296817779541002,4.188508977890011,-14.947309792041779,8.892877578735352,0.049751279678370335,-0.1022471934556961,2.036756944656374,3.5264469563961014,7.6910664933919906,-7.620120525360107,12.031471252441406,-1.3350392842278234,-0.6332996189594269,1.1466624021530152,1.887594509124755,3.545400820970534,-20.048130333423615,7.671677112579346,454,1,9
N4,ENTRY_TO_ATWRITE,RS,100,11,100,89.0,0,89,11,0,11,89,-10.959033787241205,-10.925338965433184,-6.329515347513369,-5.732147637067828,-3.7022786370245604,-20.642571181815583,-1.1131531634600833,10.32665839354042,10.485099848359823,16.91307535171509,18.64441191293299,20.568964473605156,-2.211857318878174,20.796902120113373,21.285692180781624,20.601369483527378,29.360651981824777,31.88233261200148,34.54154202525272,5.6584452502429485,35.793800736544654,0,2,
