arm,population,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator,status
COMMON_W0,ALL1000,RS,71,1000,7.1,0,4,17,1015,11.045758592277766,10.93041706085205,16.048839378356934,17.681987571716306,20.023639373779297,0.2031964808702469,21.28950309753418,4.696076957924408,4.29834771156311,9.975595474243164,11.402973127365108,14.291671524047851,9.190614218823612e-05,17.28693962097168,-6.349681634353358,-6.458914965391159,-0.7340388774871821,0.7429932355880652,3.8488927078247044,-21.120109544950537,8.383170366287231,,,
COMMON_W0,ALL1000,PS,227,2000,11.35,0,7,33,2030,10.055193893402814,10.067702770233154,14.313315010070802,15.581064414978027,18.125492362976075,0.46687477827072144,21.190811157226562,4.853643842385616,4.444235801696777,9.920361614227296,11.560815048217773,13.614891061782837,0.003616699017584324,18.12643814086914,-5.201550051017199,-5.052108958363533,0.28426265716553,1.7295423507690424,4.386337842941283,-20.584565937519073,8.23885726928711,0,1000,
COMMON_W0,ALL1000,NS,8820,10000,88.2,0,2053,2162,10110,10.999339295703173,10.91932201385498,15.789058208465578,17.241017818450924,20.35396734237671,0.2832280397415161,25.890132904052734,5.243947567278484,4.722684860229492,10.862117958068847,12.323428964614868,14.977731962203984,0.0006337541271932423,20.754776000976562,5.755391728424688,5.7408387660980225,11.992715752124786,13.784523570537559,16.81934281602502,-12.447903156280518,24.267838433384895,,,
N4,W10_ALL1000,RS,999,1000,99.9,0,993,1008,1015,0.02487637886945231,0.0008500776602886617,0.0039042451186105612,0.006511541875079272,0.05289106994867303,1.2159273865108844e-05,5.398934841156006,14.883158150047064,14.751105785369873,20.406293296813967,21.876307868957518,24.68267318725586,0.39114078879356384,28.021175384521484,14.858281771177612,14.747726555622648,20.404187843181717,21.875227743037975,24.681970377006653,-1.5879116356372833,28.02077087003272,,,ALL
N4,W10_ALL1000,PS,1934,2000,96.7,0,1354,1383,2030,1.515622040313454,0.2648945450782776,5.166520643234254,6.8208261013030995,10.348674402236938,8.67805938469246e-05,16.51824188232422,10.220045083679258,10.03957748413086,15.53035650253296,17.072918796539305,20.570598526000975,0.06544865667819977,25.836153030395508,8.704423043365805,8.533045798540115,15.014410218084231,16.951899799401872,20.547815327313728,-10.056234359741211,25.832865165546536,513,1000,ALL
N4,W10_ALL1000,NS,8026,10000,80.26,0,1761,1871,10110,9.216486929163576,9.204594612121582,14.146062660217286,15.513504981994625,18.026353378295898,6.723177648382261e-05,26.899677276611328,5.321082868995092,4.801842212677002,10.712158107757569,12.253465032577514,14.918143968582159,0.000660439720377326,20.738983154296875,3.8954040601684836,3.8982126712799072,9.916066312789917,11.596478474140165,14.999315298274169,-18.718415739414922,20.57540711760521,,,ALL
N4,W10_ALL1000,RS,998,999,99.89989989989989,0,993,1008,1014,0.021171200239063933,0.0008469808381050825,0.0038050395902246292,0.006506650568917393,0.0488054879009723,1.2159273865108844e-05,5.398934841156006,14.888054632299298,14.766369819641113,20.40846519470215,21.87841110229492,24.6843733215332,0.39114078879356384,28.021175384521484,14.866883432060233,14.761447879951447,20.406576052031596,21.877280645957214,24.68367710224556,-1.5879116356372833,28.02077087003272,,,ACTIVE
N4,W10_ALL1000,PS,1932,1998,96.69669669669669,0,1354,1383,2028,1.5122770282658684,0.2641602009534836,5.157240390777587,6.822787904739378,10.351477460861203,8.67805938469246e-05,16.51824188232422,10.223937760520208,10.046083450317383,15.531323719024657,17.074930858612056,20.571235427856443,0.06544865667819977,25.836153030395508,8.71166073225434,8.54295825958252,15.016027429653331,16.952840197482146,20.548221364892086,-10.056234359741211,25.832865165546536,513,999,ACTIVE
N4,W10_ALL1000,NS,8018,9990,80.26026026026027,0,1760,1870,10100,9.218150844358826,9.20563554763794,14.14892625808716,15.51553630828857,18.026901931762698,6.723177648382261e-05,26.899677276611328,5.3204223905019195,4.8027284145355225,10.70583486557007,12.24743647575378,14.920392065048231,0.000660439720377326,20.738983154296875,3.897728453856906,3.9042219519615173,9.916628253459933,11.59759677648544,15.004085002765088,-18.718415739414922,20.57540711760521,,,ACTIVE
N4,W10_ALL1000,RS,1,1,100.0,0,0,0,1,3.7263498306274414,3.7263498306274414,3.7263498306274414,3.7263498306274414,3.7263498306274414,3.7263498306274414,3.7263498306274414,9.991572380065918,9.991572380065918,9.991572380065918,9.991572380065918,9.991572380065918,9.991572380065918,9.991572380065918,6.265222549438477,6.265222549438477,6.265222549438477,6.265222549438477,6.265222549438477,6.265222549438477,6.265222549438477,,,SUPERSEDED
N4,W10_ALL1000,PS,2,2,100.0,0,0,0,2,4.85728907585144,4.85728907585144,6.260689687728882,6.436114764213562,6.576454825401306,3.1030383110046387,6.611539840698242,6.331260919570923,6.331260919570923,6.9818230152130125,7.063143277168274,7.128199486732483,5.5180583000183105,7.144463539123535,1.4739718437194824,1.4739718437194824,2.226810359954834,2.3209151744842527,2.396199026107788,0.532923698425293,2.415019989013672,0,1,SUPERSEDED
N4,W10_ALL1000,NS,8,10,80.0,0,1,1,10,7.554235649108887,7.200140953063965,12.507829189300537,12.955129384994505,13.312969541549682,2.838413715362549,13.402429580688477,5.980900883674622,4.731485605239868,12.693792819976807,12.709729433059692,12.722478723526,2.3554697036743164,12.725666046142578,1.573334765434265,1.915806770324707,3.345429897308349,3.6797168254852286,3.9471463680267336,-1.8302249908447266,4.014003753662109,,,SUPERSEDED
N4,W5_FIRST500,RS,500,500,100.0,0,499,506,507,0.009749503969414946,0.0008038626983761787,0.003261118568480015,0.005236178776249285,0.026310287844389192,2.706014311115723e-05,1.9840627908706665,14.936943712234497,14.909090995788574,20.247166061401366,21.784959030151356,24.60810577392578,3.284268856048584,27.888229370117188,14.927194208265082,14.907467876269948,20.246639153838622,21.78295481834792,24.607485102992936,1.3002060651779175,27.887816991016734,,,ALL
