arm,batch,selected,a4,a8,D,E,H,current_strict,past_strict,action_norm,own_N4,shadow_no_plateau,shadow_strict_only,declared,distinct,D_vs_own_N4,E_vs_own_N4
N4,1,N4,1.0,0.0,0.0017209079930182725,0.003404614371538628,,100,0,7.61165279863614,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,2,N4,1.0,0.0,0.0038239335715388734,0.026622378780157305,0.0015802247926330892,100,64,7.71136987798354,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,3,N4,1.0,0.0,0.006022348446322212,0.0026307728864776434,0.012278749113193044,100,64,7.8385920077260876,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,4,N4,1.0,0.0,0.008421741996926357,0.003918482569279149,0.024522713774786098,100,63,7.8014973235883645,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,5,N4,1.0,0.0,0.010314425840761032,0.012849908573552966,0.032335318147602266,100,63,7.824510436564866,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,6,N4,1.0,0.0,0.012474029073018755,0.0024117284012027083,0.03278846723253537,100,63,8.213161757253289,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,7,N4,1.0,0.0,0.014935928673367016,0.004654217146162409,0.03582400399386643,100,63,8.211082227704994,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,8,N4,1.0,0.0,0.016842210480717767,0.001981715756119229,0.0459460568600889,100,63,8.135063794196299,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,9,N4,1.0,0.0,0.01877682717577045,0.003784382830854156,0.06089393641013885,100,63,8.633953693329415,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
N4,10,N4,1.0,0.0,0.021280895331074134,0.0246290294676146,0.04731072307913564,99,63,8.59634070037267,True,NOT_APPLIED,NOT_APPLIED,1,1,0.0,0.0
REFIT4,1,REFIT4,0.75,0.0,0.0018378508228238388,0.0112073150408105,,100,0,8.168250888204438,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,2,REFIT4,0.75,0.0,0.004219911716973002,0.012654742470185738,0.006537405304698041,100,64,7.835088442287814,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,3,REFIT4,0.75,0.0,0.0059599665278256,0.009953513321088394,0.00551365914282087,100,64,7.255173319934335,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,4,REFIT4,0.75,0.0,0.007944797201275833,0.009690884022274986,0.005563437546129535,100,64,6.979013106055374,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,5,REFIT4,0.75,0.0,0.00937087927900393,0.011320515932020499,0.005705943409566316,100,64,6.719953598086604,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,6,REFIT4,0.75,0.0,0.011038594578167249,0.009562592200672952,0.006917253321262251,100,64,7.050060121561578,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,7,REFIT4,0.75,0.0,0.012678923266321362,0.009350892205402488,0.00722391788076493,100,64,7.4356509647032665,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,8,REFIT4,0.75,0.0,0.01417846468211792,0.008647304433980025,0.008699131130015303,100,64,7.476801653159684,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,9,REFIT4,0.75,0.0,0.016030613787734183,0.00851686133275507,0.010028783044390366,100,64,7.388864310054648,False,NOT_APPLIED,NOT_APPLIED,1,1,,
REFIT4,10,REFIT4,0.75,0.0,0.017939165220241193,0.011102676214650274,0.008380324551922058,100,64,7.459725796438616,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,1,L0.75-1,0.75,1.0,0.002032699220990253,0.010280911758527508,,100,0,9.344629620479056,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,2,L0.75-1,0.75,1.0,0.0040459130420913425,0.012567636371604749,0.0058990514317542875,100,64,8.194715092300822,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,3,L0.75-1,0.75,1.0,0.005854613587416679,0.00968249960369576,0.005256637538536779,100,64,7.550297073546517,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,4,L0.75-1,0.75,1.0,0.007874366448049841,0.008763382822507992,0.005543376179957704,100,64,7.490148120075751,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,5,L0.75-1,0.75,1.0,0.00943749596399357,0.008871510105091147,0.006202836206512075,100,64,7.246264838620983,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,6,L0.75-1,0.75,1.0,0.010904834033681254,0.009439466424373677,0.007413373694816983,100,64,7.425946215383947,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,7,L0.75-1,0.75,1.0,0.012438172302609019,0.010356632692710263,0.007246080033041835,100,64,7.684790969280806,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,8,L0.75-1,0.75,1.0,0.013660602307027148,0.009428998158546165,0.007541103208097866,100,64,7.747048512967386,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,9,L0.75-1,0.75,1.0,0.01637561311281388,0.007813757423718926,0.00877596144113113,100,64,8.164949214394282,False,NOT_APPLIED,NOT_APPLIED,1,1,,
L75,10,L0.75-1,0.75,1.0,0.017819495036860644,0.008292827096265682,0.007591024200962693,100,64,8.247317640660565,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,1,T0.75-1,0.75,1.0,0.006856624935608124,0.037307353121286725,,100,0,18.621388937979713,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,2,T0.75-1,0.75,1.0,0.015139032837396371,0.0686721432734339,0.0034166982488841313,100,64,20.128686087341887,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,3,T0.75-1,0.75,1.0,0.023488482273023692,0.03571320321541862,0.0031857711728662252,100,64,20.895847896572015,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,4,T0.75-1,0.75,1.0,0.030490717694192426,0.015607252303670976,0.00633902697177291,100,64,21.358943196384832,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,5,T0.75-1,0.75,1.0,0.03950884116511588,0.0034855319882626645,0.002053831644730053,100,64,21.91557760276509,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,6,T0.75-1,0.75,1.0,0.048118699527549325,0.003186717148637399,0.03377009156542954,100,63,22.14576216752167,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,7,T0.75-1,0.75,1.0,0.0590758226098842,0.0030463899493042845,0.0728211982884659,100,63,22.139929869496097,False,NOT_APPLIED,NOT_APPLIED,1,1,,
T75,8,T0.75-1,0.75,1.0,0.07006350808114803,0.002657847129739821,0.09017250189248216,100,63,22.91844174667307,False,NOT_APPLIED,NOT_APPLIED,1,1,,
