arm,batch,contrast,metric,denominator,before,after,lost,gained,twoP_denominator,twoP_before,twoP_after,twoP_lost,twoP_gained,reference
N4,1,ENTRY_TO_ATWRITE,RS,100,0,100,0,100,,,,,,
N4,1,ATWRITE_TO_W10,RS,100,100,99,1,0,,,,,,
N4,1,ENTRY_TO_ATWRITE,PS,200,0,125,0,125,100,0,44,0,44,
N4,1,ATWRITE_TO_W10,PS,200,125,132,6,13,100,44,49,3,8,
N4,1,ENTRY_TO_ATWRITE,NS,1000,171,160,19,8,,,,,,
N4,1,ATWRITE_TO_W10,NS,1000,160,148,38,26,,,,,,
N4,2,ENTRY_TO_ATWRITE,RS,100,0,100,0,100,,,,,,
N4,2,ATWRITE_TO_W10,RS,100,100,97,3,0,,,,,,
N4,2,ENTRY_TO_ATWRITE,PS,200,1,132,0,131,100,0,54,0,54,
N4,2,ATWRITE_TO_W10,PS,200,132,141,1,10,100,54,57,1,4,
N4,2,ENTRY_TO_ATWRITE,NS,1000,186,191,8,13,,,,,,
N4,2,ATWRITE_TO_W10,NS,1000,191,173,56,38,,,,,,
N4,3,ENTRY_TO_ATWRITE,RS,100,1,100,0,99,,,,,,
N4,3,ATWRITE_TO_W10,RS,100,100,99,1,0,,,,,,
N4,3,ENTRY_TO_ATWRITE,PS,200,2,126,0,124,100,0,45,0,45,
N4,3,ATWRITE_TO_W10,PS,200,126,130,4,8,100,45,47,1,3,
N4,3,ENTRY_TO_ATWRITE,NS,1000,164,171,5,12,,,,,,
N4,3,ATWRITE_TO_W10,NS,1000,171,136,55,20,,,,,,
N4,4,ENTRY_TO_ATWRITE,RS,100,1,100,0,99,,,,,,
N4,4,ATWRITE_TO_W10,RS,100,100,100,0,0,,,,,,
N4,4,ENTRY_TO_ATWRITE,PS,200,1,150,0,149,100,0,59,0,59,
N4,4,ATWRITE_TO_W10,PS,200,150,151,1,2,100,59,59,1,1,
N4,4,ENTRY_TO_ATWRITE,NS,1000,200,188,25,13,,,,,,
N4,4,ATWRITE_TO_W10,NS,1000,188,156,52,20,,,,,,
N4,5,ENTRY_TO_ATWRITE,RS,100,2,100,0,98,,,,,,
N4,5,ATWRITE_TO_W10,RS,100,100,100,0,0,,,,,,
N4,5,ENTRY_TO_ATWRITE,PS,200,2,125,0,123,100,1,46,0,45,
N4,5,ATWRITE_TO_W10,PS,200,125,124,5,4,100,46,48,2,4,
N4,5,ENTRY_TO_ATWRITE,NS,1000,251,239,20,8,,,,,,
N4,5,ATWRITE_TO_W10,NS,1000,239,196,64,21,,,,,,
N4,6,ENTRY_TO_ATWRITE,RS,100,0,100,0,100,,,,,,
N4,6,ATWRITE_TO_W10,RS,100,100,100,0,0,,,,,,
N4,6,ENTRY_TO_ATWRITE,PS,200,0,119,0,119,100,0,42,0,42,
N4,6,ATWRITE_TO_W10,PS,200,119,118,1,0,100,42,41,1,0,
N4,6,ENTRY_TO_ATWRITE,NS,1000,159,157,13,11,,,,,,
N4,6,ATWRITE_TO_W10,NS,1000,157,135,36,14,,,,,,
N4,7,ENTRY_TO_ATWRITE,RS,100,0,100,0,100,,,,,,
N4,7,ATWRITE_TO_W10,RS,100,100,100,0,0,,,,,,
N4,7,ENTRY_TO_ATWRITE,PS,200,3,151,0,148,100,0,61,0,61,
N4,7,ATWRITE_TO_W10,PS,200,151,149,2,0,100,61,60,1,0,
N4,7,ENTRY_TO_ATWRITE,NS,1000,249,234,29,14,,,,,,
N4,7,ATWRITE_TO_W10,NS,1000,234,210,44,20,,,,,,
N4,8,ENTRY_TO_ATWRITE,RS,100,1,100,0,99,,,,,,
N4,8,ATWRITE_TO_W10,RS,100,100,99,1,0,,,,,,
N4,8,ENTRY_TO_ATWRITE,PS,200,1,138,0,137,100,0,53,0,53,
N4,8,ATWRITE_TO_W10,PS,200,138,133,6,1,100,53,49,4,0,
N4,8,ENTRY_TO_ATWRITE,NS,1000,215,206,15,6,,,,,,
