arm,batch,terminal_target_seconds,terminal_Adam,terminal_loss
T75,1,260.7405100725591,2400,2500
T75,2,271.96013252902776,2394,2494
T75,3,262.60037986095995,2385,2485
T75,4,268.89086641184986,2380,2480
T75,5,256.9957165662199,2331,2431
T75,6,264.0335534680635,2347,2447
T75,7,262.836000145413,2346,2446
T75,8,260.3799706734717,2311,2411
T75,9,247.33898255508393,2260,2360
T75,10,256.4433456538245,2305,2405
TD,1,258.4084184644744,2400,2500
TD,2,271.9762864988297,2400,2500
TD,3,263.08337093889713,2400,2500
TD,4,269.33467769715935,2400,2500
TD,5,263.41619210131466,2400,2500
TD,6,268.9759914148599,2400,2500
TD,7,267.61112696956843,2400,2500
TD,8,269.1749249212444,2400,2500
TD,9,260.27203805278987,2400,2500
TD,10,265.1465999549255,2400,2500
