state,reference,metric,value,threshold,status,unit,denominator,comparator,enforcement,batch
N4,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_P_net_loss_max_count,NOT_APPLICABLE,0,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_RP_mean_new_NLL_increase_max_nats,RS,0.0,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_RP_paired_NLL_harm_q95_max_nats,RS,0.0,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_RP_mean_new_NLL_increase_max_nats,PS,0.0,0.1,WITHIN,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_RP_paired_NLL_harm_q95_max_nats,PS,0.0,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_R_strict_net_loss_max_count,NOT_APPLICABLE,0,1,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,current_P_strict_net_loss_max_count,NOT_APPLICABLE,0,4,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,-0.0,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,active_historical_P_mean_new_NLL_increase_max_nats,NOT_APPLICABLE,0.0,0.1,WITHIN,PROMPT_NLL_NATS,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,wiki128_mean_NLL_increase_max_nats,NOT_APPLICABLE,0.0,0.05,WITHIN,NATS_PER_TOKEN_THEN_SEQUENCE_MEAN,128,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
N4,mmlu32_warning_net_accuracy_loss_count_at_least,NOT_APPLICABLE,0,2,WITHIN,INTEGER_CORRECT_COUNT,32,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_R_new_failures_among_native_success_max,NOT_APPLICABLE,0,0,WITHIN,PROMPT_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_P_net_loss_max_count,NOT_APPLICABLE,1,2,WITHIN,PROMPT_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_RP_mean_new_NLL_increase_max_nats,RS,0.03111791653027467,0.1,WITHIN,PROMPT_NLL_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_RP_paired_NLL_harm_q95_max_nats,RS,0.014726691599935213,0.5,WITHIN,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_RP_mean_new_NLL_increase_max_nats,PS,0.12661627517314628,0.1,EXCEEDS,PROMPT_NLL_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_RP_paired_NLL_harm_q95_max_nats,PS,0.608816611766815,0.5,EXCEEDS,PROMPT_PAIRED_NEW_NLL_DELTA_NATS,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_R_strict_net_loss_max_count,NOT_APPLICABLE,0,1,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,100,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,current_P_strict_net_loss_max_count,NOT_APPLICABLE,2,4,WITHIN,PROMPT_ALL_TARGET_TOKEN_COUNT,200,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,active_historical_R_new_failures_max,NOT_APPLICABLE,0,0,WITHIN,ACTIVE_PROMPT_COUNT,124,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
S875,active_historical_P_net_loss_max_pp,NOT_APPLICABLE,-0.0,1.0,WITHIN,PP,248,N4,DESCRIPTIVE_ONLY_NO_REJECTION,51
