arm,population,metric,prompt_denominator,request_denominator,before_numerator,after_numerator,lost,gained,retained,failed_both,delta_numerator,delta_pp,conditional_loss_rate,conditional_gain_rate,before_ties,after_ties,order_sha256,transition_sha256,new_strict_delta_numerator,true_strict_delta_numerator,new_nll_delta_n,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_q25,new_nll_delta_q75,new_nll_delta_iqr,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_n,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_q25,true_nll_delta_q75,true_nll_delta_iqr,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_n,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_q25,desired_margin_delta_q75,desired_margin_delta_iqr,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,old_source,new_source
N4,current,RS,100,100,100,100,0,0,100,0,0,0.0,0.0,,0,0,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,c67806d7b41c28e3914a4c29af0ff8d6f00e320fa86878932705a91cfed036a4,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
N4,current,PS,200,100,197,197,0,0,197,3,0,0.0,0.0,0.0,0,0,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,02716d56369b4246de22a4a77adb2ff44153e670d6531a9c08e9cf1a50891fc0,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
N4,current,NS,1000,100,711,711,0,0,711,289,0,0.0,0.0,0.0,0,0,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,2f5fa8a6e7ff70da695ef49101820aa6ba3160226d20651ac00c40a6e535af77,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
N4,historical,RS,128,128,128,128,0,0,128,0,0,0.0,0.0,,0,0,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,6936c17f7c26ce59960583a645f3a580781f31026b409c0bee8aeb0b32400c82,0,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
N4,historical,PS,256,128,250,250,0,0,250,6,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,0a00c43572f1aa54a7bd564ee4ff30108a0fb9365f56f9f7f22fd300b2d431bb,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
N4,historical,NS,1280,128,883,883,0,0,883,397,0,0.0,0.0,0.0,0,0,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,886de4cf742a26ecf49c78b6027db02e53b56f5bf5a7a53a94ec9592e0341fd4,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
RES8,current,RS,100,100,100,100,0,0,100,0,0,0.0,0.0,,0,0,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,c67806d7b41c28e3914a4c29af0ff8d6f00e320fa86878932705a91cfed036a4,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
RES8,current,PS,200,100,197,197,0,0,197,3,0,0.0,0.0,0.0,0,0,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,4cd48bcbe0381af8b52b56e207cf6705ec504f758446485ef762223c53132048,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
RES8,current,NS,1000,100,712,712,0,0,712,288,0,0.0,0.0,0.0,0,0,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,690f3548d6e93cd6a1b5eacd71080b45d87a92392f8d9e20d301182824fd0c43,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
RES8,historical,RS,128,128,128,128,0,0,128,0,0,0.0,0.0,,0,0,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,6936c17f7c26ce59960583a645f3a580781f31026b409c0bee8aeb0b32400c82,0,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
RES8,historical,PS,256,128,249,249,0,0,249,7,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,b7350879af6b818150c2f6c8df3ef067d6a1a6fbc2b2142eb693312f6f34db57,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
