current_count,current_strict,current_success,endpoint,kind,original_count,original_success,status
100,99,100,BASE_ALPHAEDIT_W001,R,100,100,ACTIVE
200,100,174,BASE_ALPHAEDIT_W001,P,200,174,ACTIVE
0,0,0,BASE_ALPHAEDIT_W001,R,0,0,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W001,P,0,0,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W001,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W001,P,0,0,NOT_RECEIVED
100,92,99,BASE_ALPHAEDIT_W005,R,100,99,ACTIVE
200,113,175,BASE_ALPHAEDIT_W005,P,200,175,ACTIVE
0,0,0,BASE_ALPHAEDIT_W005,R,0,0,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W005,P,0,0,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W005,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W005,P,0,0,NOT_RECEIVED
99,89,94,BASE_ALPHAEDIT_W010,R,99,94,ACTIVE
198,121,175,BASE_ALPHAEDIT_W010,P,198,175,ACTIVE
1,1,1,BASE_ALPHAEDIT_W010,R,1,0,SUPERSEDED
2,0,1,BASE_ALPHAEDIT_W010,P,2,0,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W010,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W010,P,0,0,NOT_RECEIVED
98,86,96,BASE_ALPHAEDIT_W020,R,98,96,ACTIVE
196,110,173,BASE_ALPHAEDIT_W020,P,196,173,ACTIVE
2,0,2,BASE_ALPHAEDIT_W020,R,2,1,SUPERSEDED
4,3,4,BASE_ALPHAEDIT_W020,P,4,2,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W020,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W020,P,0,0,NOT_RECEIVED
98,77,93,BASE_ALPHAEDIT_W030,R,98,93,ACTIVE
196,87,164,BASE_ALPHAEDIT_W030,P,196,164,ACTIVE
2,0,2,BASE_ALPHAEDIT_W030,R,2,1,SUPERSEDED
4,1,4,BASE_ALPHAEDIT_W030,P,4,2,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W030,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W030,P,0,0,NOT_RECEIVED
98,62,91,BASE_ALPHAEDIT_W040,R,98,91,ACTIVE
196,74,153,BASE_ALPHAEDIT_W040,P,196,153,ACTIVE
2,0,1,BASE_ALPHAEDIT_W040,R,2,1,SUPERSEDED
4,1,4,BASE_ALPHAEDIT_W040,P,4,0,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W040,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W040,P,0,0,NOT_RECEIVED
98,50,83,BASE_ALPHAEDIT_W050,R,98,83,ACTIVE
196,65,146,BASE_ALPHAEDIT_W050,P,196,146,ACTIVE
2,0,1,BASE_ALPHAEDIT_W050,R,2,1,SUPERSEDED
4,0,3,BASE_ALPHAEDIT_W050,P,4,1,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W050,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W050,P,0,0,NOT_RECEIVED
98,39,80,BASE_ALPHAEDIT_W060,R,98,80,ACTIVE
196,45,131,BASE_ALPHAEDIT_W060,P,196,131,ACTIVE
2,1,1,BASE_ALPHAEDIT_W060,R,2,1,SUPERSEDED
4,1,3,BASE_ALPHAEDIT_W060,P,4,1,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W060,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W060,P,0,0,NOT_RECEIVED
95,26,73,BASE_ALPHAEDIT_W070,R,95,73,ACTIVE
190,25,112,BASE_ALPHAEDIT_W070,P,190,112,ACTIVE
5,3,3,BASE_ALPHAEDIT_W070,R,5,4,SUPERSEDED
10,0,5,BASE_ALPHAEDIT_W070,P,10,3,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W070,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W070,P,0,0,NOT_RECEIVED
95,13,57,BASE_ALPHAEDIT_W080,R,95,57,ACTIVE
190,10,102,BASE_ALPHAEDIT_W080,P,190,102,ACTIVE
5,3,4,BASE_ALPHAEDIT_W080,R,5,2,SUPERSEDED
10,1,7,BASE_ALPHAEDIT_W080,P,10,2,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W080,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W080,P,0,0,NOT_RECEIVED
95,9,48,BASE_ALPHAEDIT_W090,R,95,48,ACTIVE
190,10,98,BASE_ALPHAEDIT_W090,P,190,98,ACTIVE
5,3,4,BASE_ALPHAEDIT_W090,R,5,2,SUPERSEDED
10,2,6,BASE_ALPHAEDIT_W090,P,10,2,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W090,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W090,P,0,0,NOT_RECEIVED
95,8,52,BASE_ALPHAEDIT_W100,R,95,52,ACTIVE
190,8,95,BASE_ALPHAEDIT_W100,P,190,95,ACTIVE
5,2,4,BASE_ALPHAEDIT_W100,R,5,4,SUPERSEDED
10,2,8,BASE_ALPHAEDIT_W100,P,10,3,SUPERSEDED
0,0,0,BASE_ALPHAEDIT_W100,R,0,0,NOT_RECEIVED
0,0,0,BASE_ALPHAEDIT_W100,P,0,0,NOT_RECEIVED
100,98,100,BASE_MEMIT_W001,R,100,100,ACTIVE
200,102,174,BASE_MEMIT_W001,P,200,174,ACTIVE
0,0,0,BASE_MEMIT_W001,R,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W001,P,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W001,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W001,P,0,0,NOT_RECEIVED
100,95,99,BASE_MEMIT_W005,R,100,99,ACTIVE
200,123,184,BASE_MEMIT_W005,P,200,184,ACTIVE
0,0,0,BASE_MEMIT_W005,R,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W005,P,0,0,SUPERSEDED
0,0,0,BASE_MEMIT_W005,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W005,P,0,0,NOT_RECEIVED
99,47,84,BASE_MEMIT_W010,R,99,84,ACTIVE
198,80,158,BASE_MEMIT_W010,P,198,158,ACTIVE
1,1,1,BASE_MEMIT_W010,R,1,0,SUPERSEDED
2,0,1,BASE_MEMIT_W010,P,2,1,SUPERSEDED
0,0,0,BASE_MEMIT_W010,R,0,0,NOT_RECEIVED
0,0,0,BASE_MEMIT_W010,P,0,0,NOT_RECEIVED
