model,method,accepted_edit_count,fork,layer,ordered_delta_frobenius_magnitude,same_entry_delta_frobenius_magnitude,same_minus_ordered_delta_magnitude,same_entry_response_frobenius_magnitude,request_level_target_aligned_same_entry,causal_claim
llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,4,2.93259057469787,2.9325905746970453,-8.246736626915663e-13,16.23294152397006,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,5,3.0618054211565378,3.0618054211556367,-9.01057006785777e-13,12.414347398966282,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,6,3.5995175871457046,3.599517587144625,-1.0795808691455022e-12,11.448496830383199,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,7,4.72055060679454,4.7205506067940295,-5.10702591327572e-13,12.269815532151624,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,8,6.622774641276924,6.62277464127679,-1.341149413747189e-13,15.840939300756434,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,RESET_CACHE,4,2.93259057469787,2.9325905746970453,-8.246736626915663e-13,16.23294152397006,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,RESET_CACHE,5,3.0618054211565378,3.0618054211556367,-9.01057006785777e-13,12.414347398966282,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,RESET_CACHE,6,3.5995175871457046,3.599517587144625,-1.0795808691455022e-12,11.448496830383199,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,RESET_CACHE,7,4.72055060679454,4.7205506067940295,-5.10702591327572e-13,12.269815532151624,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,0,RESET_CACHE,8,6.622774641276924,6.62277464127679,-1.341149413747189e-13,15.840939300756434,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,4,4.6718626379731445,4.671862637972732,-4.121147867408581e-13,29.39554648802217,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,4.855308423727364,4.855308423727061,-3.028688411177427e-13,16.78520942478824,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,6,5.633924436658855,5.633924436658854,-8.881784197001252e-16,12.321332834107027,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,7,7.053696147267972,7.053696147267969,-2.6645352591003757e-15,10.620248287452593,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,8,9.20600646920857,9.206006469209584,1.014299755297543e-12,12.251077148398409,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,RESET_CACHE,4,4.409303907450674,4.409303907450052,-6.217248937900877e-13,30.40388447299889,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,RESET_CACHE,5,4.453422891005324,4.453422891004744,-5.799805080641818e-13,17.67270831470726,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,RESET_CACHE,6,5.010345047964109,5.010345047963879,-2.3003821070233244e-13,13.76822493334753,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,RESET_CACHE,7,6.116329393879802,6.11632939387979,-1.2434497875801753e-14,13.681745417575819,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,1000,RESET_CACHE,8,7.62170505586531,7.621705055865306,-4.440892098500626e-15,17.824191158680584,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,4,21.984037112742634,21.98403711274635,3.716138508025324e-12,286.9856553487662,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,26.98961220152684,26.989612201530573,3.7339020764193265e-12,92.28429835646304,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,6,21.94309776697801,21.9430977669813,3.289812866569264e-12,29.554586366507856,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,7,24.458844686149494,24.458844686153043,3.5491609651217004e-12,12.358183992724818,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,8,42.48567349174637,42.485673491753296,6.927791673660977e-12,20.032947903917524,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,RESET_CACHE,4,18.298297596144785,18.298297596147272,2.4868995751603507e-12,349.73955453850044,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,RESET_CACHE,5,22.34000727756168,22.340007277564904,3.225864020350855e-12,168.6526061559097,NOT_RECORDED_SCHEMA,0
llama3-8b-inst,alphaedit,10000,RESET_CACHE,6,26.06797830947867,26.067978309482328,3.659295089164516e-12,139.42526567724207,NOT_RECORDED_SCHEMA,0
