model,method,accepted_edit_count,fork,waypoint_n,V_to_go_vs_actual_tail_action_spearman,interpretation_boundary,AUROC,AUPRC,causal_claim
llama3-8b-inst,alphaedit,0,ACCUMULATED_OR_STATIC,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,0,RESET_CACHE,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,5,0.8999999999999998,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,1000,RESET_CACHE,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,10000,RESET_CACHE,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,1500,ACCUMULATED_OR_STATIC,5,0.8999999999999998,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,1500,RESET_CACHE,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,2000,ACCUMULATED_OR_STATIC,5,0.8999999999999998,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
llama3-8b-inst,alphaedit,2000,RESET_CACHE,5,0.9999999999999999,LAYER_ORDINAL_CONFOUNDED_NOT_INDEPENDENT_PREDICTOR_VALIDATION,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,NOT_IDENTIFIABLE_PREREGISTERED_FAILURE_LABEL_ABSENT,0
