model,method,metric,rank_descending,value,batch_index,request_sha256,case_identity_sha256,recurrence_closure_relative_error,identity_valid,nonfinite
llama3-8b-inst,memit,q_pre_L8,1,35953.569344108706,58,75c7c672dc21924e28f91ca9e93b2d0bf9a26349eef4b5b725ad931bf18d0733,01e8610926fc5cde82f958e27fbe9532f27cd726f80e5a48e86f8fb0f68c6612,1.3841384439020737e-12,1,0
llama3-8b-inst,memit,q_pre_L8,2,30255.54390553574,30,dc076cd6ea2d7e428b6d47b69f5f719d933cd7f78a595fe7560ea1f51c1312b2,8de383f48930aed2f7b9228fda48e5034ae4f561d8b5f6b97dd900dcb493e99a,3.1666297939590625e-13,1,0
llama3-8b-inst,memit,q_pre_L8,3,1.1267333174079248,64,d5ed24484701a8449a6fa2643104e073bbc25e7d5cadfa6bb26bc06ae058534d,1b19c472ef49a37c50bae34c288f897dc61917c81c6d4a7dcf0d80b31b3f07f7,4.9960142905682624e-17,1,0
llama3-8b-inst,memit,q_pre_L8,4,1.044861262293334,16,cb8ca9d8f208d78a9ddcbe2ff13840e4917ceb961c64be45436607d3bc019b4d,b0b20855c0167b3847677a5429ebac107b8694ed70ab13f5a02cf2cc3c1773a9,4.794540817647068e-18,1,0
llama3-8b-inst,memit,q_pre_L8,5,0.9803409088390677,42,7f0ede353404cafa2bf65a4f0fc2c9fef1a1830566f7ad299130b8405d7f25f5,b0540f9d772c6e178fd0fbaa8e0a47d5326c3466f78ed35c2c0c50d20208cfd2,1.0596817113116642e-17,1,0
llama3-8b-inst,memit,q_pre_L8,6,0.9625391648919945,40,963f468d484cc60fda083865343d3bc6cbe1379ad967c216be6d703ff00bc6fc,00bca2fecabe06a9de9c99f5db93935a13261e3d38ceed2e074e042dc1e52c06,7.205077985876475e-18,1,0
llama3-8b-inst,memit,q_pre_L8,7,0.9593965923631436,19,8980f77843e4a89d03691fbd3015cbef209c069286ce680611e8145e8af1c108,db3b26152f5a1fa0fa7c2b5c34b5ecc19a4420d7759af87cec8b764e6e83cb20,1.1049053442264629e-16,1,0
llama3-8b-inst,memit,q_pre_L8,8,0.9533131302572915,30,e6dcdfdb7ddff5930a196a1c6ba01b0487a5eeb10b4501f2efd313bf94d74e2d,a52c2b61191e9871882384b9d6feff3597a39598519f616d4a62437b75a56981,1.0471949313379888e-17,1,0
llama3-8b-inst,memit,q_pre_L8,9,0.9481362360929844,15,f8d8f87f85f2246d3c01278f27c8196c067b2ff34e8625e7bac846d41f535173,71f30b77eafe576748409d9d49d681b3066397c59074a20e04a3bd0589612d02,3.794721391906153e-18,1,0
llama3-8b-inst,memit,q_pre_L8,10,0.9438207493639641,16,d88b25ed3126b61e474be639df6a4e22475bb86d426f7a0cef4e538e4f747a8f,ac07caf27c07e34aaaa889b4e4cea0cc7f726898dabdfe63ce8b964c5fa1c1dd,8.260905433087234e-17,1,0
