kind,arm,accepted_edit_count,path,bytes,sha256
INPUT_LOCK,GLOBAL,LOCK,/data/janghj/ODE-edit/local/state/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r2/availability-amendment-and-input-lock.json,96152,3684dd72e3a38e8b10544b6071e592a10eafdec881b65f0c87656eb2c662dcc7
STREAM_SEAL,GLOBAL,LOCK,/data/janghj/ODE-edit/local/state/official-layer-realization-debt-lifelong-b100-v1/stream-seal-v1.json,4364914,5848dca7323335483039ec125b644dadfb87b0996133f9825f951088cf3a7861
TECH_R3_SOURCE_REBIND,GLOBAL,CONTROL,/data/janghj/ODE-edit/local/state/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/source-rebind-receipt.json,1314,5c096c7ce3563ca80d6c018563110f26db963b1ae4703634c5f1b09cb2a01527
JOB33306_SUBMISSION,GLOBAL,CONTROL,/data/janghj/ODE-edit/local/state/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/submission-receipt.json,1359,852cb42738a56b57dc905925b336eed40498ec259f0fe8ea8339e7356271a002
JOB33300_TECHNICAL_EXCLUSION,GLOBAL,CONTROL,/data/janghj/ODE-edit/local/state/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r2/job33300-technical-exclusion.json,843,1b93b4eb609723cdb7af46211b8eeb83c4edde0bdd231252e00ffa58c79d2c2b
CELL_TERMINAL,LM,TERMINAL,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/terminal.json,9856,2fd3382634ad0ac94c448a5e35d8556e873e6aa19aae9930dfafbfb75d1e614b
CHECKPOINT_EVALUATION_RECEIPT,LM,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-01000/evaluation-receipt.json,17639,5b9c8bbeb8805cc9482993232b0a19619032fd62fa837801b20642e971195060
REQUEST_METRICS,LM,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-01000/request-metrics.jsonl.gz,511527,2cf3429b19c6622952675bbabd189e4c8ce1c9d821f2f839f966155fec789c4b
CHECKPOINT_EVALUATION_RECEIPT,LM,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-01500/evaluation-receipt.json,17797,255ee973e64b84a11ad330feaa5ea4778664d6ca987e6da0df0305a0a4bbaa12
REQUEST_METRICS,LM,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-01500/request-metrics.jsonl.gz,764565,b36a693d731ba8029716a0cdee5b6bb18db9d3455bb1d36578f892a4fbdf6abe
CHECKPOINT_EVALUATION_RECEIPT,LM,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-02000/evaluation-receipt.json,17604,89e19533ff22eae8088c01196e26dc66bb6a45b92717013c3323506529a22ded
REQUEST_METRICS,LM,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-02000/request-metrics.jsonl.gz,1008617,743bb1243d5c1f3928a5568d685499898eb863089e67ec340ecc24a90c57b59c
CHECKPOINT_EVALUATION_RECEIPT,LM,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-03000/evaluation-receipt.json,17807,a5daf4bb9b94ad307f2d4c01f877db2b4f5630cce168696eb825f1e33604d15b
REQUEST_METRICS,LM,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-03000/request-metrics.jsonl.gz,1508194,eaf95cb3417caa8b3e44392ae2fc82e44596ce986158e71e7bad9894c6def244
CHECKPOINT_EVALUATION_RECEIPT,LM,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-05000/evaluation-receipt.json,17642,1f1ad05f47382ccb8889b2c4b6721e2a57fc069f2d209a8bb348205b054576b7
REQUEST_METRICS,LM,5000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-05000/request-metrics.jsonl.gz,2465201,64866443059c0d0346ff67c9152126d9046e4294b1f023c69d92b85e2f25d5a9
CHECKPOINT_EVALUATION_RECEIPT,LM,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-07500/evaluation-receipt.json,17864,cc1b55086594cffde936113ff0cccd0ede41368af47678a2c3109ea25e846141
REQUEST_METRICS,LM,7500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-07500/request-metrics.jsonl.gz,3753415,f5979685e54097edb55fa84359052830d292bcf1bae3a79916271cf86b2e9ccb
CHECKPOINT_EVALUATION_RECEIPT,LM,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-10000/evaluation-receipt.json,17716,379fe56c0eb2a8d3ba9d3bb08c1dd7a749e6cf0ffa33a95d5259db16814ad3ee
REQUEST_METRICS,LM,10000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-0/checkpoint-10000/request-metrics.jsonl.gz,4993656,77d406199cde788acfa95c122e75c04ffa84328459554de624479b3adb750b2f
CELL_TERMINAL,LA,TERMINAL,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/terminal.json,9859,a0b1d438abdff94f060700382e8975aedbdcce385ba3c44132f0d80e658cbb6f
CHECKPOINT_EVALUATION_RECEIPT,LA,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-01000/evaluation-receipt.json,17624,1f433b78edbe1fdd5e7df2546d0ceec2ca6e56a786d485b64be214e8fd826bf8
REQUEST_METRICS,LA,1000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-01000/request-metrics.jsonl.gz,512674,a9a606ab144d5a7c8866645bcf5e99cc90ab3461d7dcacda57373590f524d697
CHECKPOINT_EVALUATION_RECEIPT,LA,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-01500/evaluation-receipt.json,17767,d1c22c9ae9a91e82fa51997de87d8fc2db379a9b6280d9fe500db0f19c3be4ea
REQUEST_METRICS,LA,1500,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-01500/request-metrics.jsonl.gz,768690,976e56e28c076bb1655afac04dab1837e28758c622a8e0ffa643a2622de3d303
CHECKPOINT_EVALUATION_RECEIPT,LA,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-02000/evaluation-receipt.json,17629,9beeb998e38118cf698541a28a3c1cbb6c50c52df9dba4d88eeb5713c72585dc
REQUEST_METRICS,LA,2000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-02000/request-metrics.jsonl.gz,1024586,cfa9d2cec7d4471e3f25a04e0127c04a893e50a95d4194ced477b0f5b4217986
CHECKPOINT_EVALUATION_RECEIPT,LA,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-03000/evaluation-receipt.json,17812,67f381ba08b57cf1f964609a5aaa0eb707f650517551b788a96b180cbea92064
REQUEST_METRICS,LA,3000,/data/janghj/ODE-edit/local/results/official-layer-realization-debt-lifelong-finalw-full10k-v1/campaign-20260903-tech-r3/cell-1/checkpoint-03000/request-metrics.jsonl.gz,1533810,cb131f71aa9db376a4501ce1d11dd9ec757900fc2b1368791a891f1cc671aad8
