arm,category,from_checkpoint,to_checkpoint,span,from_prompt_denominator,to_prompt_denominator,from_strict_rate,to_strict_rate,delta_strict_rate,from_request_cluster_nll_mean,to_request_cluster_nll_mean,delta_request_cluster_nll_mean,from_request_cluster_nll_median,to_request_cluster_nll_median,delta_request_cluster_nll_median,from_request_cluster_nll_p90,to_request_cluster_nll_p90,delta_request_cluster_nll_p90,from_request_cluster_nll_max,to_request_cluster_nll_max,delta_request_cluster_nll_max,from_request_cluster_min_margin_mean,to_request_cluster_min_margin_mean,delta_request_cluster_min_margin_mean,from_request_cluster_min_margin_median,to_request_cluster_min_margin_median,delta_request_cluster_min_margin_median,from_request_cluster_min_margin_p90,to_request_cluster_min_margin_p90,delta_request_cluster_min_margin_p90,from_request_cluster_min_margin_max,to_request_cluster_min_margin_max,delta_request_cluster_min_margin_max,from_prompt_nll_mean,to_prompt_nll_mean,delta_prompt_nll_mean,from_prompt_nll_median,to_prompt_nll_median,delta_prompt_nll_median,from_prompt_nll_p90,to_prompt_nll_p90,delta_prompt_nll_p90,from_prompt_nll_max,to_prompt_nll_max,delta_prompt_nll_max,from_prompt_margin_mean,to_prompt_margin_mean,delta_prompt_margin_mean,from_prompt_margin_median,to_prompt_margin_median,delta_prompt_margin_median,from_prompt_margin_p90,to_prompt_margin_p90,delta_prompt_margin_p90,from_prompt_margin_max,to_prompt_margin_max,delta_prompt_margin_max
LM,rewrite_target_new,1000,1500,ADJACENT,1000,1500,0.835,0.4073333333333333,-0.42766666666666664,0.8104223411611019,3.5830439918278953,2.7726216506667933,0.035998137667775154,2.676129102706909,2.640130965039134,2.711942267417909,8.695361709594726,5.983419442176817,20.606212615966797,23.594017028808594,2.987804412841797,3.4687465505599975,-1.2037656002044679,-4.672512150764465,4.392324447631836,-1.244215965270996,-5.636540412902832,7.449296760559083,5.195506572723389,-2.253790187835694,11.231459617614746,14.846019744873047,3.614560127258301,0.8104223411611019,3.5830439918278953,2.7726216506667933,0.035998137667775154,2.676129102706909,2.640130965039134,2.711942267417909,8.695361709594726,5.983419442176817,20.606212615966797,23.594017028808594,2.987804412841797,3.4687465505599975,-1.2037656002044679,-4.672512150764465,4.392324447631836,-1.244215965270996,-5.636540412902832,7.449296760559083,5.195506572723389,-2.253790187835694,11.231459617614746,14.846019744873047,3.614560127258301
LM,rewrite_target_new,1500,2000,ADJACENT,1500,2000,0.4073333333333333,0.178,-0.22933333333333333,3.5830439918278953,7.575389695443604,3.992345703615709,2.676129102706909,8.295914649963379,5.61978554725647,8.695361709594726,13.005160331726074,4.309798622131348,23.594017028808594,21.354902267456055,-2.239114761352539,-1.2037656002044679,-4.510416744232177,-3.3066511440277093,-1.244215965270996,-5.39510703086853,-4.150891065597534,5.195506572723389,3.439254188537604,-1.7562523841857849,14.846019744873047,14.848405838012695,0.0023860931396484375,3.5830439918278953,7.575389695443604,3.992345703615709,2.676129102706909,8.295914649963379,5.61978554725647,8.695361709594726,13.005160331726074,4.309798622131348,23.594017028808594,21.354902267456055,-2.239114761352539,-1.2037656002044679,-4.510416744232177,-3.3066511440277093,-1.244215965270996,-5.39510703086853,-4.150891065597534,5.195506572723389,3.439254188537604,-1.7562523841857849,14.846019744873047,14.848405838012695,0.0023860931396484375
LM,rewrite_target_new,2000,3000,ADJACENT,2000,3000,0.178,0.209,0.031,7.575389695443604,7.134749631019879,-0.44064006442372516,8.295914649963379,7.359511613845825,-0.9364030361175537,13.005160331726074,12.652173709869384,-0.35298662185669016,21.354902267456055,19.1762638092041,-2.178638458251953,-4.510416744232177,-4.316013041337331,0.19440370289484665,-5.39510703086853,-4.797649145126343,0.5974578857421875,3.439254188537604,2.790267372131346,-0.648986816406258,14.848405838012695,12.606315612792969,-2.2420902252197266,7.575389695443604,7.134749631019879,-0.44064006442372516,8.295914649963379,7.359511613845825,-0.9364030361175537,13.005160331726074,12.652173709869384,-0.35298662185669016,21.354902267456055,19.1762638092041,-2.178638458251953,-4.510416744232177,-4.316013041337331,0.19440370289484665,-5.39510703086853,-4.797649145126343,0.5974578857421875,3.439254188537604,2.790267372131346,-0.648986816406258,14.848405838012695,12.606315612792969,-2.2420902252197266
LM,rewrite_target_new,3000,5000,ADJACENT,3000,5000,0.209,0.0162,-0.1928,7.134749631019879,12.492336864541937,5.357587233522057,7.359511613845825,12.933507442474365,5.57399582862854,12.652173709869384,15.783143329620362,3.130969619750978,19.1762638092041,20.441429138183594,1.2651653289794922,-4.316013041337331,-8.528056557178497,-4.212043515841166,-4.797649145126343,-8.875128269195557,-4.077479124069214,2.790267372131346,-4.789244508743283,-7.5795118808746285,12.606315612792969,6.489032745361328,-6.117282867431641,7.134749631019879,12.492336864541937,5.357587233522057,7.359511613845825,12.933507442474365,5.57399582862854,12.652173709869384,15.783143329620362,3.130969619750978,19.1762638092041,20.441429138183594,1.2651653289794922,-4.316013041337331,-8.528056557178497,-4.212043515841166,-4.797649145126343,-8.875128269195557,-4.077479124069214,2.790267372131346,-4.789244508743283,-7.5795118808746285,12.606315612792969,6.489032745361328,-6.117282867431641
LM,rewrite_target_new,5000,7500,ADJACENT,5000,7500,0.0162,0.09333333333333334,0.07713333333333333,12.492336864541937,9.213099184705298,-3.2792376798366387,12.933507442474365,9.861515998840332,-3.071991443634033,15.783143329620362,14.067649841308594,-1.7154934883117683,20.441429138183594,22.564563751220703,2.1231346130371094,-8.528056557178497,-6.7242073094685875,1.803849247709909,-8.875128269195557,-7.127200365066528,1.7479279041290283,-4.789244508743283,-0.28677778244018526,4.502466726303098,6.489032745361328,10.9019136428833,4.412880897521973,12.492336864541937,9.213099184705298,-3.2792376798366387,12.933507442474365,9.861515998840332,-3.071991443634033,15.783143329620362,14.067649841308594,-1.7154934883117683,20.441429138183594,22.564563751220703,2.1231346130371094,-8.528056557178497,-6.7242073094685875,1.803849247709909,-8.875128269195557,-7.127200365066528,1.7479279041290283,-4.789244508743283,-0.28677778244018526,4.502466726303098,6.489032745361328,10.9019136428833,4.412880897521973
LM,rewrite_target_new,7500,10000,ADJACENT,7500,10000,0.09333333333333334,0.0357,-0.057633333333333335,9.213099184705298,10.917193020340987,1.704093835635689,9.861515998840332,11.348133563995361,1.4866175651550293,14.067649841308594,15.594786262512208,1.5271364212036147,22.564563751220703,28.07003402709961,5.505470275878906,-6.7242073094685875,-8.931875489401817,-2.207668179933229,-7.127200365066528,-8.858675003051758,-1.7314746379852295,-0.28677778244018526,-3.176850843429565,-2.8900730609893794,10.9019136428833,12.204072952270508,1.302159309387207,9.213099184705298,10.917193020340987,1.704093835635689,9.861515998840332,11.348133563995361,1.4866175651550293,14.067649841308594,15.594786262512208,1.5271364212036147,22.564563751220703,28.07003402709961,5.505470275878906,-6.7242073094685875,-8.931875489401817,-2.207668179933229,-7.127200365066528,-8.858675003051758,-1.7314746379852295,-0.28677778244018526,-3.176850843429565,-2.8900730609893794,10.9019136428833,12.204072952270508,1.302159309387207
LM,rewrite_target_new,1000,10000,TOTAL_1K_TO_10K,1000,10000,0.835,0.0357,-0.7993,0.8104223411611019,10.917193020340987,10.106770679179885,0.035998137667775154,11.348133563995361,11.312135426327586,2.711942267417909,15.594786262512208,12.8828439950943,20.606212615966797,28.07003402709961,7.4638214111328125,3.4687465505599975,-8.931875489401817,-12.400622039961814,4.392324447631836,-8.858675003051758,-13.250999450683594,7.449296760559083,-3.176850843429565,-10.626147603988647,11.231459617614746,12.204072952270508,0.9726133346557617,0.8104223411611019,10.917193020340987,10.106770679179885,0.035998137667775154,11.348133563995361,11.312135426327586,2.711942267417909,15.594786262512208,12.8828439950943,20.606212615966797,28.07003402709961,7.4638214111328125,3.4687465505599975,-8.931875489401817,-12.400622039961814,4.392324447631836,-8.858675003051758,-13.250999450683594,7.449296760559083,-3.176850843429565,-10.626147603988647,11.231459617614746,12.204072952270508,0.9726133346557617
LM,rewrite_target_true,1000,1500,ADJACENT,1000,1500,0.015,0.07,0.05500000000000001,9.805417153328657,6.631085171118379,-3.174331982210278,9.662907123565674,5.997668266296387,-3.665238857269287,15.67341194152832,11.872179222106935,-3.8012327194213853,25.019447326660156,27.29554557800293,2.2760982513427734,-9.564687481880188,-5.616137479146322,3.9485500027338665,-9.554526805877686,-4.959574222564697,4.594952583312988,-3.495855808258055,-0.5200624465942374,2.9757933616638175,2.9590511322021484,3.347209930419922,0.38815879821777344,9.805417153328657,6.631085171118379,-3.174331982210278,9.662907123565674,5.997668266296387,-3.665238857269287,15.67341194152832,11.872179222106935,-3.8012327194213853,25.019447326660156,27.29554557800293,2.2760982513427734,-9.564687481880188,-5.616137479146322,3.9485500027338665,-9.554526805877686,-4.959574222564697,4.594952583312988,-3.495855808258055,-0.5200624465942374,2.9757933616638175,2.9590511322021484,3.347209930419922,0.38815879821777344
LM,rewrite_target_true,1500,2000,ADJACENT,1500,2000,0.07,0.027,-0.04300000000000001,6.631085171118379,9.725814677764662,3.094729506646283,5.997668266296387,9.820865631103516,3.823197364807129,11.872179222106935,13.973549079895019,2.101369857788084,27.29554557800293,25.464021682739258,-1.8315238952636719,-5.616137479146322,-7.39152802991867,-1.7753905507723484,-4.959574222564697,-7.057997465133667,-2.0984232425689697,-0.5200624465942374,-2.6500959396362296,-2.130033493041992,3.347209930419922,4.750299453735352,1.4030895233154297,6.631085171118379,9.725814677764662,3.094729506646283,5.997668266296387,9.820865631103516,3.823197364807129,11.872179222106935,13.973549079895019,2.101369857788084,27.29554557800293,25.464021682739258,-1.8315238952636719,-5.616137479146322,-7.39152802991867,-1.7753905507723484,-4.959574222564697,-7.057997465133667,-2.0984232425689697,-0.5200624465942374,-2.6500959396362296,-2.130033493041992,3.347209930419922,4.750299453735352,1.4030895233154297
LM,rewrite_target_true,2000,3000,ADJACENT,2000,3000,0.027,0.023333333333333334,-0.0036666666666666653,9.725814677764662,9.699533455673604,-0.026281222091057543,9.820865631103516,9.877001285552979,0.05613565444946289,13.973549079895019,13.655440711975098,-0.3181083679199208,25.464021682739258,29.691450119018555,4.227428436279297,-7.39152802991867,-7.443244425614675,-0.051716395696004724,-7.057997465133667,-7.42364239692688,-0.3656449317932129,-2.6500959396362296,-2.8029911994934094,-0.15289525985717978,4.750299453735352,5.164027214050293,0.4137277603149414,9.725814677764662,9.699533455673604,-0.026281222091057543,9.820865631103516,9.877001285552979,0.05613565444946289,13.973549079895019,13.655440711975098,-0.3181083679199208,25.464021682739258,29.691450119018555,4.227428436279297,-7.39152802991867,-7.443244425614675,-0.051716395696004724,-7.057997465133667,-7.42364239692688,-0.3656449317932129,-2.6500959396362296,-2.8029911994934094,-0.15289525985717978,4.750299453735352,5.164027214050293,0.4137277603149414
