arm,model,method,accepted_edit_count,metric,numerator,denominator,rate,tie_count,bit_vector_sha256,prompt_order_sha256,ordered_nll_pair_sha256,target_new_nll_n,target_new_nll_mean,target_new_nll_median,target_new_nll_p90,target_new_nll_max,target_true_nll_n,target_true_nll_mean,target_true_nll_median,target_true_nll_p90,target_true_nll_max,nll_advantage_n,nll_advantage_mean,nll_advantage_median,nll_advantage_p90,nll_advantage_max
LM,llama3-8b-inst,memit,1000,RS,947,1000,0.947,0,c3265de63acf89ae02f63c975c96a330b06c8a539ef2b5680bbb251a45f8c173,f4f6d988dc63d104fcb106a70a16c222fc0ca47aa2a170a462e764f045d30cc3,0642ec6ad7c734fa7f1b43f21487f638538328279a0ad436012ff77b97894e86,1000,0.8104223411611019,0.035998137667775154,2.711942267417909,20.606212615966797,1000,9.805417153328657,9.662907123565674,15.67341194152832,25.019447326660156,1000,8.994994812167555,9.31774596835021,15.415029291622341,25.01912026986247
LM,llama3-8b-inst,memit,1000,PS,1763,2000,0.8815,0,55971a8d0f911c9f7efad4570437b9f36f9a879e2aa5e91fa6adc69b2d25771b,a3823c1152b8c58e06b253520a4573e568d4931fe65430431bb9636ea4e07965,c5d5315a38143f98bfe16310117917b68457ccc88344fe97f38d99357ea3da48,2000,1.8943529060203363,0.5295837819576263,5.949860239028932,20.172945022583008,2000,8.136218225722201,7.843527555465698,13.342352485656741,23.809892654418945,2000,6.241865319701865,6.285753354430199,12.748463760549205,23.809054844954517
LM,llama3-8b-inst,memit,1000,NS,7266,10000,0.7266,0,3b2c905003be0bc5d287e491e7a7fd8ab1404ba4aee716cc275528cc2d13ee40,f242d5a845845202ac0ec162d1ea5b8afd7a76ca49651e644af9f449b1a74b51,db579fdd5ab5999f6b07e832728735f147d859da4aa425e3f5b5ad99af6edd9c,10000,7.307191502509801,7.247482776641846,12.254943943023685,21.857622146606445,10000,4.563974182712345,3.944988250732422,9.24437265396118,21.192195892333984,10000,2.7432173197974565,2.6397743225097656,8.692797112464905,21.690813153982162
LM,llama3-8b-inst,memit,1500,RS,1065,1500,0.71,0,808cc9bf5a8b55731964ec2c14505577bcc386594e70a80f231465ad0c6b7a65,5f37a3c3e429edd4d1e1704ce3456449a2aec211ad0642482c23b5dfbbf3466b,38058582a825deffbef71fa38e5c8a2cd4f370bdb2a721e86b59950b82eb27fa,1500,3.5830439918278953,2.676129102706909,8.695361709594726,23.594017028808594,1500,6.631085171118379,5.997668266296387,11.872179222106935,27.29554557800293,1500,3.0480411792904833,2.5957398414611816,10.20036838365486,27.295544266701654
LM,llama3-8b-inst,memit,1500,PS,2022,3000,0.674,0,a444c95b251b51fc9bb1876c7d8264cc7959c7577a0a3f336a0ee2ea4e6c500b,7795ef737dcf36b98a4f097d55ea903fc158397b376d19cab805317cdeb9078b,5fece1797fb1568aa2f91f9acb2cbff59c004e5f683cf45031cacf9ea93eb98e,3000,4.286581596309089,3.4733108282089233,9.79730806350708,22.938312530517578,3000,6.656489161849022,6.141827821731567,11.631984519958491,25.46278190612793,3000,2.3699075655399326,1.9562254548072815,8.682793271541597,25.29933452786645
LM,llama3-8b-inst,memit,1500,NS,9761,15000,0.6507333333333334,0,e6196182f5c0929dcf6083d1cc29dbc41c6ba855c8888d6c18f143e398df674a,65e0c7b61c139c4a55852f50e5973c85d6aec486a4b56392f43b18b4ac63b73f,4bca1050c8eae13ce907d84ab08e918426fc66f9d13db4eb5d534e3c39e60063,15000,6.409656604034945,6.048229455947876,11.06666841506958,23.497472763061523,15000,5.028485369831696,4.480114936828613,9.575275325775147,22.15464973449707,15000,1.381171234203249,1.3739409446716309,6.207590101100505,16.99090963602066
LM,llama3-8b-inst,memit,2000,RS,1261,2000,0.6305,0,6c69bf4eafc3d95ac1cd10a6bdbf2047656ac6dbc667c7d1c4b47611e12b0921,1e0c040b7134be97c6e034081f8178c9b5b80b66a60c47b8c6f423cce7f8c3e1,b9e62f764739d7da3a07582951817f88c6f2722c9b39afeab65d9695508b0cb8,2000,7.575389695443604,8.295914649963379,13.005160331726074,21.354902267456055,2000,9.725814677764662,9.820865631103516,13.973549079895019,25.464021682739258,2000,2.150424982321058,1.532151222229004,9.516155815124517,25.463692123361398
LM,llama3-8b-inst,memit,2000,PS,2394,4000,0.5985,0,3710ae10047398fbf62a88331a91d6fcce136ff2ea6d1c55bb3661d90f0501d0,f83d126bca05d945b96ad6fd6be3fbe62a3ebf92da6f6fe471840f846b3fd3f4,9df7dc4eda23d4069e6e3d37b0803f783613d6e95d007c6bbe312860a475f767,4000,8.342227600236903,9.048738956451416,13.43804655075073,23.59037971496582,4000,9.872565556348302,10.095540046691895,13.968433856964111,28.146787643432617,4000,1.5303379561113977,1.022733211517334,7.781220293045044,28.146787524223335
LM,llama3-8b-inst,memit,2000,NS,10312,20000,0.5156,0,7731d4e704a12fdbb11dad5fe9784f64be71c8920a6eb8c55baa58a84b01ea69,6e15cc2ce5b3712143bf064d6a400eae5ead013895912a97e522613521ec6acf,24adb56fa6fd3f3398a313d73e7daa023bfec1d6a5c299eed22486c061353eef,20000,9.540306943105143,9.882492065429688,13.68857011795044,27.12847328186035,20000,9.318678467089077,9.643033027648926,13.309698295593263,27.43682289123535,20000,0.22162847601606572,0.13846826553344727,5.048696422576912,22.585590936243534
LM,llama3-8b-inst,memit,3000,RS,2016,3000,0.672,0,4f656dd55879342e3eae36dd8a7833f358179db3da3751e1cc1eec48124ce7ae,1c84db68934a6380e7722e30d0fead9e87e180f9e5945657daf3ece24f03af38,9b7201327477a0c139a1f173cf346ea1dc89fbcf28567946e244c270a54bd0e4,3000,7.134749631019879,7.359511613845825,12.652173709869384,19.1762638092041,3000,9.699533455673604,9.877001285552979,13.655440711975098,29.691450119018555,3000,2.5647838246537265,2.1909232139587402,9.230908095836638,29.691446065910895
