arm,from_checkpoint,to_checkpoint,span,metric,from_value,to_value,delta
LM,1000,1500,ADJACENT,rs,0.947,0.71,-0.237
LM,1000,1500,ADJACENT,ps,0.8815,0.674,-0.2074999999999999
LM,1000,1500,ADJACENT,ns,0.7266,0.6507333333333334,-0.07586666666666664
LM,1000,1500,ADJACENT,rewrite_acc,0.835,0.4073333333333333,-0.42766666666666664
LM,1000,1500,ADJACENT,rephrase_acc,0.6225,0.33166666666666667,-0.2908333333333334
LM,1000,1500,ADJACENT,rephrase_acc_strict_all_2,0.484,0.23533333333333334,-0.24866666666666665
LM,1000,1500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.1912,0.16613333333333333,-0.02506666666666668
LM,1500,2000,ADJACENT,rs,0.71,0.6305,-0.07950000000000002
LM,1500,2000,ADJACENT,ps,0.674,0.5985,-0.07550000000000001
LM,1500,2000,ADJACENT,ns,0.6507333333333334,0.5156,-0.13513333333333344
LM,1500,2000,ADJACENT,rewrite_acc,0.4073333333333333,0.178,-0.22933333333333333
LM,1500,2000,ADJACENT,rephrase_acc,0.33166666666666667,0.13225,-0.19941666666666666
LM,1500,2000,ADJACENT,rephrase_acc_strict_all_2,0.23533333333333334,0.0795,-0.15583333333333332
LM,1500,2000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.16613333333333333,0.0314,-0.13473333333333332
LM,2000,3000,ADJACENT,rs,0.6305,0.672,0.04150000000000009
LM,2000,3000,ADJACENT,ps,0.5985,0.622,0.023499999999999965
LM,2000,3000,ADJACENT,ns,0.5156,0.494,-0.021599999999999953
LM,2000,3000,ADJACENT,rewrite_acc,0.178,0.209,0.031
LM,2000,3000,ADJACENT,rephrase_acc,0.13225,0.07616666666666666,-0.056083333333333346
LM,2000,3000,ADJACENT,rephrase_acc_strict_all_2,0.0795,0.033666666666666664,-0.04583333333333334
LM,2000,3000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0314,0.028366666666666665,-0.0030333333333333323
LM,3000,5000,ADJACENT,rs,0.672,0.5842,-0.08779999999999999
LM,3000,5000,ADJACENT,ps,0.622,0.5413,-0.0807
LM,3000,5000,ADJACENT,ns,0.494,0.48344,-0.010560000000000014
LM,3000,5000,ADJACENT,rewrite_acc,0.209,0.0162,-0.1928
LM,3000,5000,ADJACENT,rephrase_acc,0.07616666666666666,0.0036,-0.07256666666666665
LM,3000,5000,ADJACENT,rephrase_acc_strict_all_2,0.033666666666666664,0.001,-0.03266666666666666
LM,3000,5000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.028366666666666665,0.00078,-0.027586666666666666
LM,5000,7500,ADJACENT,rs,0.5842,0.6698666666666667,0.08566666666666667
LM,5000,7500,ADJACENT,ps,0.5413,0.5930666666666666,0.05176666666666663
LM,5000,7500,ADJACENT,ns,0.48344,0.50252,0.019079999999999986
LM,5000,7500,ADJACENT,rewrite_acc,0.0162,0.09333333333333334,0.07713333333333333
LM,5000,7500,ADJACENT,rephrase_acc,0.0036,0.031733333333333336,0.028133333333333337
LM,5000,7500,ADJACENT,rephrase_acc_strict_all_2,0.001,0.01,0.009000000000000001
LM,5000,7500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.00078,0.01776,0.016980000000000002
LM,7500,10000,ADJACENT,rs,0.6698666666666667,0.6021,-0.06776666666666675
LM,7500,10000,ADJACENT,ps,0.5930666666666666,0.54905,-0.04401666666666659
LM,7500,10000,ADJACENT,ns,0.50252,0.49895,-0.003569999999999962
LM,7500,10000,ADJACENT,rewrite_acc,0.09333333333333334,0.0357,-0.057633333333333335
LM,7500,10000,ADJACENT,rephrase_acc,0.031733333333333336,0.01675,-0.014983333333333335
LM,7500,10000,ADJACENT,rephrase_acc_strict_all_2,0.01,0.0053,-0.0047
LM,7500,10000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.01776,0.00648,-0.011280000000000002
LM,1000,10000,TOTAL_1K_TO_10K,rs,0.947,0.6021,-0.3449
LM,1000,10000,TOTAL_1K_TO_10K,ps,0.8815,0.54905,-0.3324499999999999
LM,1000,10000,TOTAL_1K_TO_10K,ns,0.7266,0.49895,-0.22765000000000002
LM,1000,10000,TOTAL_1K_TO_10K,rewrite_acc,0.835,0.0357,-0.7993
LM,1000,10000,TOTAL_1K_TO_10K,rephrase_acc,0.6225,0.01675,-0.60575
LM,1000,10000,TOTAL_1K_TO_10K,rephrase_acc_strict_all_2,0.484,0.0053,-0.47869999999999996
LM,1000,10000,TOTAL_1K_TO_10K,neighborhood_target_true_teacher_forced_acc,0.1912,0.00648,-0.18472
LA,1000,1500,ADJACENT,rs,0.999,0.9966666666666667,-0.0023333333333332984
LA,1000,1500,ADJACENT,ps,0.9565,0.9556666666666667,-0.0008333333333333526
LA,1000,1500,ADJACENT,ns,0.778,0.7514,-0.026600000000000068
LA,1000,1500,ADJACENT,rewrite_acc,0.994,0.992,-0.0020000000000000018
LA,1000,1500,ADJACENT,rephrase_acc,0.725,0.7473333333333333,0.022333333333333316
LA,1000,1500,ADJACENT,rephrase_acc_strict_all_2,0.585,0.6066666666666667,0.021666666666666723
LA,1000,1500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.213,0.196,-0.016999999999999987
LA,1500,2000,ADJACENT,rs,0.9966666666666667,0.997,0.0003333333333332966
LA,1500,2000,ADJACENT,ps,0.9556666666666667,0.9555,-0.0001666666666666483
LA,1500,2000,ADJACENT,ns,0.7514,0.7247,-0.026699999999999946
LA,1500,2000,ADJACENT,rewrite_acc,0.992,0.9865,-0.005499999999999949
LA,1500,2000,ADJACENT,rephrase_acc,0.7473333333333333,0.75475,0.007416666666666738
LA,1500,2000,ADJACENT,rephrase_acc_strict_all_2,0.6066666666666667,0.61,0.0033333333333332993
LA,1500,2000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.196,0.17455,-0.021449999999999997
LA,2000,3000,ADJACENT,rs,0.997,0.9923333333333333,-0.004666666666666708
LA,2000,3000,ADJACENT,ps,0.9555,0.9495,-0.006000000000000005
LA,2000,3000,ADJACENT,ns,0.7247,0.6775,-0.04720000000000002
LA,2000,3000,ADJACENT,rewrite_acc,0.9865,0.96,-0.02650000000000008
LA,2000,3000,ADJACENT,rephrase_acc,0.75475,0.7305,-0.024249999999999994
LA,2000,3000,ADJACENT,rephrase_acc_strict_all_2,0.61,0.5826666666666667,-0.02733333333333332
LA,2000,3000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.17455,0.15096666666666667,-0.023583333333333345
LA,3000,5000,ADJACENT,rs,0.9923333333333333,0.9142,-0.07813333333333328
LA,3000,5000,ADJACENT,ps,0.9495,0.8417,-0.1078
LA,3000,5000,ADJACENT,ns,0.6775,0.6065,-0.07099999999999995
LA,3000,5000,ADJACENT,rewrite_acc,0.96,0.6586,-0.3014
LA,3000,5000,ADJACENT,rephrase_acc,0.7305,0.4476,-0.28290000000000004
LA,3000,5000,ADJACENT,rephrase_acc_strict_all_2,0.5826666666666667,0.2758,-0.3068666666666667
LA,3000,5000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.15096666666666667,0.0763,-0.07466666666666666
LA,5000,7500,ADJACENT,rs,0.9142,0.6708,-0.24340000000000006
LA,5000,7500,ADJACENT,ps,0.8417,0.6064,-0.23529999999999995
LA,5000,7500,ADJACENT,ns,0.6065,0.5395466666666666,-0.06695333333333342
LA,5000,7500,ADJACENT,rewrite_acc,0.6586,0.19573333333333334,-0.46286666666666665
LA,5000,7500,ADJACENT,rephrase_acc,0.4476,0.09326666666666666,-0.35433333333333333
LA,5000,7500,ADJACENT,rephrase_acc_strict_all_2,0.2758,0.0456,-0.2302
LA,5000,7500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0763,0.016746666666666667,-0.05955333333333334
LA,7500,10000,ADJACENT,rs,0.6708,0.6785,0.00770000000000004
LA,7500,10000,ADJACENT,ps,0.6064,0.61425,0.007849999999999913
LA,7500,10000,ADJACENT,ns,0.5395466666666666,0.50918,-0.030366666666666653
LA,7500,10000,ADJACENT,rewrite_acc,0.19573333333333334,0.2013,0.005566666666666664
LA,7500,10000,ADJACENT,rephrase_acc,0.09326666666666666,0.08635,-0.006916666666666668
LA,7500,10000,ADJACENT,rephrase_acc_strict_all_2,0.0456,0.0426,-0.0030000000000000027
LA,7500,10000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.016746666666666667,0.01413,-0.0026166666666666664
LA,1000,10000,TOTAL_1K_TO_10K,rs,0.999,0.6785,-0.3205
LA,1000,10000,TOTAL_1K_TO_10K,ps,0.9565,0.61425,-0.34225000000000005
LA,1000,10000,TOTAL_1K_TO_10K,ns,0.778,0.50918,-0.26882000000000006
LA,1000,10000,TOTAL_1K_TO_10K,rewrite_acc,0.994,0.2013,-0.7927
LA,1000,10000,TOTAL_1K_TO_10K,rephrase_acc,0.725,0.08635,-0.6386499999999999
LA,1000,10000,TOTAL_1K_TO_10K,rephrase_acc_strict_all_2,0.585,0.0426,-0.5424
LA,1000,10000,TOTAL_1K_TO_10K,neighborhood_target_true_teacher_forced_acc,0.213,0.01413,-0.19887
QM,1000,1500,ADJACENT,rs,0.985,0.8626666666666667,-0.1223333333333333
QM,1000,1500,ADJACENT,ps,0.9685,0.8063333333333333,-0.16216666666666668
QM,1000,1500,ADJACENT,ns,0.6948,0.6200666666666667,-0.07473333333333332
QM,1000,1500,ADJACENT,rewrite_acc,0.93,0.56,-0.37
QM,1000,1500,ADJACENT,rephrase_acc,0.7,0.37166666666666665,-0.3283333333333333
QM,1000,1500,ADJACENT,rephrase_acc_strict_all_2,0.541,0.198,-0.343
QM,1000,1500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.1235,0.07946666666666667,-0.04403333333333333
QM,1500,2000,ADJACENT,rs,0.8626666666666667,0.7065,-0.15616666666666668
QM,1500,2000,ADJACENT,ps,0.8063333333333333,0.6805,-0.12583333333333335
QM,1500,2000,ADJACENT,ns,0.6200666666666667,0.54325,-0.07681666666666664
QM,1500,2000,ADJACENT,rewrite_acc,0.56,0.267,-0.29300000000000004
QM,1500,2000,ADJACENT,rephrase_acc,0.37166666666666665,0.1965,-0.17516666666666664
QM,1500,2000,ADJACENT,rephrase_acc_strict_all_2,0.198,0.1215,-0.07650000000000001
QM,1500,2000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.07946666666666667,0.0312,-0.04826666666666667
QM,2000,3000,ADJACENT,rs,0.7065,0.565,-0.14150000000000007
QM,2000,3000,ADJACENT,ps,0.6805,0.5555,-0.125
QM,2000,3000,ADJACENT,ns,0.54325,0.48513333333333336,-0.05811666666666665
QM,2000,3000,ADJACENT,rewrite_acc,0.267,0.015333333333333332,-0.2516666666666667
QM,2000,3000,ADJACENT,rephrase_acc,0.1965,0.006333333333333333,-0.19016666666666668
QM,2000,3000,ADJACENT,rephrase_acc_strict_all_2,0.1215,0.001,-0.1205
QM,2000,3000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0312,0.0006333333333333333,-0.030566666666666666
QM,3000,5000,ADJACENT,rs,0.565,0.5392,-0.025799999999999934
QM,3000,5000,ADJACENT,ps,0.5555,0.5334,-0.02210000000000001
QM,3000,5000,ADJACENT,ns,0.48513333333333336,0.4769,-0.00823333333333337
QM,3000,5000,ADJACENT,rewrite_acc,0.015333333333333332,0.0002,-0.015133333333333332
QM,3000,5000,ADJACENT,rephrase_acc,0.006333333333333333,0.0001,-0.006233333333333333
QM,3000,5000,ADJACENT,rephrase_acc_strict_all_2,0.001,0.0,-0.001
QM,3000,5000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0006333333333333333,0.0,-0.0006333333333333333
QM,5000,7500,ADJACENT,rs,0.5392,0.5289333333333334,-0.010266666666666646
QM,5000,7500,ADJACENT,ps,0.5334,0.5243333333333333,-0.009066666666666667
QM,5000,7500,ADJACENT,ns,0.4769,0.48428,0.007379999999999998
QM,5000,7500,ADJACENT,rewrite_acc,0.0002,0.00013333333333333334,-6.666666666666667e-05
QM,5000,7500,ADJACENT,rephrase_acc,0.0001,6.666666666666667e-05,-3.3333333333333335e-05
QM,5000,7500,ADJACENT,rephrase_acc_strict_all_2,0.0,0.0,0.0
QM,5000,7500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0,0.0,0.0
