model,method,batch_index,request_denominator,q_pre_L4_median,q_pre_L5_median,q_pre_L6_median,q_pre_L7_median,q_pre_L8_median,q_post_L8_median,q_pre_L8_gt_0_2_numerator,q_pre_L8_gt_0_2_denominator,d_parallel_median,d_perp_median,recurrence_closure_max,target_new_nll_median,target_true_nll_median
llama3-8b-inst,memit,1,10,1.0,0.934576186008812,0.8694836758364514,0.7786525622871531,0.6448742574305011,0.2558875831310081,10,10,0.28833461989865516,0.3801199074994791,5.101110312888425e-18,0.0027484616730362177,11.648803234100342
llama3-8b-inst,memit,2,10,1.0,0.9619560319199052,0.9069637219615598,0.8215282960343722,0.6535581342874913,0.2906562892373371,10,10,0.30465605629708925,0.3985643940365666,5.034581531000312e-18,0.00469398929271847,14.219922542572021
llama3-8b-inst,memit,3,10,1.0,0.9565951851588816,0.9149218285903247,0.830915458803547,0.6659906604445329,0.2980369766927502,10,10,0.3105789631002869,0.41188713516296227,6.292695403398132e-18,0.00329558621160686,12.267675399780273
llama3-8b-inst,memit,4,10,1.0,0.93588088541905,0.8718363054343615,0.7795315348174512,0.6136296659007405,0.26709424422462513,10,10,0.2882596610010897,0.3666460141551491,5.033999639757557e-18,0.0043600068893283606,9.856491565704346
llama3-8b-inst,memit,5,10,1.0,0.9516781986695334,0.8817424485677081,0.7882977014117314,0.6473773765152769,0.2635859329603678,10,10,0.2923718691161132,0.40478847146754704,5.710896759819907e-18,0.0030957538401708007,11.170141220092773
llama3-8b-inst,memit,6,10,1.0,0.9572357693551721,0.9094270454083034,0.8295925568588784,0.6694338259899806,0.29116475859970975,10,10,0.3081507095643645,0.41500952661976875,5.643883238771003e-18,0.002371358103118837,13.872458457946777
llama3-8b-inst,memit,7,10,1.0,0.9536481194580835,0.9016361968592604,0.8171846913373184,0.6614448548779267,0.2908835092612344,10,10,0.31279339493049907,0.3953916317398106,4.929583806905225e-18,0.004273906466551125,11.817473888397217
llama3-8b-inst,memit,8,10,1.0,0.9481273021027132,0.8790569195001223,0.7868552840013552,0.6450766134939713,0.28524236819909105,10,10,0.29088081361787954,0.4075359976959908,5.953932066930733e-18,0.0026564004365354776,10.59011173248291
llama3-8b-inst,memit,9,10,1.0,0.938048380391657,0.8691852298561782,0.7759317326832164,0.6320046775650902,0.26743566102231264,10,10,0.29283332993066347,0.3856189787717159,5.375611159232254e-18,0.0012818041141144931,13.241962909698486
llama3-8b-inst,memit,10,10,1.0,0.9408977350037269,0.882463270092651,0.7893500048653206,0.6228833345889877,0.29710612464954883,10,10,0.3052067208843568,0.35860883258791987,5.784035058797181e-18,0.0020720227039419115,13.12165641784668
