model,method,batch_index,layer,frobenius_energy,energy_share,total_frobenius_energy
llama3-8b-inst,memit,1,4,0.742281448633762,0.09390519315299872,7.904583588091564
llama3-8b-inst,memit,1,5,0.735768922556444,0.09308130078665962,7.904583588091564
llama3-8b-inst,memit,1,6,0.9710083249842723,0.12284117362578321,7.904583588091564
llama3-8b-inst,memit,1,7,1.6177871046066221,0.20466443128564743,7.904583588091564
llama3-8b-inst,memit,1,8,3.837737787310464,0.4855079011489111,7.904583588091564
llama3-8b-inst,memit,2,4,0.6706104955271495,0.09191317051550767,7.296130595495055
llama3-8b-inst,memit,2,5,0.6663955567691502,0.0913354754341447,7.296130595495055
llama3-8b-inst,memit,2,6,0.8603256091949292,0.11791532483343037,7.296130595495055
llama3-8b-inst,memit,2,7,1.471336799900436,0.20165987719694914,7.296130595495055
llama3-8b-inst,memit,2,8,3.6274621341033897,0.49717615201996807,7.296130595495055
llama3-8b-inst,memit,3,4,0.7027506864877293,0.0895945220914663,7.843679167910477
llama3-8b-inst,memit,3,5,0.6960437906900037,0.08873945195739397,7.843679167910477
llama3-8b-inst,memit,3,6,0.9194616700131303,0.1172232635132208,7.843679167910477
llama3-8b-inst,memit,3,7,1.5904331774594338,0.20276622021539395,7.843679167910477
llama3-8b-inst,memit,3,8,3.93498984326018,0.501676542222525,7.843679167910477
llama3-8b-inst,memit,4,4,0.6722326621924282,0.086644218977577,7.758540271064107
llama3-8b-inst,memit,4,5,0.7050073397344406,0.09086855453516215,7.758540271064107
llama3-8b-inst,memit,4,6,0.9466690659983662,0.12201638876954977,7.758540271064107
llama3-8b-inst,memit,4,7,1.5933379567730757,0.20536568750123205,7.758540271064107
llama3-8b-inst,memit,4,8,3.8412932463657965,0.495105150216479,7.758540271064107
llama3-8b-inst,memit,5,4,0.7279759138988658,0.09439480225676342,7.712033888462393
llama3-8b-inst,memit,5,5,0.7249769761042872,0.09400593755026035,7.712033888462393
llama3-8b-inst,memit,5,6,0.9362130004376188,0.12139638051101441,7.712033888462393
llama3-8b-inst,memit,5,7,1.556610652003763,0.2018417805881966,7.712033888462393
llama3-8b-inst,memit,5,8,3.7662573460178583,0.48836109909376524,7.712033888462393
llama3-8b-inst,memit,6,4,0.7276256395522075,0.09212665462262033,7.8981011796508875
llama3-8b-inst,memit,6,5,0.7221199415184958,0.09142956327009412,7.8981011796508875
llama3-8b-inst,memit,6,6,0.9564615416688451,0.12110018850266523,7.8981011796508875
llama3-8b-inst,memit,6,7,1.621600189209849,0.20531519568118867,7.8981011796508875
llama3-8b-inst,memit,6,8,3.8702938677014904,0.4900283979234317,7.8981011796508875
llama3-8b-inst,memit,7,4,0.7057490506008052,0.09158458414867003,7.705980839036805
llama3-8b-inst,memit,7,5,0.7023907029739598,0.09114877361435976,7.705980839036805
llama3-8b-inst,memit,7,6,0.9105619391304902,0.11816301625326962,7.705980839036805
llama3-8b-inst,memit,7,7,1.548360230316579,0.20092967561934835,7.705980839036805
llama3-8b-inst,memit,7,8,3.83891891601497,0.4981739503643522,7.705980839036805
llama3-8b-inst,memit,8,4,0.8036689916974602,0.09434239266459038,8.518641185566434
llama3-8b-inst,memit,8,5,0.7549705336530248,0.088625699475664,8.518641185566434
llama3-8b-inst,memit,8,6,1.0021923229034884,0.11764696987138673,8.518641185566434
llama3-8b-inst,memit,8,7,1.7285677481691686,0.20291590061311288,8.518641185566434
llama3-8b-inst,memit,8,8,4.229241589143292,0.49646903737524606,8.518641185566434
llama3-8b-inst,memit,9,4,0.8104666642195234,0.09672530014791962,8.379055562299591
llama3-8b-inst,memit,9,5,0.7797356832781803,0.09305770530828007,8.379055562299591
llama3-8b-inst,memit,9,6,1.0199581855619744,0.121727106113383,8.379055562299591
llama3-8b-inst,memit,9,7,1.6724263853312573,0.1995960490888866,8.379055562299591
llama3-8b-inst,memit,9,8,4.096468643908657,0.48889383934153086,8.379055562299591
llama3-8b-inst,memit,10,4,0.7645896440485296,0.09335697026092914,8.189957770818086
llama3-8b-inst,memit,10,5,0.7655500629847574,0.09347423813496505,8.189957770818086
llama3-8b-inst,memit,10,6,1.0036644512128097,0.12254818392214428,8.189957770818086
llama3-8b-inst,memit,10,7,1.6625621929951455,0.20300009347045436,8.189957770818086
llama3-8b-inst,memit,10,8,3.9935914195768456,0.4876205142115073,8.189957770818086
llama3-8b-inst,alphaedit,1,4,0.8760293765422941,0.09307644370013347,9.411934338237268
llama3-8b-inst,alphaedit,1,5,0.9128192173886414,0.09698529383914088,9.411934338237268
llama3-8b-inst,alphaedit,1,6,1.2359880911633478,0.13132136782361278,9.411934338237268
llama3-8b-inst,alphaedit,1,7,2.1387032361740195,0.2272331233214458,9.411934338237268
llama3-8b-inst,alphaedit,1,8,4.248394416968965,0.4513837713156671,9.411934338237268
llama3-8b-inst,alphaedit,2,4,0.8291717758808342,0.08981433117357605,9.232065362468365
llama3-8b-inst,alphaedit,2,5,0.8901430900052414,0.09641862953267101,9.232065362468365
llama3-8b-inst,alphaedit,2,6,1.1647519795741716,0.12616374926344254,9.232065362468365
llama3-8b-inst,alphaedit,2,7,2.0382675246802973,0.22078131432719064,9.232065362468365
llama3-8b-inst,alphaedit,2,8,4.309730992327821,0.4668219757031198,9.232065362468365
llama3-8b-inst,alphaedit,3,4,0.9427589293616183,0.08837728993717008,10.667434247325895
llama3-8b-inst,alphaedit,3,5,1.0039144567994707,0.09411020808974109,10.667434247325895
llama3-8b-inst,alphaedit,3,6,1.3364055790420435,0.12527900787174318,10.667434247325895
llama3-8b-inst,alphaedit,3,7,2.4098133918940596,0.2259037493011171,10.667434247325895
llama3-8b-inst,alphaedit,3,8,4.9745418902287035,0.46632974480022865,10.667434247325895
llama3-8b-inst,alphaedit,4,4,0.8870328083733641,0.08413186776248392,10.543362841742468
llama3-8b-inst,alphaedit,4,5,1.0330242086439712,0.09797862637849297,10.543362841742468
llama3-8b-inst,alphaedit,4,6,1.468892788932556,0.13931919170200888,10.543362841742468
llama3-8b-inst,alphaedit,4,7,2.4657458105634515,0.2338671112409469,10.543362841742468
llama3-8b-inst,alphaedit,4,8,4.688667225229126,0.4447032029160674,10.543362841742468
llama3-8b-inst,alphaedit,5,4,1.0687529436956733,0.09197778623612887,11.619685441786238
llama3-8b-inst,alphaedit,5,5,1.1538099311391448,0.09929786283111078,11.619685441786238
llama3-8b-inst,alphaedit,5,6,1.592468610157859,0.13704920138638937,11.619685441786238
llama3-8b-inst,alphaedit,5,7,2.690233706042634,0.23152379808562848,11.619685441786238
llama3-8b-inst,alphaedit,5,8,5.1144202507509275,0.4401513514607425,11.619685441786238
llama3-8b-inst,alphaedit,6,4,1.076706550233331,0.09565801532368307,11.255790187471717
llama3-8b-inst,alphaedit,6,5,1.1431723615646696,0.10156304822002458,11.255790187471717
llama3-8b-inst,alphaedit,6,6,1.5138057461518362,0.13449129034377177,11.255790187471717
llama3-8b-inst,alphaedit,6,7,2.545805018683017,0.22617736971648877,11.255790187471717
llama3-8b-inst,alphaedit,6,8,4.976300510838863,0.44211027639603173,11.255790187471717
llama3-8b-inst,alphaedit,7,4,1.0977558883831486,0.09319025965529862,11.779727757424833
llama3-8b-inst,alphaedit,7,5,1.1677734931777393,0.09913416652958593,11.779727757424833
llama3-8b-inst,alphaedit,7,6,1.5778182774824248,0.1339435265376075,11.779727757424833
llama3-8b-inst,alphaedit,7,7,2.7423333701780637,0.23280108221937085,11.779727757424833
llama3-8b-inst,alphaedit,7,8,5.194046728203456,0.440930965058137,11.779727757424833
llama3-8b-inst,alphaedit,8,4,1.2272763758016223,0.09163870189417084,13.39255522430845
llama3-8b-inst,alphaedit,8,5,1.2674099223598,0.09463540759267208,13.39255522430845
llama3-8b-inst,alphaedit,8,6,1.80075534933215,0.13445943056957865,13.39255522430845
llama3-8b-inst,alphaedit,8,7,3.2373957022722952,0.24173099517231703,13.39255522430845
llama3-8b-inst,alphaedit,8,8,5.859717874542584,0.4375354647712615,13.39255522430845
llama3-8b-inst,alphaedit,9,4,1.2109058773265866,0.0940579101681338,12.874046161157784
llama3-8b-inst,alphaedit,9,5,1.231087383160014,0.0956255219026883,12.874046161157784
llama3-8b-inst,alphaedit,9,6,1.7274557642059563,0.13418126225287694,12.874046161157784
llama3-8b-inst,alphaedit,9,7,2.922896570698028,0.22703791287595998,12.874046161157784
llama3-8b-inst,alphaedit,9,8,5.781700565767199,0.449097392800341,12.874046161157784
llama3-8b-inst,alphaedit,10,4,1.2829330165441315,0.09534663296444398,13.455462208325219
llama3-8b-inst,alphaedit,10,5,1.354477349844395,0.10066375490292315,13.455462208325219
llama3-8b-inst,alphaedit,10,6,1.8782800969865723,0.13959238767914156,13.455462208325219
llama3-8b-inst,alphaedit,10,7,3.193056414342257,0.2373055912093927,13.455462208325219
llama3-8b-inst,alphaedit,10,8,5.746715330607863,0.42709163324409855,13.455462208325219
qwen2.5-7b-inst,memit,1,4,289.548633926801,0.5688232900126898,509.030904695097
