cell,arm,batch,RS_cumulative_minus_online_pp,PS_cumulative_minus_online_pp,PS_strict_cumulative_minus_online_pp,NS_cumulative_minus_online_pp
LM,O,1,0,0,0,0
LM,O,2,0,1.5000000000000013,1.5000000000000013,-0.20000000000000018
LM,O,3,0.66666666666665986,1.9999999999999907,2.0000000000000018,-0.46666666666665968
LM,O,4,0.25000000000000577,2.5000000000000022,2.2499999999999964,-1.3249999999999984
LM,O,5,-0.20000000000000018,2.1000000000000019,2.399999999999991,-1.8999999999999906
LM,O,6,-0.50000000000000044,2.2499999999999964,2.5000000000000022,-3.9333333333333331
LM,O,7,-0.42857142857143371,2.2857142857142798,2.7142857142857135,-5.699999999999994
LM,O,8,-1.375000000000004,2.0625000000000004,2.6249999999999996,-6.5874999999999906
LM,O,9,-2.3333333333333317,1.0000000000000009,1.2222222222222245,-7.5666666666666664
LM,O,10,-4.5000000000000036,-1.5499999999999958,-1.6000000000000014,-8.0199999999999942
LM,QCL,1,0,0,0,0
LM,QCL,2,1.0000000000000009,1.7500000000000071,2.9999999999999916,-0.049999999999994493
LM,QCL,3,1.3333333333333308,3.5000000000000031,5.3333333333333339,-0.86666666666667114
LM,QCL,4,0.75000000000000622,3.3750000000000058,4.7499999999999982,-1.5000000000000013
LM,QCL,5,-0.40000000000000036,3.2000000000000028,4.4000000000000039,-2.0400000000000085
LM,QCL,6,-0.16666666666665941,2.7499999999999969,3.833333333333333,-3.6000000000000032
LM,QCL,7,0.42857142857142261,2.8571428571428581,4.142857142857137,-4.8000000000000043
LM,QCL,8,0.37500000000000311,2.937500000000004,3.6250000000000004,-5.2499999999999991
LM,QCL,9,0.55555555555556468,3.0000000000000027,4.2222222222222268,-5.9222222222222172
LM,QCL,10,0,1.6999999999999904,2.200000000000002,-6.1699999999999982
LM,NQFIX,1,0,0,0,0
LM,NQFIX,2,0,1.2499999999999956,1.5000000000000013,-0.30000000000000027
LM,NQFIX,3,-0.33333333333332993,1.5000000000000013,2.9999999999999916,-1.0000000000000009
LM,NQFIX,4,-0.24999999999999467,2.3750000000000049,3.5000000000000031,-1.8000000000000016
LM,NQFIX,5,-1.2000000000000011,1.2999999999999901,2.200000000000002,-3.5600000000000076
LM,NQFIX,6,-1.5000000000000013,0.24999999999999467,1.6666666666666718,-6.8833333333333302
LM,NQFIX,7,-3.0000000000000027,-1.7142857142857126,-1.7142857142857126,-8.0428571428571409
LM,NQFIX,8,-8.2500000000000018,-6.1250000000000027,-7.2500000000000009,-8.5374999999999979
LM,NQFIX,9,-14.333333333333332,-12.5,-16.222222222222214,-10.311111111111115
LM,NQFIX,10,-24.399999999999999,-22.399999999999999,-28.300000000000004,-12.170000000000003
LM,ORBFH,1,0,0,0,0
LM,ORBFH,2,0,2.0000000000000018,1.5000000000000013,-0.14999999999999458
LM,ORBFH,3,0,1.8333333333333313,2.9999999999999916,-0.93333333333333046
LM,ORBFH,4,0,2.5000000000000022,3.2499999999999973,-2.0499999999999963
LM,ORBFH,5,-0.20000000000000018,2.300000000000002,3.7999999999999923,-3.0200000000000005
LM,ORBFH,6,-0.50000000000000044,2.1666666666666612,3.6666666666666736,-5.633333333333324
LM,ORBFH,7,-1.0000000000000009,1.5714285714285681,2.7142857142857135,-6.4000000000000057
