batch,RS_rate,PS_rate,NS_rate,q_after_mean,q_worsened,distance_from_own_immediate_activation_mean,batch_net_actual_frobenius,W0_net_actual_frobenius,batch_squared_share,cell,arm
1,0.97999999999999998,0.81999999999999995,0.88700000000000001,0.2966411911316032,0,0,8.6915110669217768,8.6915110669217768,0.4968610780459638,LM,O
2,0.98499999999999999,0.84999999999999987,0.89349999999999985,0.32191777268499966,49.5,0.48880270834844802,8.7609965001000827,12.467824403197012,0.49117335582953481,LM,O
3,0.99333333333333318,0.85833333333333317,0.88466666666666671,0.37046650597585429,66.666666666666671,0.91205376332480836,9.141006766125459,15.636227650794392,0.48872604364324929,LM,O
4,0.99250000000000005,0.88,0.86224999999999985,0.41494475615837001,74.75,1.254834993411702,9.4158586040021426,18.429549528371663,0.4813282850417504,LM,O
5,0.98999999999999999,0.88800000000000001,0.85040000000000004,0.47300603853617484,80,1.6494869297337602,9.7635703701608136,21.061522163398969,0.47417451801953758,LM,O
6,0.98833333333333317,0.89416666666666655,0.8075,0.55983579415823403,83.333333333333329,2.1732779603788024,10.173069987035758,23.646578415752401,0.47262136923450221,LM,O
7,0.98999999999999999,0.90428571428571425,0.78200000000000003,0.66192198994656437,85.714285714285708,2.7847832620861448,10.82128441850988,26.29675701488144,0.46307900090686682,LM,O
8,0.98124999999999996,0.91249999999999998,0.75812500000000005,0.81548812366869783,87.5,3.6908565012111363,11.738780850000133,29.201706116870383,0.45587963616426203,LM,O
9,0.97111111111111115,0.91000000000000003,0.73722222222222222,19.929858216506332,89,4.9826283061904784,12.586252050469538,32.268190170424987,0.4496392280867626,LM,O
10,0.94999999999999996,0.88800000000000001,0.72760000000000002,76.706425395622588,90,7.3624823250464546,14.62253368600085,36.081262337397618,0.44276782705318601,LM,O
1,0.95999999999999996,0.78000000000000003,0.88800000000000001,0.3880758563096669,0,0,7.3626193299143807,7.3626193299143807,0.59987685085156972,LM,QCL
2,0.97999999999999998,0.80000000000000004,0.89700000000000002,0.39555710899948371,46.5,0.39081704000823009,7.3992049596765348,10.51665383124813,0.60078267317111778,LM,QCL
3,0.97999999999999998,0.82166666666666655,0.88200000000000001,0.41962680230833582,66.333333333333329,0.70202251138437788,7.6575629789090209,13.114538991888114,0.60224262759568115,LM,QCL
4,0.98250000000000004,0.84250000000000003,0.85975000000000001,0.44114094002762533,74.5,0.94029560795792078,7.7759996273131504,15.345089315839964,0.5994593417325752,LM,QCL
5,0.97599999999999998,0.85199999999999987,0.84819999999999995,0.46558617588466839,79.799999999999997,1.1632733744409567,7.9824032121139359,17.398255260846863,0.60005145459121223,LM,QCL
6,0.97833333333333317,0.85416666666666663,0.8125,0.50137594511033368,83.166666666666671,1.4325802643014214,8.2115724580615428,19.3648550110826,0.60117583363813665,LM,QCL
7,0.98714285714285721,0.87,0.79685714285714282,0.53395175065026224,85.571428571428569,1.6833103090555301,8.3502099226256341,21.198829937725279,0.60015894134583403,LM,QCL
8,0.98875000000000002,0.88,0.78149999999999986,0.57271685401647454,87.5,1.9590584171598773,8.7837972561752302,23.080126635957683,0.60080453529072597,LM,QCL
9,0.99111111111111116,0.88944444444444437,0.76944444444444438,0.61329206348407361,88.888888888888886,2.2384442686373345,8.8368870669901565,24.842321775028488,0.59880774357640087,LM,QCL
10,0.98599999999999999,0.87749999999999995,0.76429999999999987,0.66155743240904541,89.900000000000006,2.5555626960674953,9.2061168516667262,26.623605422089732,0.60064169081354224,LM,QCL
1,1,0.91500000000000004,0.88,0.28932135857116642,0,0,12.989160780940654,12.989160780940654,0.11349164877643179,LM,NQFIX
2,1,0.92749999999999999,0.88349999999999995,0.33688632735984336,50,0.6823090076172883,13.15191154202464,18.63605400038012,0.1108471974216543,LM,NQFIX
