cell,arm,batch,build_identity,comparison,factor_rank,keys_norm,keys_sha256,layer,solve_backward_error,state_version,key_revisit_relative_difference,writer_revisit_relative_difference
LM,QCL,1,3729c0103160f7cb9ca875dddfb92b631afd20736729fa674e35ef0cec3b4da2,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.77747097378737,6f677fbde18d778c355fee770d9a938461530cf30dd6a53aa35d6d45c1e84df1,4,6.7046834750783546e-09,0,,
LM,QCL,1,975b55a4aea0a20709d0c836a4b78e4ba22dc9f8897027c58e9e23320271cfd0,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.908558656770424,cfdabe4d737d732136aa183d02286559955675240fd3a6cac5c463b25914a5cf,5,6.7993575214586599e-09,1,,
LM,QCL,1,3332557ba515ba263345fd897f028bd686cfc966fa940c69e752f2eb5ac4144d,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.933832415072359,8854791baa38665a2db5da0104108f75c3b721c5287ef381a6e4d0899f444a70,6,8.3636351178029145e-09,2,,
LM,QCL,1,7c2510a3d2e3f56e05703b31afc9c70f467c1c1c37e28811c7b459e4dec966f4,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.589284073413189,facbbf622c37ad6ce4137be310e3efea7c0b68c3c3b3d337c92f40e75f50a841,7,7.814782598813963e-09,3,,
LM,QCL,1,a1293f8ed7e84c8b59e0f338ba794608056df82f084ea1721cd0cd5945240072,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.079576956482008,c1a3f5b638fd2cc848d5c45325c0f111698de51a99ec4c2ca7fb1513d16b012f,8,6.3037797204401613e-09,4,,
LM,QCL,1,ea316849991a76f79503cb9762baef284b1f55669380f0b479b0aa6c50754b7d,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.77747097378737,6f677fbde18d778c355fee770d9a938461530cf30dd6a53aa35d6d45c1e84df1,4,6.7046834750783546e-09,5,0,0.29476574027047442
LM,QCL,1,0f84c276ba844611137095988fbd10496e09a6781c664bf37ae7f44e73e7a57c,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.838694619409239,21a90bbc05f107bf37b21fb8c963658574b5f130d492a30a135fcf483f12cc7e,5,6.7010708093562243e-09,6,0.046326561200392573,0.29176147302539002
LM,QCL,1,12cf00e2d2ddf0ad10e745028837a6daca7d654c78c77b92e8663b9a44b40ca0,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.725955628262824,9ffbcee7405ab40fa6ccddc0efcf6906d731f4a03165fa47d48340ea4df0f93f,6,9.301858838739463e-09,7,0.079629045293408973,0.29262618055740708
LM,QCL,1,04db12d588e8eddb735ebd8f083e35f1965a6a0c963858b3ca8b986d8399f50e,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,38.405104278649546,85a4e3bb30cd9ae8e326c6cdab77cb5cc5a7f584155100dc7700280f90af980f,7,8.0149149539465725e-09,8,0.11040469802493592,0.29812384546398696
LM,QCL,1,3b0da4e3c04e232789c9c890a6ec90076009d456f40d12332707f8f3d516b72a,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,37.797233322961794,3036e7b3d0213ab9bc4abfd2433701b86a7b599431a1ceeebeaf9763aa4ebc57,8,6.2579115223115878e-09,9,0.15417409293763185,0.31102197148086735
LM,QCL,1,fc56b0f75a7b7b80ce80c526e5320680b4f64a889690e4fda5e682b37c6737f7,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,28.77747097378737,6f677fbde18d778c355fee770d9a938461530cf30dd6a53aa35d6d45c1e84df1,4,6.7046834750783546e-09,10,0,0.26870476646772812
LM,QCL,1,d938999592c314f55ba21bd8322c15430c86a5320dd8f53c6c15865ef730f839,SAME_LAYER_PREVIOUS_VISIT_NOT_SAME_ENTRY_COUNTERFACTUAL,100,34.766135927953201,c42adebadf5c311f5fb1ed7eac9f35d9cea42cbeb3eab100099887fbab4ce94d,5,6.6123422293173917e-09,11,0.035712093810937699,0.2643322008207179
