cell,arm,batch,stage,age,start_ordinal,end_ordinal_exclusive,category,target,unit,prompt_den,strict_num,correct_token_num,target_token_den,nll_n,nll_mean,nll_median,nll_q25,nll_q75,nll_p90,nll_max,margin_true_minus_new_n,margin_true_minus_new_mean,margin_true_minus_new_median,margin_true_minus_new_q25,margin_true_minus_new_q75,margin_true_minus_new_p90,margin_true_minus_new_max
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rewrite,new,prompt,20,20,20,20,20,0.028810302578494883,0.0030129206134006381,0.0013898176839575171,0.0055250400910153985,0.036203633621335274,0.31180170178413391,20,13.350557907260372,13.247769636640442,10.146723035548348,16.456974079286738,18.497219433228022,19.752624417422339
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rewrite,new,request_cluster,20,20,20,20,20,0.028810302578494883,0.0030129206134006381,0.0013898176839575171,0.0055250400910153985,0.036203633621335274,0.31180170178413391,20,13.350557907260372,13.247769636640442,10.146723035548348,16.456974079286738,18.497219433228022,19.752624417422339
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rewrite,true,prompt,20,0,0,20,20,13.379368209838868,13.250537395477295,10.260253429412842,16.458116054534912,18.497894287109375,19.755123138427734,20,13.350557907260372,13.247769636640442,10.146723035548348,16.456974079286738,18.497219433228022,19.752624417422339
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rewrite,true,request_cluster,20,0,0,20,20,13.379368209838868,13.250537395477295,10.260253429412842,16.458116054534912,18.497894287109375,19.755123138427734,20,13.350557907260372,13.247769636640442,10.146723035548348,16.456974079286738,18.497219433228022,19.752624417422339
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rephrase,new,prompt,40,19,19,40,40,2.8682666736422107,1.7197424173355103,0.17006010562181473,3.9109147191047668,8.3846225738525408,12.437938690185547,40,5.7433784437598661,5.7117747068405151,1.5242998600006104,8.6201525218784809,13.663604570645839,14.21544804982841
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rephrase,new,request_cluster,40,19,19,40,20,2.8682666736422107,1.7899109795689583,0.79624472069554031,5.0178392231464386,6.547802746295929,7.860285758972168,20,5.7433784437598661,5.4558591693639755,3.2522141672670841,8.7072553460020572,11.200729136960584,14.082834971137345
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rephrase,true,prompt,40,1,1,40,40,8.6116451174020767,8.4774041175842285,6.8689568042755127,10.994762420654297,13.782177543640136,14.226983070373535,40,5.7433784437598661,5.7117747068405151,1.5242998600006104,8.6201525218784809,13.663604570645839,14.21544804982841
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,rephrase,true,request_cluster,40,1,1,40,20,8.6116451174020767,8.451177716255188,7.0164331197738647,11.204190969467163,12.639572238922121,14.095636367797852,20,5.7433784437598661,5.4558591693639755,3.2522141672670841,8.7072553460020572,11.200729136960584,14.082834971137345
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,locality,new,prompt,200,2,2,200,200,11.825009344220161,11.571930885314941,8.5051286220550537,15.242856502532959,17.555029487609861,22.44593620300293,200,-6.6911811600689539,-6.3284132480621338,-10.315078973770142,-2.5828626081347466,-0.16216115951538393,6.2051143646240234
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,locality,new,request_cluster,200,2,2,200,20,11.825009344220161,10.594072079658508,9.6489048361778256,15.19233853816986,16.75096124649048,18.369972705841064,20,-6.6911811600689548,-5.4882919117808342,-11.394700497790472,-3.2877698525786401,-1.5200088334083555,-0.67542064189910889
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,locality,true,prompt,200,22,22,200,200,5.1338281841512075,4.4539275169372559,2.7941607236862183,6.9401842355728149,9.6164971351623514,15.831233024597168,200,-6.6911811600689539,-6.3284132480621338,-10.315078973770142,-2.5828626081347466,-0.16216115951538393,6.2051143646240234
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,locality,true,request_cluster,200,22,22,200,20,5.1338281841512066,4.289702359581133,3.7601854254491629,6.6085664153099053,8.5699783802032474,9.393174409866333,20,-6.6911811600689548,-5.4882919117808342,-11.394700497790472,-3.2877698525786401,-1.5200088334083555,-0.67542064189910889
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rewrite,new,prompt,60,56,57,61,60,0.45675630630770075,0.0031517442548647523,0.001448713825084269,0.010026349686086178,0.26194222271442458,13.503738403320312,60,11.040942930127494,11.06212599092396,9.2358940592966974,13.66383816790767,16.635968177707401,22.174739472102374
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rewrite,new,request_cluster,60,56,57,61,60,0.45675630630770075,0.0031517442548647523,0.001448713825084269,0.010026349686086178,0.26194222271442458,13.503738403320312,60,11.040942930127494,11.06212599092396,9.2358940592966974,13.66383816790767,16.635968177707401,22.174739472102374
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rewrite,true,prompt,60,1,2,61,60,11.497699236435194,11.269938468933105,9.2423214912414551,13.666598558425903,16.647032165527342,22.178991317749023,60,11.040942930127494,11.06212599092396,9.2358940592966974,13.66383816790767,16.635968177707401,22.174739472102374
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rewrite,true,request_cluster,60,1,2,61,60,11.497699236435194,11.269938468933105,9.2423214912414551,13.666598558425903,16.647032165527342,22.178991317749023,60,11.040942930127494,11.06212599092396,9.2358940592966974,13.66383816790767,16.635968177707401,22.174739472102374
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rephrase,new,prompt,120,58,60,122,120,3.3741035668548043,1.4092188477516174,0.087585506960749626,5.494608998298645,9.7149431228637724,17.217962265014648,120,4.5145080667241322,5.4838231429457664,1.6010083556175232,8.3723575128242373,10.980723165255048,18.077064359560609
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rephrase,new,request_cluster,120,58,60,122,60,3.3741035668548043,2.8871673941612244,0.17856016755104065,4.4130044206976891,7.7141686439514165,13.909633636474609,60,4.5145080667241322,5.3995023220777512,2.089569091796875,7.490259792888537,9.9751010174397372,14.940898286178708
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rephrase,true,prompt,120,4,5,122,120,7.888611633578936,7.8382790088653564,5.3428672552108765,10.314679384231567,12.309562778472902,18.091947555541992,120,4.5145080667241322,5.4838231429457664,1.6010083556175232,8.3723575128242373,10.980723165255048,18.077064359560609
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,rephrase,true,request_cluster,120,4,5,122,60,7.888611633578936,7.9250667095184326,5.5636911392211914,9.8963109850883484,11.498112106323243,15.837774753570557,60,4.5145080667241322,5.3995023220777512,2.089569091796875,7.490259792888537,9.9751010174397372,14.940898286178708
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,locality,new,prompt,600,5,15,610,600,10.224450338880221,10.26925802230835,7.3240424394607544,12.812616109848022,15.114703369140624,21.939548492431641,600,-5.6367720116622513,-5.5736394226551056,-8.9373729377985001,-2.4803459644317627,0.22677822113037147,11.931930541992188
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,locality,new,request_cluster,600,5,15,610,60,10.224450338880223,10.575944662094116,7.9609075069427488,12.107649517059325,14.300016603469849,17.005382442474364,60,-5.6367720116622504,-5.4571530736982821,-8.1744875013828278,-2.7259013680741191,-1.8807767951488494,3.5520494937896729
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,locality,true,prompt,600,133,143,610,600,4.5876783272179695,3.9016971588134766,1.6299061477184296,6.7355648279190063,9.788897609710693,15.69783878326416,600,-5.6367720116622513,-5.5736394226551056,-8.9373729377985001,-2.4803459644317627,0.22677822113037147,11.931930541992188
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,locality,true,request_cluster,600,133,143,610,60,4.5876783272179695,4.4344828730681911,2.853391222737264,5.4497199979610738,8.5905228891968726,11.701945400238037,60,-5.6367720116622504,-5.4571530736982821,-8.1744875013828278,-2.7259013680741191,-1.8807767951488494,3.5520494937896729
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rewrite,new,prompt,20,19,19,20,20,0.57590387153395572,0.0028203873662278056,0.00087231621728278697,0.0093991186004132032,0.16247662156820306,11.058581352233887,20,11.56140770626298,13.003536763018928,8.6557278403342934,15.163528255656274,17.141013490682241,22.586745287757367
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rewrite,new,request_cluster,20,19,19,20,20,0.57590387153395572,0.0028203873662278056,0.00087231621728278697,0.0093991186004132032,0.16247662156820306,11.058581352233887,20,11.56140770626298,13.003536763018928,8.6557278403342934,15.163528255656274,17.141013490682241,22.586745287757367
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rewrite,true,prompt,20,0,0,20,20,12.137311577796936,13.006399631500244,8.6631109714508057,15.163734912872314,17.142196846008307,22.587747573852539,20,11.56140770626298,13.003536763018928,8.6557278403342934,15.163528255656274,17.141013490682241,22.586745287757367
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rewrite,true,request_cluster,20,0,0,20,20,12.137311577796936,13.006399631500244,8.6631109714508057,15.163734912872314,17.142196846008307,22.587747573852539,20,11.56140770626298,13.003536763018928,8.6557278403342934,15.163528255656274,17.141013490682241,22.586745287757367
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rephrase,new,prompt,40,20,20,40,40,2.4834910763020162,1.1421210765838623,0.037269651889801025,4.158302903175354,5.8308060169219971,14.479414939880371,40,5.1229580672865271,6.0675363074988127,1.6706238240003586,8.4941783547401428,11.425553286517973,16.971875009126961
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rephrase,new,request_cluster,40,20,20,40,20,2.4834910763020162,1.6730762522784062,0.22034361772239208,3.4813507348299026,4.9945620536804203,13.045219898223877,20,5.1229580672865271,6.4318378781317733,2.1086209341883659,8.5266969565127511,10.961057074472777,15.696365028154105
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rephrase,true,prompt,40,2,2,40,40,7.6064491435885433,7.3798632621765137,3.6498322486877441,10.888978004455566,13.471158504486084,16.979997634887695,40,5.1229580672865271,6.0675363074988127,1.6706238240003586,8.4941783547401428,11.425553286517973,16.971875009126961
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,rephrase,true,request_cluster,40,2,2,40,20,7.6064491435885433,7.6836785078048706,3.7154582440853119,10.4976966381073,12.684427404403687,15.704934597015381,20,5.1229580672865271,6.4318378781317733,2.1086209341883659,8.5266969565127511,10.961057074472777,15.696365028154105
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,locality,new,prompt,200,2,2,200,200,10.414508609771728,10.124544143676758,7.927238941192627,13.111247301101685,15.027507114410399,21.491706848144531,200,-5.5336350916814991,-5.6087847352027893,-8.6180911809206009,-2.6213078498840332,0.53085212707519469,7.418532133102417
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,locality,new,request_cluster,200,2,2,200,20,10.41450860977173,10.197913551330565,8.5524483919143677,12.123813152313232,14.18491647720337,14.60779161453247,20,-5.5336350916814991,-6.0381817921996115,-7.6095288510783572,-4.4057885456830261,-2.8403832173347423,1.524024772644043
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,locality,true,prompt,200,50,50,200,200,4.8808735180902296,4.3210391998291016,1.3085297346115112,7.6697206497192383,9.9672690391540524,19.939491271972656,200,-5.5336350916814991,-5.6087847352027893,-8.6180911809206009,-2.6213078498840332,0.53085212707519469,7.418532133102417
