dynamic_layer_visit_count,factor_build_count,history_append_count,native_compute_z_bypassed_with_shared_fixed_z,native_creg_action_status,physical_write_count,resolution_stable_path_frobenius_squared,schema,sum_step_action_frobenius_squared,terminal_net_frobenius,terminal_net_frobenius_squared,adapter_dynamic_z_count,adapter_fixed_z_compute_count,adapter_fixed_z_recompute_count,adapter_inner_cache_mutation_count,adapter_inner_history_append_count,adapter_key_capture_count,adapter_layer_factorization_count,adapter_official_endpoint_count,adapter_solve_count,adapter_terminal_capture_count,adapter_terminal_finalize_count,jvp_attention_backend_switch_count,jvp_finite_difference_forward_count,jvp_jvp_call_count,jvp_model_forward_invocation_count,jvp_physical_write_count,jvp_temporary_direction_hook_count,jvp_wall_seconds,cell,arm,batch,endpoint_status,wall_seconds,model_forward_invocation_count,semantic_request_strict_count,semantic_tie_count,first_hit_prefix,cache_entry_width,cache_exit_width,raw_path,anchor_active_request_count,anchor_zero_request_count,anchor_zero_semantic_miss_count,anchor_zero_semantic_miss_policy,first_hit,jvp_call_count,key_capture_count,materialization_count,nonzero_action_visit_count,physical_euler_path_frobenius_length,resolution_stable_path_frobenius,step_count,terminal_capture_count,terminal_status,zero_action_visit_count,q_terminal_n,q_terminal_mean,q_terminal_median,q_terminal_q25,q_terminal_q75,q_terminal_p90,q_terminal_max
0,5,0,True,TELEMETRY_WITHHELD,1,75.542364625406705,orbode.official-bypass.v1,75.542364625406705,8.6915110668632707,75.542364625406705,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,1,TERMINAL_VALID,77.021324343048036,217,88,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-01.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,76.755059673782654,orbode.official-bypass.v1,76.755059673782654,8.7609965000439676,76.755059673782654,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,2,TERMINAL_VALID,72.640897965990007,217,91,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-02.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,83.558004697314573,orbode.official-bypass.v1,83.558004697314573,9.1410067660687453,83.558004697314573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,3,TERMINAL_VALID,76.850078710354865,217,95,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-03.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,88.65839324948,orbode.official-bypass.v1,88.65839324948,9.4158586039447307,88.65839324948,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,4,TERMINAL_VALID,79.710983073338866,217,98,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-04.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,95.327306371943948,orbode.official-bypass.v1,95.327306371943948,9.7635703701025243,95.327306371943948,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,5,TERMINAL_VALID,79.532938140444458,217,99,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-05.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,103.49135295994579,orbode.official-bypass.v1,103.49135295994579,10.173069986977668,103.49135295994579,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,6,TERMINAL_VALID,79.49800381064415,217,97,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-06.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,117.1001964650336,orbode.official-bypass.v1,117.1001964650336,10.821284418452072,117.1001964650336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,7,TERMINAL_VALID,78.099346215836704,217,98,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-07.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,137.79897584297447,orbode.official-bypass.v1,137.79897584297447,11.738780849942403,137.79897584297447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,8,TERMINAL_VALID,83.586315402761102,217,99,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-08.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,158.41374067641317,orbode.official-bypass.v1,158.41374067641317,12.58625205040854,158.41374067641317,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,9,TERMINAL_VALID,79.223110229708254,217,99,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-09.json,,,,,,,,,,,,,,,,,,,,,,
0,5,0,True,TELEMETRY_WITHHELD,1,213.81849139624987,orbode.official-bypass.v1,213.81849139624987,14.622533685933155,213.81849139624987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,LM,O,10,TERMINAL_VALID,77.193166150711477,217,99,0,,0,0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0/arm-O/batch-10.json,,,,,,,,,,,,,,,,,,,,,,
