cell,arm,batch,seen_requests,cumulative_Wt_all_seen_evaluation,recoverable_W_checkpoint,stored_endpoint_cohort_requests,replay_or_imputation
LM,O,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LM,O,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LM,QCL,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LM,NQFIX,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LM,ORBFH,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LM,JAC,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,O,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,QCL,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,NQFIX,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,4,400,NOT_RECORDED,NOT_RECORDED,100,0
