cell,arm,through_batch,evaluation_type,request_n,RS_num,RS_den,RS_rate,PS_num,PS_den,PS_rate,PS_strict_num,PS_strict_den,PS_strict_rate,NS_num,NS_den,NS_rate,rewrite_acc_num,rewrite_acc_den,rewrite_acc_rate,rephrase_acc_num,rephrase_acc_den,rephrase_acc_rate,neighborhood_true_acc_num,neighborhood_true_acc_den,neighborhood_true_acc_rate,PP_num,PP_den,PP_rate,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_margin_true_minus_new_n,rewrite_margin_true_minus_new_mean,rewrite_margin_true_minus_new_median,rewrite_margin_true_minus_new_q25,rewrite_margin_true_minus_new_q75,rewrite_margin_true_minus_new_p90,rewrite_margin_true_minus_new_max,rephrase_target_new_nll_mean_n,rephrase_target_new_nll_mean_mean,rephrase_target_new_nll_mean_median,rephrase_target_new_nll_mean_q25,rephrase_target_new_nll_mean_q75,rephrase_target_new_nll_mean_p90,rephrase_target_new_nll_mean_max,rephrase_target_new_nll_max_n,rephrase_target_new_nll_max_mean,rephrase_target_new_nll_max_median,rephrase_target_new_nll_max_q25,rephrase_target_new_nll_max_q75,rephrase_target_new_nll_max_p90,rephrase_target_new_nll_max_max,rephrase_target_true_nll_mean_n,rephrase_target_true_nll_mean_mean,rephrase_target_true_nll_mean_median,rephrase_target_true_nll_mean_q25,rephrase_target_true_nll_mean_q75,rephrase_target_true_nll_mean_p90,rephrase_target_true_nll_mean_max,rephrase_target_true_nll_max_n,rephrase_target_true_nll_max_mean,rephrase_target_true_nll_max_median,rephrase_target_true_nll_max_q25,rephrase_target_true_nll_max_q75,rephrase_target_true_nll_max_p90,rephrase_target_true_nll_max_max,rephrase_margin_true_minus_new_mean_n,rephrase_margin_true_minus_new_mean_mean,rephrase_margin_true_minus_new_mean_median,rephrase_margin_true_minus_new_mean_q25,rephrase_margin_true_minus_new_mean_q75,rephrase_margin_true_minus_new_mean_p90,rephrase_margin_true_minus_new_mean_max,locality_target_true_nll_mean_n,locality_target_true_nll_mean_mean,locality_target_true_nll_mean_median,locality_target_true_nll_mean_q25,locality_target_true_nll_mean_q75,locality_target_true_nll_mean_p90,locality_target_true_nll_mean_max,locality_target_new_nll_mean_n,locality_target_new_nll_mean_mean,locality_target_new_nll_mean_median,locality_target_new_nll_mean_q25,locality_target_new_nll_mean_q75,locality_target_new_nll_mean_p90,locality_target_new_nll_mean_max,locality_target_true_minus_new_nll_mean_n,locality_target_true_minus_new_nll_mean_mean,locality_target_true_minus_new_nll_mean_median,locality_target_true_minus_new_nll_mean_q25,locality_target_true_minus_new_nll_mean_q75,locality_target_true_minus_new_nll_mean_p90,locality_target_true_minus_new_nll_mean_max
LM,O,1,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,100,98,100,0.97999999999999998,164,200,0.81999999999999995,77,100,0.77000000000000002,887,1000,0.88700000000000001,95,100,0.94999999999999996,97,200,0.48499999999999999,205,1000,0.20499999999999999,951,1010,0.94158415841584153,100,0.39499661860711055,0.0031031437683850527,0.0011788783012889326,0.0094847648870199919,0.1949747487902643,13.503738403320312,100,12.001955499388277,12.078693866729736,9.2423214912414551,14.746626377105713,17.36986770629883,22.587747573852539,100,11.606958880781168,12.023931800795253,9.2358940592966974,14.746033219955279,17.369160120852762,22.586745287757367,100,3.094813690101728,2.1923406845889986,0.24021918140351772,4.6029812097549438,6.9921870589256292,13.909633636474609,100,4.4456289617344735,3.913124680519104,0.39470437169075012,6.0735542774200439,11.516185760498047,17.217962265014648,100,7.9767858323454854,8.1461941003799438,5.4596951007843018,10.044973254203796,12.563320922851563,15.837774753570557,100,9.4312761306762702,9.0508155822753906,7.3617792129516602,12.141324520111084,14.187763500213624,18.091947555541992,100,4.8819721422437574,5.5558225065469742,2.1567143052816391,8.2290354966244195,10.818459452502431,15.696365028154105,100,4.7555473367790686,4.4945142667042095,2.872201446071267,5.6413094937801356,8.7216712141036989,11.701945400238037,100,10.582573794126509,10.585544967651366,8.2123509645462036,12.381599736213685,14.89445833206177,18.369972705841064,100,-5.82702645734744,-5.8050204560160639,-8.2302474856376655,-3.1118371814489363,-1.8402479696273775,3.5520494937896729
LM,O,2,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,200,197,200,0.98499999999999999,334,400,0.83499999999999996,155,200,0.77500000000000002,1791,2000,0.89549999999999996,192,200,0.95999999999999996,207,400,0.51749999999999996,408,2000,0.20399999999999999,1872,2030,0.92216748768472911,200,0.24176862264619559,0.0024948191130533814,0.00096253897936549038,0.0073931408114731312,0.086355447769164984,13.503738403320312,200,12.397416781056672,12.135352611541748,9.5087440013885498,15.301550149917603,18.116942787170409,25.959300994873047,200,12.155648158410477,12.076921238272917,9.500839573709527,15.301272038450406,18.116128162469249,25.958925556100439,200,2.9058178217325623,2.057578269392252,0.15166002791374922,4.226515881717205,6.9888353228569029,18.883160591125488,200,4.2349989465530964,3.2845078706741333,0.21391821652650833,6.7070736885070801,10.269583511352538,20.703525543212891,200,8.3345839362213159,8.3647959232330322,5.7592365443706512,10.341787219047546,13.123632383346557,19.918261528015137,200,9.7968283656984561,9.7773633003234863,7.3232830762863159,12.537323713302612,14.744844245910642,21.060815811157227,200,5.4287661144887531,6.1364314965903759,2.4854683862067759,8.7908093277364969,11.830215498479081,19.915138850396033,200,4.7425790234594896,4.5245390040567148,3.1375467170029876,5.9732352644205093,8.4120947086811064,12.869215106964111,200,10.52004772120714,10.525661420822143,8.4071960687637333,12.089461874961852,14.559287490844726,18.369972705841064,200,-5.7774686977476515,-5.5778617985546592,-7.7338527560234063,-3.346164044737816,-1.9142250064015389,3.5520494937896729
LM,O,3,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,300,296,300,0.98666666666666669,503,600,0.83833333333333337,233,300,0.77666666666666662,2668,3000,0.88933333333333331,288,300,0.95999999999999996,320,600,0.53333333333333333,658,3000,0.21933333333333332,2772,3060,0.90588235294117647,300,0.2095029475132833,0.002347037079744041,0.00089694552298169583,0.0069912982871755958,0.064350324124098079,13.503738403320312,300,12.423966084234417,12.213912487030029,9.4318397045135498,15.269414663314819,18.272883987426759,25.959300994873047,300,12.214463136721132,12.183633145235945,9.3896784510288853,15.264533906367433,18.267609808268027,25.958925556100439,300,2.7341871780541744,1.6627438478171825,0.15166002791374922,4.0667291730642319,6.624530822038655,18.883160591125488,300,3.9859054949033697,2.8536053895950317,0.22352922335267067,6.0782191753387451,10.003187465667725,20.703525543212891,300,8.1775728979454527,8.1689705848693848,5.6760913133621216,10.312624335289001,12.583185148239137,19.918261528015137,300,9.6305903226633873,9.6128940582275391,7.2117087841033936,12.136134624481201,14.362371826171875,22.102020263671875,300,5.4433857198912783,6.0448216879740357,2.7577760703861713,8.6559970085509121,11.622099322103898,19.915138850396033,300,4.6053227927462617,4.2333030971698467,3.0123246415634641,5.8437336072325703,7.9863673925399796,13.116521215438842,300,10.297558250407379,10.354174447059631,8.2318532288074486,12.068042516708374,14.230259809494019,18.369972705841064,300,-5.6922354576611163,-5.569225816428661,-7.81232972741127,-3.2344776589423416,-1.5306176328659056,4.6655339241027836
LM,O,4,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,400,396,400,0.98999999999999999,684,800,0.85499999999999998,319,400,0.79749999999999999,3502,4000,0.87549999999999994,387,400,0.96750000000000003,440,800,0.55000000000000004,898,4000,0.22450000000000001,3685,4080,0.90318627450980393,400,0.16740728833729918,0.002347037079744041,0.00085761120135430247,0.0061912697274237871,0.033303045853972445,13.503738403320312,400,12.615289521748201,12.323854446411133,9.4037196636199951,15.593842744827271,18.569878768920901,25.959300994873047,400,12.447882233410901,12.301310808950802,9.3481470742844976,15.588435300844139,18.569115236320069,25.958925556100439,400,2.5107468935967701,1.5145971961319447,0.17629445111379027,3.7871012538671494,6.1360777795314823,18.883160591125488,400,3.6966285009944113,2.5638296604156494,0.25605140998959541,5.8272908926010132,9.3338978767395044,20.703525543212891,400,8.2948251440931919,8.3171089887619019,5.7986724674701691,10.325435757637024,12.651398658752441,20.899438858032227,400,9.7906246038153775,9.7385845184326172,7.2053934335708618,12.197638750076294,14.571286678314213,25.263713836669922,400,5.7840782504964228,6.1599490214139223,2.9941108385100961,8.9015439965296537,11.817294984054755,19.915138850396033,400,4.611920988062848,4.2751302333548669,2.947488210129086,5.960669139027595,7.9599240493774426,13.116521215438842,400,10.222126465734529,10.266329216957093,8.1581386744976037,12.089461874961852,14.230259809494019,18.369972705841064,400,-5.6102054776716832,-5.5080346478149291,-7.81232972741127,-3.0397336825728418,-1.1633032798767076,4.6655339241027836
LM,O,5,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,500,496,500,0.99199999999999999,867,1000,0.86699999999999999,404,500,0.80800000000000005,4347,5000,0.86939999999999995,487,500,0.97399999999999998,565,1000,0.56499999999999995,1149,5000,0.2298,4533,5080,0.8923228346456693,500,0.13537077075971318,0.0021928331116214395,0.00083721389819402248,0.0056268216576427221,0.021851814538240439,13.503738403320312,500,12.715878140874207,12.459641456604004,9.7394039630889893,15.593842744827271,18.288426208496094,25.959300994873047,500,12.580507370114494,12.450018189912953,9.6816536728292704,15.588435300844139,18.287124493205919,25.958925556100439,500,2.3895875668994848,1.4122880613431334,0.15027239825576544,3.6539399176836014,6.078819298744202,18.883160591125488,500,3.5273278297143986,2.2232650518417358,0.21924567967653275,5.6282757520675659,8.8479306221008311,20.703525543212891,500,8.3434713611749469,8.3466362953186035,5.7744339406490326,10.424888014793396,12.826247167587283,22.442324638366699,500,9.8137321130335327,9.7997746467590332,7.1231852769851685,12.197638750076294,14.84337320327759,25.263713836669922,500,5.9538837942754617,6.2267384417355061,3.0036849640309811,9.2200587937841192,11.941028565401211,22.433177178259939,500,4.5529319108371737,4.2508406069129707,2.853391222737264,5.9154772479087114,7.6954884016513825,13.116521215438842,500,10.116943924060022,10.087458896636964,7.9438543453812596,12.046550178527832,14.203340473175048,18.369972705841064,500,-5.5640120132228477,-5.5234605168923743,-7.9789485031738874,-2.9177950758486988,-0.98471623420715304,4.6655339241027836
LM,O,6,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,600,596,600,0.99333333333333329,1046,1200,0.8716666666666667,488,600,0.81333333333333335,5081,6000,0.84683333333333333,586,600,0.97666666666666668,684,1200,0.56999999999999995,1336,6000,0.22266666666666668,5331,6080,0.87680921052631577,600,0.11766720471353741,0.0021987210493534803,0.00085150693485047668,0.0057278426829725504,0.020827122777700449,13.503738403320312,600,12.787960278547059,12.590712070465088,9.8224773406982422,15.76477313041687,18.269427108764649,25.959300994873047,600,12.670293073833522,12.537757239100756,9.8025341855245642,15.761853012503707,18.264247565902771,25.958925556100439,600,2.3340882508272385,1.3481014966964722,0.14865393936634064,3.4759594798088074,6.0650607414543627,18.883160591125488,600,3.4580090611043852,2.1899514198303223,0.21924567967653275,5.5014679431915283,8.8479306221008311,20.703525543212891,600,8.4133429137242874,8.4241232872009277,5.8181843161582947,10.543723821640015,13.012246942520145,22.442324638366699,600,9.8828087690720956,9.8841428756713867,7.2288023233413696,12.356181144714355,14.889088344573976,25.263713836669922,600,6.0792546628970499,6.4313035607337952,3.1134325936436653,9.27294371498283,12.095697097317318,22.433177178259939,600,4.6254816114920052,4.3130412518978112,2.9640717034577388,6.0004241406917576,7.787457289695741,13.116521215438842,600,9.8835330146685578,9.9377744197845459,7.6537999842315907,11.996714282035828,14.13500593185425,18.429289722442626,600,-5.2580514031765535,-5.237278473377228,-7.7471018515527241,-2.613957479596138,-0.50376849889755215,6.9543039798736572
LM,O,7,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,700,696,700,0.99428571428571433,1234,1400,0.88142857142857145,579,700,0.82714285714285718,5873,7000,0.83899999999999997,686,700,0.97999999999999998,824,1400,0.58857142857142852,1547,7000,0.221,6122,7100,0.86225352112676057,700,0.10157958252854898,0.0022911389824002981,0.00089694552298169583,0.0058677260531112552,0.017273190803825857,13.503738403320312,700,13.050083766286926,12.795125961303711,9.9988138675689697,15.954297065734863,18.560283279418947,25.959300994873047,700,12.948504183758377,12.780467822376522,9.9792881692701485,15.952635708759772,18.559409149369458,25.958925556100439,700,2.2159785930853104,1.2589933648705482,0.14253805135376751,3.3637154947064118,5.8340906381607072,18.883160591125488,700,3.3045034024897695,2.0105196237564087,0.21085349097847939,5.2761596441268921,8.4998613357543942,20.703525543212891,700,8.5985285655380821,8.5764086246490479,5.98666912317276,10.907644629478455,13.434084415435791,22.442324638366699,700,10.075052892587015,9.930321216583252,7.3401541709899902,12.640260457992554,15.1266845703125,25.263713836669922,700,6.3825499724527726,6.654004842042923,3.4861564822494984,9.4267547703493619,12.414904528443003,22.433177178259939,700,4.6131238288133423,4.2988490819931027,2.9309562862734309,6.0281108260154728,7.7048121559619913,13.116521215438842,700,9.7432338540528924,9.8364793539047248,7.538022601604462,11.965423798561098,14.083377962112428,18.429289722442626,700,-5.1301100252395511,-5.1656651973724372,-7.7576611652970318,-2.5340752869844438,-0.18619522690772963,6.9543039798736572
LM,O,8,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,800,796,800,0.995,1427,1600,0.89187499999999997,673,800,0.84125000000000005,6592,8000,0.82399999999999995,785,800,0.98124999999999996,959,1600,0.59937499999999999,1777,8000,0.22212499999999999,6902,8100,0.85209876543209873,800,0.090938224178494231,0.0024378082016482949,0.00093091891903895885,0.0061292771715670824,0.017101549357175831,13.503738403320312,800,13.083886517551727,12.952629089355469,10.1422278881073,15.863039970397949,18.380682754516602,25.959300994873047,800,12.992948293373233,12.945023509091698,10.127108204527758,15.861000886246984,18.38028222093708,25.958925556100439,800,2.1127695758254048,1.1721074666129425,0.1206763640511781,3.1519110351800919,5.6577472761273384,18.883160591125488,800,3.1674393088440409,1.877199649810791,0.2052840031683445,5.0382058620452881,8.2072553634643555,20.703525543212891,800,8.7383369004658018,8.6772987842559814,6.1951799392700195,11.082974672317505,13.552886199951173,22.442324638366699,800,10.223147595915943,10.114377021789551,7.5209541320800781,12.826265811920166,15.26662940979004,25.263713836669922,800,6.6255673246403965,6.8819949487224221,3.7337724237295333,9.7172205721199134,12.640847260365263,22.433177178259939,800,4.6211597961010922,4.28425367269665,2.9049495689570906,6.057836904376745,7.756504662036896,13.116521215438842,800,9.4981604000197972,9.6193738698959343,7.1265405058860782,11.74884922504425,13.937490081787109,18.429289722442626,800,-4.8770006039187059,-4.9148745924234394,-7.5025700341910122,-2.3284275963902474,0.18309103101491969,8.1286231240024787
LM,O,9,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,900,895,900,0.99444444444444446,1620,1800,0.90000000000000002,767,900,0.85222222222222221,7316,9000,0.81288888888888888,884,900,0.98222222222222222,1110,1800,0.6166666666666667,2001,9000,0.22233333333333333,7633,9100,0.83879120879120883,900,0.091073223169251927,0.0024493713863193989,0.00093091891903895885,0.0064694961765781045,0.017790997214615349,13.503738403320312,900,13.063075615006188,12.853041172027588,10.165453433990479,15.842211484909058,18.360895729064943,25.959300994873047,900,12.972002391836936,12.848989030346274,10.139389265634236,15.835057496384252,18.353749058314133,25.958925556100439,900,1.9925496125846096,0.98754937946796417,0.10340622990770498,3.0415297746658325,5.4475770269520591,18.883160591125488,900,3.0045365769423853,1.6453709602355957,0.16868739947676659,4.8326816558837891,7.9868769645690918,20.703525543212891,900,8.8888958796466859,8.7461012601852417,6.3578742146492004,11.215961575508118,13.739870595932008,22.442324638366699,900,10.350633264200555,10.168154716491699,7.6061086654663086,12.945233583450317,15.553637981414795,25.263713836669922,900,6.8963462670620759,7.1110126614803448,3.9839930646121502,9.9755624629324302,12.928698028251528,22.433177178259939,900,4.5957926655234571,4.2588662706315521,2.8768630447331813,5.9855566758662455,7.756504662036896,13.116521215438842,900,9.2648131237232452,9.3834571361541741,6.893817353248596,11.435429549217224,13.704008722305298,18.429289722442626,900,-4.6690204581997889,-4.6092455578967932,-7.4200905755162241,-2.0994856335222725,0.67858436161652247,8.1286231240024787
LM,O,10,ONLINE_AT_EDIT_TIME_PREFIX_NOT_CUMULATIVE_W_EVAL,1000,995,1000,0.995,1807,2000,0.90349999999999997,857,1000,0.85699999999999998,8078,10000,0.80779999999999996,984,1000,0.98399999999999999,1255,2000,0.62749999999999995,2207,10000,0.22070000000000001,8365,10100,0.82821782178217818,1000,0.084218298614414377,0.0026585257146507502,0.00098671496380120516,0.0071420423919335008,0.019961985200643542,13.503738403320312,1000,13.035720917675643,12.778017997741699,10.200168609619141,15.810544013977051,18.285474395751955,25.959300994873047,1000,12.95150261906123,12.766767257155152,10.197330131773924,15.809041677275673,18.281027252972127,25.958925556100439,1000,1.9204728058821565,0.86193464184179902,0.087397672235965729,2.9796110931783915,5.4355885562486952,18.883160591125488,1000,2.8935613171154984,1.5123164653778076,0.14118458703160286,4.7619324922561646,7.8813834667205809,20.703525543212891,1000,8.9503108717744464,8.8158842325210571,6.3867901563644409,11.269168853759766,13.779916763305664,22.442324638366699,1000,10.391706001594663,10.219915866851807,7.6225485801696777,12.953030347824097,15.584433269500733,25.263713836669922,1000,7.0298380658922905,7.2101900670677423,4.1435445044189692,10.178643657331122,12.980692615406587,22.433177178259939,1000,4.5888244001988152,4.2609460022300478,2.8768630447331813,5.9591992110013958,7.7036513674259188,13.116521215438842,1000,9.1101302536436588,9.2283806562423703,6.701378500461578,11.377445507049561,13.552330150604249,18.429289722442626,1000,-4.5213058534448445,-4.4410265767946839,-7.2859183412976556,-1.9053227931261063,0.70846831440925695,8.1286231240024787
