cell,arm,batch,request_sha256,metric,value
LM,O,1,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,rewrite_target_new_nll,13.503738403320312
LM,O,1,719bc0576defaa23049b37c5031acb62bc8db10d464ac03f6da1299e2cd3a5b7,rewrite_target_new_nll,11.058581352233887
LM,O,9,c8759136267f7e6af3367ae9d6b1891b5f2533ffe01bc2ffb0d0de1cb8e9085e,rewrite_target_new_nll,7.8700108528137207
LM,O,3,cbcb4f07d73bad75caec058156c6c238258ce78fb4e1dab72ce272db69cc8c77,rewrite_target_new_nll,7.5665736198425293
LM,O,1,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,rewrite_target_new_nll,6.613349437713623
LM,O,2,6004734a3e907d0ad5784edce44262e127590447068af53de0b613f812596584,rephrase_target_new_nll_mean,18.883160591125488
LM,O,3,7288b280f83041c4bfe8663812708e4472c3f064e69b8e83fb6d3b0fe2c8a72b,rephrase_target_new_nll_mean,16.173349380493164
LM,O,1,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,rephrase_target_new_nll_mean,13.909633636474609
LM,O,4,2271a8d1447526bd3b07024587e8074835842824df64467a21595479c87670c9,rephrase_target_new_nll_mean,13.803772926330566
LM,O,1,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,rephrase_target_new_nll_mean,13.56943416595459
LM,O,3,f8d114c3c992b44ab02e6441d19978523001f46c3e25ad90c6e1484b72d78c7c,locality_target_true_nll_mean,13.116521215438842
LM,O,2,5edd0a7b2e06d9c525d9156bb83bdd8ab96e4c59ec37698812e5153907e41bad,locality_target_true_nll_mean,12.869215106964111
LM,O,6,c9308e948280a8df1108f6bfa5165432ccb8468c9ca24cbc6b909c4c00f402e9,locality_target_true_nll_mean,12.462242794036865
LM,O,3,0a454df331684fd4754c40ceea365198e2acc26afde0d5f4795a0c34ed032392,locality_target_true_nll_mean,12.128863525390624
LM,O,8,8852ab0f68fe6e7ffa8f807635668dd430dc593ab5c5b73985eaabb88fede7a0,locality_target_true_nll_mean,11.933655929565429
LM,QCL,1,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,rewrite_target_new_nll,14.453681945800781
LM,QCL,1,719bc0576defaa23049b37c5031acb62bc8db10d464ac03f6da1299e2cd3a5b7,rewrite_target_new_nll,12.713723182678223
LM,QCL,3,cbcb4f07d73bad75caec058156c6c238258ce78fb4e1dab72ce272db69cc8c77,rewrite_target_new_nll,12.185401916503906
LM,QCL,1,409ab50440c393003452ca14f7a848b9b9c4c26eaf347918e74bd2328b526d48,rewrite_target_new_nll,9.9484443664550781
LM,QCL,6,3bbc65af40d5f143e512dda23d884018f18504d7fe2e7394d35872aba5fe125b,rewrite_target_new_nll,9.8278579711914062
LM,QCL,2,6004734a3e907d0ad5784edce44262e127590447068af53de0b613f812596584,rephrase_target_new_nll_mean,18.478788375854492
LM,QCL,3,7288b280f83041c4bfe8663812708e4472c3f064e69b8e83fb6d3b0fe2c8a72b,rephrase_target_new_nll_mean,16.16129207611084
LM,QCL,1,f9f16bc7443ae596666c746ce23ea545748ddb3ef4434d0c407eb162fe7d8dbc,rephrase_target_new_nll_mean,13.890111923217773
LM,QCL,1,719bc0576defaa23049b37c5031acb62bc8db10d464ac03f6da1299e2cd3a5b7,rephrase_target_new_nll_mean,13.803418159484863
LM,QCL,1,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,rephrase_target_new_nll_mean,13.782604217529297
LM,QCL,3,f8d114c3c992b44ab02e6441d19978523001f46c3e25ad90c6e1484b72d78c7c,locality_target_true_nll_mean,13.034510087966918
LM,QCL,2,5edd0a7b2e06d9c525d9156bb83bdd8ab96e4c59ec37698812e5153907e41bad,locality_target_true_nll_mean,12.916977691650391
LM,QCL,3,0a454df331684fd4754c40ceea365198e2acc26afde0d5f4795a0c34ed032392,locality_target_true_nll_mean,12.244037723541259
LM,QCL,8,8852ab0f68fe6e7ffa8f807635668dd430dc593ab5c5b73985eaabb88fede7a0,locality_target_true_nll_mean,12.235107421875
LM,QCL,10,da39090de18e94d6096abfd2482ae18e071bb9cfa281788afcc1a4ede2700fc1,locality_target_true_nll_mean,12.103753280639648
LM,NQFIX,9,c8759136267f7e6af3367ae9d6b1891b5f2533ffe01bc2ffb0d0de1cb8e9085e,rewrite_target_new_nll,5.2140598297119141
LM,NQFIX,10,fa9a8103610ed9201276f3193e20d4d027ec5b08415d876009da0e9ac19301db,rewrite_target_new_nll,3.1244618892669678
LM,NQFIX,9,61b19084fd3159f34938d4d38536d0e23b2c41761005ddc84af3fe30835a54ed,rewrite_target_new_nll,1.8673697710037231
LM,NQFIX,10,e044281f02990726d5186ef51480367b3bf41df5686d0af9b57765b72e07f9f4,rewrite_target_new_nll,1.614014744758606
LM,NQFIX,1,719bc0576defaa23049b37c5031acb62bc8db10d464ac03f6da1299e2cd3a5b7,rewrite_target_new_nll,0.92804098129272461
LM,NQFIX,1,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,rephrase_target_new_nll_mean,14.142817497253418
LM,NQFIX,1,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,rephrase_target_new_nll_mean,13.491281509399414
LM,NQFIX,2,6004734a3e907d0ad5784edce44262e127590447068af53de0b613f812596584,rephrase_target_new_nll_mean,13.008809566497803
LM,NQFIX,3,8b62da126c320ee8c8382166f83ac01b0a61b7cdc9dad5d1cfe059844c8ecd55,rephrase_target_new_nll_mean,12.278263092041016
LM,NQFIX,3,5048daec8eda8a9d3c95b043bcae37662854fde7ae07fc2a6a740cabba3039fb,rephrase_target_new_nll_mean,11.987039566040039
LM,NQFIX,8,661e64c5dd58fc75ab4b69cb9b755354a375195a995d33e7307efc5ebfffc619,locality_target_true_nll_mean,14.99368200302124
LM,NQFIX,6,c9308e948280a8df1108f6bfa5165432ccb8468c9ca24cbc6b909c4c00f402e9,locality_target_true_nll_mean,13.506820392608642
LM,NQFIX,3,f8d114c3c992b44ab02e6441d19978523001f46c3e25ad90c6e1484b72d78c7c,locality_target_true_nll_mean,12.919452476501466
LM,NQFIX,2,5edd0a7b2e06d9c525d9156bb83bdd8ab96e4c59ec37698812e5153907e41bad,locality_target_true_nll_mean,12.857044124603272
LM,NQFIX,10,47d740e9a802fd5de0a1db01014109c685045bd928dcd0d67e1077f33c7a647b,locality_target_true_nll_mean,12.655372047424317
LM,ORBFH,9,b4b19dfffc8bddf9db504bc61a76c22ff14f45e35eba9bbecbbaf568dc7b78c4,rewrite_target_new_nll,20.220573425292969
LM,ORBFH,9,b423b4d95b600fbfa331b7f73ac12437f41e46f8eabb4fb081891f9a77116ca4,rewrite_target_new_nll,18.966958999633789
LM,ORBFH,9,e0fbefa7d8a45a49d7f854645b83cedf2a9deea001513c479371d2106e891d0f,rewrite_target_new_nll,16.722192764282227
LM,ORBFH,9,7afeb9e5e62c433959957a79094feb06c5d265569d54e30f1b90aa56ee093dfe,rewrite_target_new_nll,14.967988014221191
LM,ORBFH,9,8aef44f7f1a82601feaf791b616cf5674e2bef932f498ca4863d962e45915456,rewrite_target_new_nll,14.847722053527832
LM,ORBFH,2,6004734a3e907d0ad5784edce44262e127590447068af53de0b613f812596584,rephrase_target_new_nll_mean,19.073622703552246
