cell,arm,batch,RS_delta_pp,PS_delta_pp,NS_delta_pp,PS_strict_delta_pp
LM,QCL,1,-2.0000000000000018,-3.9999999999999925,0.10000000000000009,-8.0000000000000071
LM,QCL,2,-1.0000000000000009,-6.499999999999984,0.30000000000000027,-9.9999999999999982
LM,QCL,3,-3.0000000000000027,-4.9999999999999822,0,-6.000000000000016
LM,QCL,4,0,-3.0000000000000027,-0.70000000000000062,-5.9999999999999831
LM,QCL,5,0,-5.000000000000016,-0.10000000000000009,-7.9999999999999849
LM,QCL,6,-2.0000000000000018,-3.5000000000000142,1.4000000000000123,-3.9999999999999813
LM,QCL,7,0,-0.99999999999998979,3.0999999999999917,-3.0000000000000027
LM,QCL,8,0,-4.9999999999999929,3.9000000000000146,-9.0000000000000071
LM,QCL,9,0,-3.499999999999992,6.2000000000000171,-4.9999999999999929
LM,QCL,10,-1.0000000000000009,-6.5000000000000053,4.0000000000000036,-8.9999999999999964
LM,NQFIX,1,2.0000000000000018,9.5000000000000089,-0.70000000000000062,9.9999999999999982
LM,NQFIX,2,1.0000000000000009,6.5000000000000169,-1.100000000000001,7.9999999999999849
LM,NQFIX,3,1.0000000000000009,3.5000000000000142,-1.5000000000000124,4.9999999999999822
LM,NQFIX,4,0,7.4999999999999956,-0.80000000000000071,10.000000000000009
LM,NQFIX,5,0,3.9999999999999925,-3.8999999999999813,6.000000000000016
LM,NQFIX,6,0,6.4999999999999947,-7.1999999999999842,9.0000000000000195
LM,NQFIX,7,0,4.0000000000000036,-8.1000000000000192,5.9999999999999947
LM,NQFIX,8,0,2.0000000000000018,-8.7999999999999865,3.0000000000000027
LM,NQFIX,9,1.0000000000000009,1.5000000000000013,-11.399999999999999,3.0000000000000027
LM,NQFIX,10,0,6.4999999999999947,-19.400000000000006,9.9999999999999982
LM,ORBFH,1,0,-0.99999999999998979,-0.20000000000000018,-2.0000000000000018
LM,ORBFH,2,1.0000000000000009,0,0,-2.0000000000000018
LM,ORBFH,3,-1.0000000000000009,1.0000000000000009,-1.000000000000012,-2.0000000000000018
LM,ORBFH,4,0,2.0000000000000018,-0.9000000000000008,1.000000000000012
LM,ORBFH,5,0,-2.0000000000000018,-1.8000000000000016,-2.0000000000000018
LM,ORBFH,6,-1.0000000000000009,0,-3.6999999999999922,0
LM,ORBFH,7,0,1.5000000000000013,-3.1000000000000028,1.0000000000000009
LM,ORBFH,8,0,-0.50000000000000044,-2.5999999999999912,-1.9999999999999907
LM,ORBFH,9,-82,-77,7.0000000000000178,-82
LM,ORBFH,10,0,-0.50000000000000044,-0.30000000000000027,-2.0000000000000018
LM,JAC,1,0,-0.50000000000000044,-0.40000000000000036,-1.0000000000000009
LM,JAC,2,1.0000000000000009,0,-0.70000000000000062,-1.0000000000000009
LM,JAC,3,-1.0000000000000009,-0.50000000000000044,-1.7000000000000126,0
LM,JAC,4,0,4.4999999999999929,-1.4999999999999902,5.000000000000016
LM,JAC,5,0,-1.5000000000000013,-3.599999999999981,-2.0000000000000018
LM,JAC,6,-83,-71,6.000000000000016,-72.999999999999986
LM,JAC,7,0,-0.99999999999998979,2.1999999999999909,-2.0000000000000018
LM,JAC,8,0,-2.5000000000000022,-0.80000000000000071,-5.9999999999999947
LM,JAC,9,1.0000000000000009,-0.50000000000000044,0.10000000000000009,-1.9999999999999907
LM,JAC,10,0,-3.5000000000000031,-0.80000000000000071,-7.0000000000000178
LA,QCL,1,0,-7.5000000000000178,0.80000000000001181,-9.9999999999999982
LA,QCL,2,0,-3.0000000000000027,0.60000000000001164,-4.0000000000000142
LA,QCL,3,0,-2.5000000000000022,0.80000000000000071,-5.0000000000000044
LA,QCL,4,0,-2.0000000000000018,0.70000000000000062,-2.9999999999999916
LA,QCL,5,0,-2.4999999999999911,-0.20000000000000018,-4.0000000000000036
LA,QCL,6,0,-5.4999999999999938,0.80000000000000071,-6.9999999999999947
LA,QCL,7,0,0,1.6000000000000014,-1.0000000000000009
LA,QCL,8,0,-2.5000000000000022,-1.6000000000000014,-4.9999999999999929
LA,QCL,9,0,-1.5000000000000013,0.40000000000000036,-2.0000000000000018
LA,QCL,10,0,-3.9999999999999925,0.30000000000000027,-6.0000000000000053
LA,NQFIX,1,0,2.9999999999999916,-0.70000000000000062,4.0000000000000036
LA,NQFIX,2,0,3.499999999999992,-0.80000000000000071,5.0000000000000044
LA,NQFIX,3,0,3.499999999999992,-2.7000000000000024,5.0000000000000044
LA,NQFIX,4,0,2.0000000000000018,-2.0999999999999908,4.0000000000000036
LA,NQFIX,5,0,2.5000000000000022,-5.9999999999999831,2.9999999999999916
LA,NQFIX,6,0,2.0000000000000018,-10.299999999999997,4.0000000000000036
LA,NQFIX,7,0,1.5000000000000013,-5.500000000000016,2.0000000000000018
LA,NQFIX,8,0,1.5000000000000013,-11.299999999999999,2.0000000000000018
LA,NQFIX,9,0,1.5000000000000013,-11.000000000000011,3.0000000000000027
LA,NQFIX,10,0,2.5000000000000022,-9.6999999999999975,4.9999999999999929
LA,ORBFH,1,0,-8.0000000000000178,0.9000000000000119,-9.9999999999999982
LA,ORBFH,2,0,-3.0000000000000027,0.40000000000001146,-4.0000000000000142
LA,ORBFH,3,0,-0.50000000000000044,0.10000000000000009,-3.0000000000000138
LA,ORBFH,4,0,-3.5000000000000031,0.79999999999998961,-4.9999999999999929
LA,ORBFH,5,0,-3.9999999999999925,0.10000000000000009,-7.0000000000000178
LA,ORBFH,6,0,-4.4999999999999929,0.30000000000000027,-4.9999999999999929
LA,ORBFH,7,0,-1.0000000000000009,1.0000000000000009,-2.9999999999999916
LA,ORBFH,8,0,-1.5000000000000013,-2.0000000000000129,-4.0000000000000036
LA,ORBFH,9,0,-1.5000000000000013,-0.39999999999998925,-2.0000000000000018
LA,ORBFH,10,0,-2.0000000000000018,0.20000000000000018,-2.0000000000000018
LA,JAC,1,0,-7.5000000000000178,0.60000000000001164,-9.9999999999999982
LA,JAC,2,0,-2.5000000000000022,-1.4000000000000012,-5.000000000000016
LA,JAC,3,0,-1.5000000000000013,-1.7000000000000015,-3.0000000000000138
LA,JAC,4,0,-1.0000000000000009,-0.20000000000000018,-2.0000000000000018
LA,JAC,5,-82,-82.5,2.0000000000000018,-84.000000000000014
LA,JAC,6,0,-3.9999999999999925,-0.30000000000000027,-5.9999999999999947
LA,JAC,7,0,0,0.20000000000000018,-1.9999999999999907
LA,JAC,8,0,-1.0000000000000009,-4.5000000000000151,-3.0000000000000027
LA,JAC,9,0,-2.0000000000000018,-0.59999999999998943,-3.9999999999999925
LA,JAC,10,0,-3.9999999999999925,-0.70000000000000062,-5.0000000000000044
QM,QCL,1,0,-1.5000000000000013,0.70000000000000062,-1.9999999999999907
QM,QCL,2,0,1.0000000000000009,-1.7000000000000015,1.0000000000000009
QM,QCL,3,0,1.0000000000000009,0.60000000000000053,2.0000000000000018
QM,QCL,4,0,-2.5000000000000022,-0.40000000000000036,-5.0000000000000044
QM,QCL,5,0,0.50000000000000044,-0.40000000000000036,1.0000000000000009
QM,QCL,6,0,-0.50000000000000044,-2.5999999999999801,-1.0000000000000009
QM,QCL,7,0,-1.0000000000000009,0.80000000000000071,-2.0000000000000018
QM,QCL,8,0,0.50000000000000044,-3.2999999999999918,1.0000000000000009
QM,QCL,9,0,0,2.7999999999999914,0
QM,QCL,10,0,3.9999999999999925,-1.7000000000000015,5.0000000000000044
QM,NQFIX,1,0,-1.5000000000000013,-1.0999999999999899,-1.9999999999999907
QM,NQFIX,2,0,0.50000000000000044,-2.7000000000000024,0
QM,NQFIX,3,0,1.5000000000000013,-4.2000000000000037,3.0000000000000027
QM,NQFIX,4,0,-0.50000000000000044,-2.0000000000000018,-1.0000000000000009
QM,NQFIX,5,0,0,-1.8000000000000016,0
QM,NQFIX,6,0,-1.0000000000000009,-6.3999999999999835,-2.0000000000000018
QM,NQFIX,7,-1.0000000000000009,-1.0000000000000009,-10.299999999999997,-1.0000000000000009
QM,NQFIX,8,-1.0000000000000009,-7.9999999999999964,-8.3999999999999844,-10.999999999999998
QM,NQFIX,9,-1.0000000000000009,-3.0000000000000027,-8.4000000000000075,-5.9999999999999947
QM,NQFIX,10,-4.0000000000000036,-9.0000000000000195,-6.5999999999999837,-12
QM,ORBFH,1,0,-1.0000000000000009,-0.49999999999998934,-1.0000000000000009
QM,ORBFH,2,0,1.0000000000000009,-2.8000000000000025,1.0000000000000009
QM,ORBFH,3,0,1.0000000000000009,-2.4000000000000021,3.0000000000000027
QM,ORBFH,4,0,-0.50000000000000044,-1.8000000000000016,-1.0000000000000009
QM,ORBFH,5,0,-0.50000000000000044,-2.9000000000000026,-1.0000000000000009
QM,ORBFH,6,0,1.0000000000000009,-5.0999999999999819,2.0000000000000018
QM,ORBFH,7,0,-3.0000000000000027,-3.2000000000000139,-4.9999999999999929
QM,ORBFH,8,0,0,-5.1999999999999824,0
QM,ORBFH,9,0,0.50000000000000044,-2.4999999999999911,1.0000000000000009
QM,ORBFH,10,0,4.9999999999999929,-3.3000000000000029,6.9999999999999947
QM,JAC,1,-1.0000000000000009,-1.0000000000000009,-0.79999999999998961,-1.0000000000000009
QM,JAC,2,0,1.0000000000000009,-3.3999999999999919,1.0000000000000009
QM,JAC,3,0,1.5000000000000013,-5.4000000000000163,3.0000000000000027
QM,JAC,4,0,0,-3.9000000000000035,0
QM,JAC,5,0,0,-6.5000000000000169,0
QM,JAC,6,0,0,-8.1999999999999851,1.0000000000000009
QM,JAC,7,0,0,-7.1000000000000068,0
QM,JAC,8,0,0.50000000000000044,-9.7999999999999865,1.0000000000000009
QM,JAC,9,0,0.50000000000000044,-5.7999999999999936,1.0000000000000009
QM,JAC,10,0,3.9999999999999925,-7.499999999999984,6.9999999999999947
QA,QCL,1,0,0,0.60000000000000053,0
QA,QCL,2,0,-1.0000000000000009,1.3000000000000012,-2.0000000000000018
QA,QCL,3,0,1.0000000000000009,1.6000000000000014,3.0000000000000027
QA,QCL,4,0,-2.0000000000000018,2.200000000000002,-4.0000000000000036
QA,QCL,5,0,-1.0000000000000009,0.9000000000000008,-2.0000000000000018
QA,QCL,6,0,0,5.2999999999999829,0
QA,QCL,7,4.0000000000000036,3.0000000000000027,9.4999999999999964,3.9999999999999925
QA,QCL,8,-14.000000000000012,-16.499999999999993,2.7999999999999914,-26
QA,QCL,9,-4.0000000000000036,-20.499999999999996,10.399999999999999,-29.999999999999993
QA,QCL,10,-4.0000000000000036,-26,-0.20000000000000018,-40
QA,NQFIX,1,0,-0.50000000000000044,-0.30000000000000027,0
QA,NQFIX,2,0,0,-1.9999999999999907,0
QA,NQFIX,3,-44.999999999999993,-46,-32,-59.999999999999986
QA,NQFIX,4,-39.000000000000014,-46.5,-21.099999999999998,-61
