left_cell,right_cell,delta_Tz,outer_K,endpoint,prompt,statistic,left_NLL,right_NLL,right_minus_left
Z1-REFINE,Z15,0.5,1,accepted_z,rewrite,mean,7.447816557884217,4.626818266808987,-2.82099829107523
Z1-REFINE,Z15,0.5,1,accepted_z,rewrite,median,7.362201929092407,4.140674114227295,-3.2215278148651123
Z1-REFINE,Z15,0.5,1,accepted_z,rewrite,p90,12.324613094329841,8.648135375976565,-3.6764777183532757
Z1-REFINE,Z15,0.5,1,accepted_z,rewrite,max,14.7185640335083,11.721230506896973,-2.997333526611328
Z1-REFINE,Z15,0.5,1,accepted_z,rephrase,mean,7.685157050043345,5.552878250442445,-2.1322787996008996
Z1-REFINE,Z15,0.5,1,accepted_z,rephrase,median,7.643133163452148,5.07574462890625,-2.5673885345458984
Z1-REFINE,Z15,0.5,1,accepted_z,rephrase,p90,12.631503009796141,10.513036251068115,-2.118466758728026
Z1-REFINE,Z15,0.5,1,accepted_z,rephrase,max,17.183191299438477,15.135984420776367,-2.0472068786621094
Z1-REFINE,Z15,0.5,1,post_writer_W,rewrite,mean,7.129241669178009,4.425177254080772,-2.7040644150972373
Z1-REFINE,Z15,0.5,1,post_writer_W,rewrite,median,7.109683036804199,4.0172072649002075,-3.0924757719039917
Z1-REFINE,Z15,0.5,1,post_writer_W,rewrite,p90,11.973258781433112,8.491304969787599,-3.4819538116455124
Z1-REFINE,Z15,0.5,1,post_writer_W,rewrite,max,14.37846851348877,11.402990341186523,-2.975478172302246
Z1-REFINE,Z15,0.5,1,post_writer_W,rephrase,mean,7.893989159762859,6.2420856474339965,-1.6519035123288628
Z1-REFINE,Z15,0.5,1,post_writer_W,rephrase,median,7.653345823287964,5.888668537139893,-1.7646772861480713
Z1-REFINE,Z15,0.5,1,post_writer_W,rephrase,p90,12.354576969146729,11.21057186126709,-1.1440051078796394
Z1-REFINE,Z15,0.5,1,post_writer_W,rephrase,max,17.50428009033203,17.464099884033203,-0.040180206298828125
Z1-REFINE,Z15,0.5,4,accepted_z,rewrite,mean,0.07486279295175337,0.013976559221337084,-0.06088623373041628
Z1-REFINE,Z15,0.5,4,accepted_z,rewrite,median,0.04709230735898018,0.009657556656748056,-0.03743475070223212
Z1-REFINE,Z15,0.5,4,accepted_z,rewrite,p90,0.162489527463913,0.030086374282836927,-0.1324031531810761
Z1-REFINE,Z15,0.5,4,accepted_z,rewrite,max,0.660645604133606,0.07808841019868851,-0.5825571939349174
Z1-REFINE,Z15,0.5,4,accepted_z,rephrase,mean,1.570407600629842,1.3475644910061966,-0.2228431096236454
Z1-REFINE,Z15,0.5,4,accepted_z,rephrase,median,0.42250093817710876,0.1726297289133072,-0.24987120926380157
Z1-REFINE,Z15,0.5,4,accepted_z,rephrase,p90,4.797185325622558,4.369039011001586,-0.42814631462097186
Z1-REFINE,Z15,0.5,4,accepted_z,rephrase,max,10.822571754455566,11.074505805969238,0.2519340515136719
Z1-REFINE,Z15,0.5,4,post_writer_W,rewrite,mean,0.0733297094880254,0.013734236905584112,-0.05959547258244129
Z1-REFINE,Z15,0.5,4,post_writer_W,rewrite,median,0.0469550434499979,0.009693024214357138,-0.037262019235640764
Z1-REFINE,Z15,0.5,4,post_writer_W,rewrite,p90,0.16064212471246722,0.02985455039888621,-0.130787574313581
Z1-REFINE,Z15,0.5,4,post_writer_W,rewrite,max,0.6648421287536621,0.07516083866357803,-0.5896812900900841
Z1-REFINE,Z15,0.5,4,post_writer_W,rephrase,mean,2.6025894672272263,2.3464281112200114,-0.2561613560072149
Z1-REFINE,Z15,0.5,4,post_writer_W,rephrase,median,1.4925392866134644,1.0611990690231323,-0.43134021759033203
Z1-REFINE,Z15,0.5,4,post_writer_W,rephrase,p90,6.750882863998412,6.558746862411498,-0.19213600158691424
Z1-REFINE,Z15,0.5,4,post_writer_W,rephrase,max,14.705745697021484,14.38831615447998,-0.3174295425415039
Z1-REFINE,Z15,0.5,8,accepted_z,rewrite,mean,0.011388642331148731,0.00602363068406703,-0.005365011647081701
Z1-REFINE,Z15,0.5,8,accepted_z,rewrite,median,0.008624684996902943,0.004298787796869874,-0.004325897200033069
Z1-REFINE,Z15,0.5,8,accepted_z,rewrite,p90,0.02485778834670783,0.01129101952537895,-0.013566768821328882
Z1-REFINE,Z15,0.5,8,accepted_z,rewrite,max,0.07385782152414322,0.034824125468730927,-0.03903369605541229
Z1-REFINE,Z15,0.5,8,accepted_z,rephrase,mean,1.3846419972757575,1.2993071575605426,-0.08533483971521494
Z1-REFINE,Z15,0.5,8,accepted_z,rephrase,median,0.16618631035089493,0.12485925480723381,-0.04132705554366112
Z1-REFINE,Z15,0.5,8,accepted_z,rephrase,p90,4.586139440536498,4.337726259231566,-0.24841318130493217
Z1-REFINE,Z15,0.5,8,accepted_z,rephrase,max,11.199920654296875,11.223796844482422,0.023876190185546875
Z1-REFINE,Z15,0.5,8,post_writer_W,rewrite,mean,0.011345961949409684,0.006008857812121278,-0.005337104137288407
Z1-REFINE,Z15,0.5,8,post_writer_W,rewrite,median,0.008638276718556881,0.004311369964852929,-0.004326906753703952
Z1-REFINE,Z15,0.5,8,post_writer_W,rewrite,p90,0.024815197475254548,0.011318046227097518,-0.01349715124815703
Z1-REFINE,Z15,0.5,8,post_writer_W,rewrite,max,0.07349968701601028,0.03484288975596428,-0.038656797260046005
Z1-REFINE,Z15,0.5,8,post_writer_W,rephrase,mean,2.315500875944272,2.27382098106551,-0.041679894878762
Z1-REFINE,Z15,0.5,8,post_writer_W,rephrase,median,0.915909469127655,0.8992254137992859,-0.01668405532836914
Z1-REFINE,Z15,0.5,8,post_writer_W,rephrase,p90,6.77600793838501,6.5871948242187495,-0.18881311416626012
Z1-REFINE,Z15,0.5,8,post_writer_W,rephrase,max,14.872125625610352,14.452500343322754,-0.41962528228759766
Z15,Z20,0.5,1,accepted_z,rewrite,mean,4.626818266808987,2.05911491503939,-2.5677033517695964
Z15,Z20,0.5,1,accepted_z,rewrite,median,4.140674114227295,1.656151831150055,-2.48452228307724
Z15,Z20,0.5,1,accepted_z,rewrite,p90,8.648135375976565,4.118507528305059,-4.529627847671506
Z15,Z20,0.5,1,accepted_z,rewrite,max,11.721230506896973,9.193536758422852,-2.527693748474121
Z15,Z20,0.5,1,accepted_z,rephrase,mean,5.552878250442445,3.381674699112773,-2.1712035513296724
Z15,Z20,0.5,1,accepted_z,rephrase,median,5.07574462890625,2.655419707298279,-2.420324921607971
Z15,Z20,0.5,1,accepted_z,rephrase,p90,10.513036251068115,7.341911506652831,-3.171124744415284
Z15,Z20,0.5,1,accepted_z,rephrase,max,15.135984420776367,13.965591430664062,-1.1703929901123047
Z15,Z20,0.5,1,post_writer_W,rewrite,mean,4.425177254080772,2.0127532426454127,-2.4124240114353594
Z15,Z20,0.5,1,post_writer_W,rewrite,median,4.0172072649002075,1.4954458475112915,-2.521761417388916
Z15,Z20,0.5,1,post_writer_W,rewrite,p90,8.491304969787599,4.306747341156008,-4.184557628631591
Z15,Z20,0.5,1,post_writer_W,rewrite,max,11.402990341186523,9.829370498657227,-1.5736198425292969
Z15,Z20,0.5,1,post_writer_W,rephrase,mean,6.2420856474339965,4.333677750229835,-1.9084078972041612
Z15,Z20,0.5,1,post_writer_W,rephrase,median,5.888668537139893,3.8990296125411987,-1.9896389245986938
Z15,Z20,0.5,1,post_writer_W,rephrase,p90,11.21057186126709,8.808604621887207,-2.401967239379882
Z15,Z20,0.5,1,post_writer_W,rephrase,max,17.464099884033203,16.801239013671875,-0.6628608703613281
